Genome,Scheme,ST,gyrB,metE,mdh,pntA,adk,purM,pyrC
GCF_006803135.fna.gz,vcholerae,662,118,146,65,91,77,1,93
GCF_007623925.fna.gz,vcholerae,-,11,37,4,12,7,1,
GCF_007624415.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624975.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_005636075.fna.gz,vcholerae,-,38,125,61,18,57,54,95
GCF_006802075.fna.gz,vcholerae,672,111,253,116,140,57,1,189
GCF_006802655.fna.gz,vcholerae,640,38,146,65,91,14,1,93
GCF_007623775.fna.gz,vcholerae,-,11,37,4,12,7,1,
GCF_007624285.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624575.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624835.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_007624995.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_008083335.fna.gz,vcholerae,-,5,50,45,36,17,14,45
GCF_008083355.fna.gz,vcholerae,-,5,50,26,14,2,6,45
GCF_008083365.fna.gz,vcholerae,-,41,87,9,209,53,,
GCF_008083415.fna.gz,vcholerae,-,8,227,69,2,157,,65
GCF_008083425.fna.gz,vcholerae,366,56,198,94,113,14,1,144
GCF_008083445.fna.gz,vcholerae,-,5,,1,139,1,1,123
GCF_008083455.fna.gz,vcholerae,-,5,50,14,31,2,14,45
GCF_008083515.fna.gz,vcholerae,163,5,50,45,31,26,14,45
GCF_008083545.fna.gz,vcholerae,-,14,240,4,22,14,17,35
GCF_008083575.fna.gz,vcholerae,31,7,22,8,39,2,1,45
GCF_008083585.fna.gz,vcholerae,-,33,31,51,34,17,11,29
GCF_008083615.fna.gz,vcholerae,-,1,,46,13,7,1,144
GCF_008083635.fna.gz,vcholerae,-,57,,46,13,2,85,13
GCF_008083645.fna.gz,vcholerae,-,5,50,14,31,1,14,45
GCF_008083665.fna.gz,vcholerae,21,33,31,26,34,16,11,26
GCF_008083685.fna.gz,vcholerae,23,5,32,25,36,17,11,29
GCF_008083715.fna.gz,vcholerae,4,41,4,21,2,1,16,43
GCF_008083735.fna.gz,vcholerae,-,,35,15,146,6,3,35
GCF_008083755.fna.gz,vcholerae,-,33,31,124,34,84,11,29
GCF_008083785.fna.gz,vcholerae,-,36,47,52,88,13,1,200
GCF_008083835.fna.gz,vcholerae,17,38,43,14,8,14,21,11
GCF_008083855.fna.gz,vcholerae,1359,34,78,26,36,17,10,26
GCF_008083865.fna.gz,vcholerae,-,129,,15,65,55,72,4
GCF_008083875.fna.gz,vcholerae,-,41,,2,2,152,76,189
GCF_008083915.fna.gz,vcholerae,-,41,368,15,150,1,,12
GCF_008083925.fna.gz,vcholerae,-,,,204,220,2,1,
GCF_008083955.fna.gz,vcholerae,-,46,22,3,30,2,18,
GCF_008083975.fna.gz,vcholerae,-,57,79,53,62,2,1,43
GCF_008083995.fna.gz,vcholerae,-,5,,1,95,24,1,123
GCF_008084025.fna.gz,vcholerae,-,5,6,14,30,2,18,2
GCF_008084055.fna.gz,vcholerae,-,,,64,17,73,1,35
GCF_008084075.fna.gz,vcholerae,631,34,78,26,36,16,10,23
GCF_008084235.fna.gz,vcholerae,11,5,33,3,31,12,18,26
GCF_008084295.fna.gz,vcholerae,558,5,50,14,31,26,14,45
GCF_008084305.fna.gz,vcholerae,973,5,108,1,14,1,1,29
GCF_008084315.fna.gz,vcholerae,-,1,,14,139,2,1,45
GCF_008084325.fna.gz,vcholerae,630,46,57,45,34,17,45,29
GCF_008084375.fna.gz,vcholerae,5,42,60,4,20,1,1,12
GCF_008084395.fna.gz,vcholerae,-,5,264,79,30,12,6,40
GCF_008084425.fna.gz,vcholerae,-,23,227,1,,1,66,83
GCF_008084455.fna.gz,vcholerae,1118,170,382,75,13,55,1,45
GCF_008084465.fna.gz,vcholerae,708,5,50,2,30,26,6,40
GCF_008084495.fna.gz,vcholerae,74,12,37,14,12,7,1,36
GCF_008084505.fna.gz,vcholerae,622,67,208,8,95,24,1,45
GCF_008084525.fna.gz,vcholerae,703,5,8,14,29,14,1,44
GCF_008084545.fna.gz,vcholerae,-,5,50,14,31,26,,45
GCF_008084565.fna.gz,vcholerae,699,49,36,83,57,14,1,20
GCF_008084595.fna.gz,vcholerae,-,34,78,25,120,50,10,26
GCF_008084605.fna.gz,vcholerae,-,85,149,14,19,11,1,96
GCF_008084635.fna.gz,vcholerae,623,5,50,14,31,26,14,123
GCF_008084645.fna.gz,vcholerae,700,23,265,14,9,1,6,51
GCF_008084655.fna.gz,vcholerae,625,49,48,113,25,14,1,98
GCF_008084695.fna.gz,vcholerae,-,5,162,14,29,26,14,
GCF_008084705.fna.gz,vcholerae,619,36,36,4,22,1,1,83
GCF_008084755.fna.gz,vcholerae,-,1,9,7,49,1,1,103
GCF_008084795.fna.gz,vcholerae,-,62,,55,47,7,1,4
GCF_008084815.fna.gz,vcholerae,-,6,407,29,25,14,1,3
GCF_008084825.fna.gz,vcholerae,18,6,7,14,3,14,20,47
GCF_008084835.fna.gz,vcholerae,35,32,20,24,5,22,1,27
GCF_008084855.fna.gz,vcholerae,-,1,44,,6,14,9,39
GCF_008085465.fna.gz,vcholerae,38,5,6,1,39,24,18,2
GCF_008085485.fna.gz,vcholerae,1010,5,50,3,30,2,45,45
GCF_008085495.fna.gz,vcholerae,-,5,50,14,31,26,,45
GCF_008085525.fna.gz,vcholerae,14,14,53,4,22,14,17,35
GCF_008085535.fna.gz,vcholerae,-,81,48,14,59,18,1,45
GCF_008085575.fna.gz,vcholerae,-,46,,14,68,14,1,
GCF_008085585.fna.gz,vcholerae,626,23,240,52,89,14,6,43
GCF_008085615.fna.gz,vcholerae,24,5,40,14,17,18,1,1
GCF_008085625.fna.gz,vcholerae,-,41,262,14,55,1,46,61
GCF_008085635.fna.gz,vcholerae,-,5,112,54,100,53,1,65
GCF_008085675.fna.gz,vcholerae,-,23,161,15,141,2,1,35
GCF_008087115.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_008087125.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_008087145.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_008087195.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_008269325.fna.gz,vcholerae,-,118,201,112,47,2,88,174
GCF_008269335.fna.gz,vcholerae,-,118,201,112,47,2,88,174
GCF_008269345.fna.gz,vcholerae,-,38,,161,69,2,1,259
GCF_008269355.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_008269365.fna.gz,vcholerae,-,38,,14,89,2,1,24
GCF_008269455.fna.gz,vcholerae,776,38,290,14,89,115,104,24
GCF_008269465.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_008271195.fna.gz,vcholerae,178,31,99,56,70,1,48,13
GCF_008271265.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_008271325.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_008369465.fna.gz,vcholerae,-,30,123,97,66,114,9,
GCF_008369485.fna.gz,vcholerae,-,30,123,97,66,114,9,
GCF_008369505.fna.gz,vcholerae,-,30,123,97,66,114,9,
GCF_008369525.fna.gz,vcholerae,-,30,123,97,66,114,9,
GCF_008369565.fna.gz,vcholerae,-,30,123,97,66,114,9,
GCF_008369585.fna.gz,vcholerae,-,30,123,97,66,114,9,
GCF_008369605.fna.gz,vcholerae,-,41,,14,71,18,119,35
GCF_008369625.fna.gz,vcholerae,-,,,168,167,138,108,235
GCF_008369865.fna.gz,vcholerae,-,30,123,97,66,114,9,
GCF_008369875.fna.gz,vcholerae,-,30,123,97,66,114,9,
GCF_008370415.fna.gz,vcholerae,167,31,93,56,68,56,48,13
GCF_008370425.fna.gz,vcholerae,-,38,,14,61,26,1,158
GCF_008370435.fna.gz,vcholerae,776,38,290,14,89,115,104,24
GCF_008370445.fna.gz,vcholerae,-,38,201,15,89,2,88,181
GCF_008370515.fna.gz,vcholerae,776,38,290,14,89,115,104,24
GCF_008370525.fna.gz,vcholerae,776,38,290,14,89,115,104,24
GCF_008370535.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_008370545.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_008370595.fna.gz,vcholerae,-,,326,,109,,1,181
GCF_008370875.fna.gz,vcholerae,-,38,,14,61,26,1,158
GCF_008632395.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009646135.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_009653605.fna.gz,vcholerae,721,5,271,9,14,2,1,45
GCF_009653685.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009653705.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009653715.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009653755.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009653765.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009707115.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728205.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728225.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728255.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728285.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728295.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728325.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728345.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728365.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728375.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728405.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728415.fna.gz,vcholerae,178,31,99,56,70,1,48,13
GCF_009728435.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728505.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009728525.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009729525.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009762895.fna.gz,vcholerae,42,5,16,22,21,25,8,11
GCF_009762915.fna.gz,vcholerae,1264,1,9,7,49,13,1,103
GCF_009762945.fna.gz,vcholerae,42,5,16,22,21,25,8,11
GCF_009762965.fna.gz,vcholerae,-,88,16,14,66,1,,207
GCF_009762985.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_009763045.fna.gz,vcholerae,-,38,43,14,8,14,,
GCF_009763065.fna.gz,vcholerae,-,5,,15,66,14,12,
GCF_009763665.fna.gz,vcholerae,1258,67,50,14,39,24,72,123
GCF_009763825.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009763945.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009799825.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_009858355.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858365.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858375.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858395.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858405.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858425.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858435.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858475.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858515.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858565.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858605.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858635.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858675.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858725.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858735.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858805.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858855.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858945.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009898195.fna.gz,vcholerae,1349,34,78,26,36,23,10,29
GCF_011750775.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_012972715.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013085165.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013111005.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013111295.fna.gz,vcholerae,-,6,362,15,25,47,88,83
GCF_013111315.fna.gz,vcholerae,1358,49,67,2,117,3,53,9
GCF_013111515.fna.gz,vcholerae,1352,36,33,14,30,14,14,4
GCF_009858455.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858505.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858545.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858595.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858615.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858655.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858715.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858755.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858815.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858925.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858955.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009899585.fna.gz,vcholerae,-,5,78,,30,12,1,45
GCF_011750835.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_013085075.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013110925.fna.gz,vcholerae,-,62,413,7,,2,60,145
GCF_013111025.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013111305.fna.gz,vcholerae,729,11,17,14,23,1,1,69
GCF_013111355.fna.gz,vcholerae,1358,49,67,2,117,3,53,9
GCF_013111535.fna.gz,vcholerae,1018,23,161,15,54,2,1,35
GCF_013111105.fna.gz,vcholerae,1418,41,258,14,70,13,1,1
GCF_013111945.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013357625.fna.gz,vcholerae,-,44,,11,3,2,8,43
GCF_014634325.fna.gz,vcholerae,-,,36,14,,,1,
GCF_014634425.fna.gz,vcholerae,-,,36,14,,14,1,1
GCF_013111125.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_015830035.fna.gz,vcholerae,524,5,50,14,31,1,14,46
GCF_016456575.fna.gz,vcholerae,1474,23,453,14,18,103,17,24
GCF_009858795.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858845.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858935.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009858985.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009938115.fna.gz,vcholerae,173,57,96,15,2,7,1,75
GCF_011750865.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_013085105.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013110955.fna.gz,vcholerae,555,5,196,98,14,24,6,45
GCF_013111075.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013111375.fna.gz,vcholerae,1358,49,67,2,117,3,53,9
GCF_013111435.fna.gz,vcholerae,1358,49,67,2,117,3,53,9
GCF_013111545.fna.gz,vcholerae,170,2,87,4,12,7,1,38
GCF_013111175.fna.gz,vcholerae,1419,5,47,14,6,2,1,5
GCF_014634345.fna.gz,vcholerae,-,,36,14,,,1,
GCF_014634385.fna.gz,vcholerae,-,,36,14,,14,1,1
GCF_013111965.fna.gz,vcholerae,729,11,17,14,23,1,1,69
GCF_016103055.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_016456615.fna.gz,vcholerae,1474,23,453,14,18,103,17,24
GCF_013111195.fna.gz,vcholerae,-,60,,2,2,152,17,189
GCF_016457185.fna.gz,vcholerae,1473,41,48,14,65,18,1,4
GCF_017169515.fna.gz,vcholerae,722,34,272,26,34,17,11,26
GCF_009858995.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_009898205.fna.gz,vcholerae,1349,34,78,26,36,23,10,29
GCF_009899555.fna.gz,vcholerae,-,5,47,14,39,24,18,45
GCF_011074895.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_012911575.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013085145.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_013110995.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013111215.fna.gz,vcholerae,1420,1,80,101,25,47,1,153
GCF_013111385.fna.gz,vcholerae,729,11,17,14,23,1,1,69
GCF_013111465.fna.gz,vcholerae,1358,49,67,2,117,3,53,9
GCF_013111245.fna.gz,vcholerae,1421,23,50,14,31,17,14,45
GCF_014634365.fna.gz,vcholerae,-,,36,14,,,1,
GCF_014634405.fna.gz,vcholerae,-,,36,14,,14,1,1
GCF_013111275.fna.gz,vcholerae,-,62,413,7,,2,60,145
GCF_016103065.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_016456645.fna.gz,vcholerae,1464,204,78,154,239,165,75,159
GCF_013111975.fna.gz,vcholerae,1358,49,67,2,117,3,53,9
GCF_016457205.fna.gz,vcholerae,1348,38,69,196,128,7,1,41
GCF_017169525.fna.gz,vcholerae,-,144,,103,10,16,,28
GCF_009899525.fna.gz,vcholerae,-,5,47,14,39,24,18,45
GCF_010686605.fna.gz,vcholerae,680,23,9,15,59,2,1,35
GCF_012275105.fna.gz,vcholerae,338,36,193,6,11,14,1,141
GCF_013085125.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013110985.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013111095.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013111395.fna.gz,vcholerae,1358,49,67,2,117,3,53,9
GCF_013111455.fna.gz,vcholerae,1358,49,67,2,117,3,53,9
GCF_013110975.fna.gz,vcholerae,1417,36,50,14,30,24,60,45
GCF_013111085.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013111495.fna.gz,vcholerae,729,11,17,14,23,1,1,69
GCF_013357605.fna.gz,vcholerae,1396,1,4,4,29,1,17,231
GCF_013357645.fna.gz,vcholerae,1024,44,64,11,6,2,8,43
GCF_014634645.fna.gz,vcholerae,-,,36,14,,14,1,1
GCF_017169545.fna.gz,vcholerae,722,34,272,26,34,17,11,26
GCF_017426845.fna.gz,vcholerae,1492,205,119,201,80,1,53,106
GCF_013357825.fna.gz,vcholerae,-,138,16,,4,,,163
GCF_013414485.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014489145.fna.gz,vcholerae,3,15,15,19,24,1,5,14
GCF_016456695.fna.gz,vcholerae,714,5,50,1,30,2,18,54
GCF_016456815.fna.gz,vcholerae,383,44,59,15,49,1,6,67
GCF_013357845.fna.gz,vcholerae,-,138,16,,4,,,163
GCF_013414495.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014489315.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_018398195.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_018916555.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013111775.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013111875.fna.gz,vcholerae,1133,5,50,14,31,88,14,45
GCF_013378545.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013414585.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014634305.fna.gz,vcholerae,-,,36,14,,,1,
GCF_014634465.fna.gz,vcholerae,-,,36,14,,14,1,1
GCF_014654575.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014281135.fna.gz,vcholerae,1304,142,273,2,2,53,1,79
GCF_017426745.fna.gz,vcholerae,1492,205,119,201,80,1,53,106
GCF_017426885.fna.gz,vcholerae,1492,205,119,201,80,1,53,106
GCF_019093165.fna.gz,vcholerae,-,66,331,,,,93,
GCF_019273655.fna.gz,vcholerae,-,92,91,163,66,51,9,
GCF_014489005.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_016456655.fna.gz,vcholerae,1474,23,453,14,18,103,17,24
GCF_016456785.fna.gz,vcholerae,709,6,247,46,57,14,1,75
GCF_013111575.fna.gz,vcholerae,170,2,87,4,12,7,1,38
GCF_013111585.fna.gz,vcholerae,-,15,,126,24,1,5,43
GCF_013111675.fna.gz,vcholerae,1392,15,15,14,24,1,5,14
GCF_013111745.fna.gz,vcholerae,170,2,87,4,12,7,1,38
GCF_013111855.fna.gz,vcholerae,-,31,,56,3,1,1,235
GCF_013357665.fna.gz,vcholerae,-,125,1,14,19,11,1,59
GCF_013414465.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014489035.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_018398205.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_018916535.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014634665.fna.gz,vcholerae,-,,36,14,,14,1,1
GCF_014489045.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_017426765.fna.gz,vcholerae,1492,205,119,201,80,1,53,106
GCF_017426905.fna.gz,vcholerae,1495,30,458,15,66,14,170,189
GCF_014489095.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_016456685.fna.gz,vcholerae,714,5,50,1,30,2,18,54
GCF_016456805.fna.gz,vcholerae,1472,5,266,11,6,2,56,192
GCF_013357865.fna.gz,vcholerae,-,88,265,,4,14,,
GCF_013414505.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014525175.fna.gz,vcholerae,-,5,,,,11,21,11
GCF_019093175.fna.gz,vcholerae,-,38,,103,36,,,
GCF_019273675.fna.gz,vcholerae,-,23,371,45,25,14,1,41
GCF_013357885.fna.gz,vcholerae,-,48,,132,66,2,99,331
GCF_013414515.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014634265.fna.gz,vcholerae,-,,36,14,,,1,
GCF_018398235.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_018916575.fna.gz,vcholerae,-,11,37,4,,7,1,20
GCF_014489135.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014634445.fna.gz,vcholerae,-,,36,14,,14,1,1
GCF_014654495.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_017426815.fna.gz,vcholerae,1492,205,119,201,80,1,53,106
GCF_017426945.fna.gz,vcholerae,1495,30,458,15,66,14,170,189
GCF_016456725.fna.gz,vcholerae,-,46,50,14,14,24,18,45
GCF_013111605.fna.gz,vcholerae,1133,5,50,14,31,88,14,45
GCF_013111685.fna.gz,vcholerae,173,57,96,15,2,7,1,75
GCF_013111795.fna.gz,vcholerae,729,11,17,14,23,1,1,69
GCF_013111885.fna.gz,vcholerae,-,2,87,4,,7,1,38
GCF_013414385.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013462495.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014654625.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_019093205.fna.gz,vcholerae,-,,,,36,,93,
GCF_013357685.fna.gz,vcholerae,-,39,297,14,66,13,8,163
GCF_013357785.fna.gz,vcholerae,-,58,,14,66,73,8,137
GCF_013414365.fna.gz,vcholerae,-,75,79,4,72,1,1,83
GCF_013414605.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014654545.fna.gz,vcholerae,1301,114,430,102,9,65,164,338
GCF_018398255.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_018916585.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014634685.fna.gz,vcholerae,-,,36,14,,14,1,1
GCF_017426785.fna.gz,vcholerae,1493,5,381,7,2,132,1,9
GCF_017426915.fna.gz,vcholerae,1494,5,282,14,66,14,6,165
GCF_016456735.fna.gz,vcholerae,714,5,50,1,30,2,18,54
GCF_013111635.fna.gz,vcholerae,173,57,96,15,2,7,1,75
GCF_013111695.fna.gz,vcholerae,170,2,87,4,12,7,1,38
GCF_013111805.fna.gz,vcholerae,737,5,50,2,30,26,18,45
GCF_013111915.fna.gz,vcholerae,170,2,87,4,12,7,1,38
GCF_013414395.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_014116745.fna.gz,vcholerae,1415,23,265,14,18,103,17,24
GCF_014654645.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_019273615.fna.gz,vcholerae,-,99,69,1,146,18,1,
GCF_013357725.fna.gz,vcholerae,-,74,185,76,3,13,9,
GCF_013357805.fna.gz,vcholerae,-,58,,14,66,73,8,137
GCF_013414375.fna.gz,vcholerae,-,33,78,45,34,,11,25
GCF_013414615.fna.gz,vcholerae,-,75,79,4,72,1,1,83
GCF_014634485.fna.gz,vcholerae,-,,36,14,,14,1,1
GCF_014634625.fna.gz,vcholerae,-,,36,14,,14,1,1
GCF_014654695.fna.gz,vcholerae,1287,44,262,15,228,13,8,12
GCF_018916525.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_017426825.fna.gz,vcholerae,1492,205,119,201,80,1,53,106
GCF_016456755.fna.gz,vcholerae,714,5,50,1,30,2,18,54
GCF_013111655.fna.gz,vcholerae,1392,15,15,14,24,1,5,14
GCF_013111735.fna.gz,vcholerae,170,2,87,4,12,7,1,38
GCF_013111825.fna.gz,vcholerae,-,31,,56,3,1,1,235
GCF_013111935.fna.gz,vcholerae,1133,5,50,14,31,88,14,45
GCF_013414405.fna.gz,vcholerae,-,13,32,14,120,17,11,29
GCF_014217395.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_015168795.fna.gz,vcholerae,835,5,56,44,6,2,36,51
GCF_019273635.fna.gz,vcholerae,-,23,371,45,25,14,1,41
GCF_013357745.fna.gz,vcholerae,-,36,292,14,6,73,9,200
GCF_013357765.fna.gz,vcholerae,-,58,43,14,,14,9,39
GCF_013378485.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_013414565.fna.gz,vcholerae,-,1,79,46,24,14,96,66
GCF_014634285.fna.gz,vcholerae,-,,36,14,,,1,
GCF_014634565.fna.gz,vcholerae,-,,36,14,,14,1,1
GCF_014654565.fna.gz,vcholerae,1296,5,64,11,3,2,8,43
GCF_000016245.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_019093025.fna.gz,vcholerae,-,119,,,58,,93,
GCF_016457045.fna.gz,vcholerae,1330,88,59,14,117,14,56,154
GCF_017948345.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_018398175.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_019092805.fna.gz,vcholerae,-,119,,,36,,,
GCF_900185995.fna.gz,vcholerae,514,5,43,14,24,14,1,149
GCF_900538065.fna.gz,vcholerae,1206,175,31,103,188,41,45,294
GCF_902809915.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_015686835.fna.gz,vcholerae,835,5,56,44,6,2,36,51
GCF_016456915.fna.gz,vcholerae,1330,88,59,14,117,14,56,154
GCF_016457055.fna.gz,vcholerae,196,23,105,59,18,2,1,82
GCF_018035165.fna.gz,vcholerae,1411,13,33,1,58,71,11,45
GCF_018920385.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_018920395.fna.gz,vcholerae,-,5,,14,,26,14,45
GCF_018929275.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_018929415.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_019092665.fna.gz,vcholerae,-,119,,,58,,93,
GCF_019093035.fna.gz,vcholerae,-,119,,,58,,93,
