Genome,Scheme,ST,dnaE,pntA,pyrC,recA,tnaA,gyrB,dtdS
GCF_006370595.fna.gz,vparahaemolyticus,1347,49,1,39,25,17,323,29
GCF_006371175.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006371715.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006372055.fna.gz,vparahaemolyticus,817,48,140,7,41,108,5,299
GCF_006369055.fna.gz,vparahaemolyticus,490,118,50,184,72,54,253,76
GCF_006369235.fna.gz,vparahaemolyticus,66,42,35,38,3,31,25,40
GCF_006371095.fna.gz,vparahaemolyticus,-,173,28,82,73,2,243,
GCF_006371405.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006371975.fna.gz,vparahaemolyticus,-,182,50,147,,23,,293
GCF_006372265.fna.gz,vparahaemolyticus,285,39,26,125,27,26,113,143
GCF_006372385.fna.gz,vparahaemolyticus,2172,4,28,9,11,207,13,38
GCF_006370725.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006371305.fna.gz,vparahaemolyticus,-,35,80,222,101,57,138,167
GCF_006371575.fna.gz,vparahaemolyticus,1353,190,18,58,31,23,15,55
GCF_006371705.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006372015.fna.gz,vparahaemolyticus,-,49,24,412,,237,333,195
GCF_006369075.fna.gz,vparahaemolyticus,-,26,,78,31,160,103,167
GCF_006369265.fna.gz,vparahaemolyticus,-,291,18,3,25,51,129,222
GCF_006369425.fna.gz,vparahaemolyticus,-,118,50,184,,54,253,76
GCF_006369455.fna.gz,vparahaemolyticus,1251,5,152,318,173,23,303,373
GCF_006369565.fna.gz,vparahaemolyticus,490,118,50,184,72,54,253,76
GCF_006370635.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006370975.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006371065.fna.gz,vparahaemolyticus,-,284,23,62,61,23,36,69
GCF_006371325.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006371845.fna.gz,vparahaemolyticus,1060,224,4,238,273,68,90,19
GCF_006370745.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006371345.fna.gz,vparahaemolyticus,-,,142,10,98,13,448,167
GCF_006371865.fna.gz,vparahaemolyticus,847,148,127,101,74,202,355,19
GCF_006372235.fna.gz,vparahaemolyticus,1835,150,60,407,364,54,143,434
GCF_006372325.fna.gz,vparahaemolyticus,-,60,4,309,,187,242,
GCF_006371795.fna.gz,vparahaemolyticus,-,73,174,410,80,17,104,270
GCF_006368835.fna.gz,vparahaemolyticus,-,363,246,10,,26,,91
GCF_006368925.fna.gz,vparahaemolyticus,-,28,26,177,116,225,106,85
GCF_006369105.fna.gz,vparahaemolyticus,-,123,4,180,25,24,380,27
GCF_006369375.fna.gz,vparahaemolyticus,-,51,26,120,77,26,525,91
GCF_006369435.fna.gz,vparahaemolyticus,-,291,18,3,25,51,129,222
GCF_006369475.fna.gz,vparahaemolyticus,2102,42,18,136,19,12,171,146
GCF_006369615.fna.gz,vparahaemolyticus,-,80,100,,30,110,192,
GCF_006370755.fna.gz,vparahaemolyticus,2347,291,18,3,25,51,129,39
GCF_006370915.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006370925.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006371005.fna.gz,vparahaemolyticus,1309,158,66,154,153,33,23,74
GCF_006371195.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006371585.fna.gz,vparahaemolyticus,710,100,131,185,80,12,321,217
GCF_006371635.fna.gz,vparahaemolyticus,1831,366,26,319,102,81,498,90
GCF_006371805.fna.gz,vparahaemolyticus,1790,9,49,85,62,20,1,296
GCF_006372255.fna.gz,vparahaemolyticus,285,39,26,125,27,26,113,143
GCF_006372285.fna.gz,vparahaemolyticus,1343,95,74,45,211,70,34,242
GCF_006368785.fna.gz,vparahaemolyticus,-,118,50,184,,54,253,76
GCF_006368795.fna.gz,vparahaemolyticus,2318,110,18,108,116,24,144,215
GCF_006368875.fna.gz,vparahaemolyticus,-,206,4,121,209,169,70,72
GCF_006368945.fna.gz,vparahaemolyticus,1776,113,23,11,134,26,145,70
GCF_006369175.fna.gz,vparahaemolyticus,-,92,50,73,25,26,261,
GCF_006369515.fna.gz,vparahaemolyticus,-,175,130,17,168,51,22,201
GCF_006369625.fna.gz,vparahaemolyticus,-,,23,307,310,57,82,378
GCF_006370775.fna.gz,vparahaemolyticus,1113,34,201,327,216,33,4,151
GCF_006371355.fna.gz,vparahaemolyticus,-,5,63,26,115,84,84,74
GCF_006371905.fna.gz,vparahaemolyticus,1820,49,92,127,67,98,169,76
GCF_006369085.fna.gz,vparahaemolyticus,1353,190,18,58,31,23,15,55
GCF_006369645.fna.gz,vparahaemolyticus,-,97,,297,,,508,
GCF_006371105.fna.gz,vparahaemolyticus,-,111,99,,17,26,106,314
GCF_006371435.fna.gz,vparahaemolyticus,1838,19,46,68,109,57,86,433
GCF_006371625.fna.gz,vparahaemolyticus,476,96,120,131,31,33,228,3
GCF_006371735.fna.gz,vparahaemolyticus,-,5,63,26,115,84,84,74
GCF_006372075.fna.gz,vparahaemolyticus,-,11,26,96,25,163,,35
GCF_006372275.fna.gz,vparahaemolyticus,-,28,18,69,82,26,106,251
GCF_006368845.fna.gz,vparahaemolyticus,1820,49,92,127,67,98,169,76
GCF_006368935.fna.gz,vparahaemolyticus,-,133,6,11,361,151,357,67
GCF_006369115.fna.gz,vparahaemolyticus,1039,14,27,11,49,13,30,78
GCF_006370625.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006370955.fna.gz,vparahaemolyticus,-,102,26,365,151,17,193,151
GCF_006371055.fna.gz,vparahaemolyticus,-,42,26,303,91,33,198,353
GCF_006371225.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006371825.fna.gz,vparahaemolyticus,1821,182,156,104,25,71,52,75
GCF_006369525.fna.gz,vparahaemolyticus,-,140,18,9,11,23,326,
GCF_006369655.fna.gz,vparahaemolyticus,-,384,28,263,97,37,4,452
GCF_006371115.fna.gz,vparahaemolyticus,-,71,23,77,73,57,,47
GCF_006371445.fna.gz,vparahaemolyticus,1805,47,79,45,166,26,91,46
GCF_006372035.fna.gz,vparahaemolyticus,817,48,140,7,41,108,5,299
GCF_006374595.fna.gz,vparahaemolyticus,2097,44,56,37,87,63,130,110
GCF_006374635.fna.gz,vparahaemolyticus,491,28,18,7,82,26,106,204
GCF_006374675.fna.gz,vparahaemolyticus,600,206,18,225,209,33,90,245
GCF_006374735.fna.gz,vparahaemolyticus,-,7,6,370,113,33,236,89
GCF_006374755.fna.gz,vparahaemolyticus,-,201,197,27,98,98,25,61
GCF_006374805.fna.gz,vparahaemolyticus,-,175,130,281,168,32,72,
GCF_006374845.fna.gz,vparahaemolyticus,864,3,2,245,61,2,230,268
GCF_006372085.fna.gz,vparahaemolyticus,-,,,128,118,,130,
GCF_006372095.fna.gz,vparahaemolyticus,-,5,46,7,,26,263,73
GCF_006372395.fna.gz,vparahaemolyticus,1490,112,54,11,25,81,143,120
GCF_006372405.fna.gz,vparahaemolyticus,-,333,26,109,31,,153,78
GCF_006372445.fna.gz,vparahaemolyticus,-,31,78,,162,247,146,69
GCF_006372455.fna.gz,vparahaemolyticus,-,106,46,11,74,77,142,
GCF_006372465.fna.gz,vparahaemolyticus,-,106,46,11,74,77,142,
GCF_006372485.fna.gz,vparahaemolyticus,2157,397,46,7,123,26,195,66
GCF_006372535.fna.gz,vparahaemolyticus,-,180,50,307,158,24,106,
GCF_006372545.fna.gz,vparahaemolyticus,-,91,26,262,84,17,101,91
GCF_006372565.fna.gz,vparahaemolyticus,-,35,4,10,239,57,25,103
GCF_006372575.fna.gz,vparahaemolyticus,-,84,4,37,89,24,106,191
GCF_006372595.fna.gz,vparahaemolyticus,-,,28,130,31,47,131,408
GCF_006372615.fna.gz,vparahaemolyticus,-,207,21,107,,33,257,
GCF_006372625.fna.gz,vparahaemolyticus,-,230,47,388,233,12,143,29
GCF_006372635.fna.gz,vparahaemolyticus,1249,44,4,3,257,238,58,371
GCF_006372695.fna.gz,vparahaemolyticus,-,103,28,10,117,51,146,13
GCF_006372705.fna.gz,vparahaemolyticus,-,80,26,95,111,100,88,109
GCF_006372715.fna.gz,vparahaemolyticus,799,28,63,187,82,1,4,88
GCF_006372735.fna.gz,vparahaemolyticus,-,80,26,95,111,100,88,109
GCF_006372765.fna.gz,vparahaemolyticus,847,148,127,101,74,202,355,19
GCF_006372775.fna.gz,vparahaemolyticus,-,60,194,27,,30,184,346
GCF_006372785.fna.gz,vparahaemolyticus,-,11,37,212,135,54,106,74
GCF_006372795.fna.gz,vparahaemolyticus,1315,12,4,102,86,23,130,91
GCF_006372855.fna.gz,vparahaemolyticus,-,28,28,,67,26,478,91
GCF_006372865.fna.gz,vparahaemolyticus,2184,19,50,68,70,73,165,150
GCF_006372885.fna.gz,vparahaemolyticus,-,28,49,178,70,,282,378
GCF_006372905.fna.gz,vparahaemolyticus,-,377,,37,67,280,147,206
GCF_006372915.fna.gz,vparahaemolyticus,992,9,2,46,165,1,213,82
GCF_006372925.fna.gz,vparahaemolyticus,288,3,31,128,60,26,25,144
GCF_006372945.fna.gz,vparahaemolyticus,271,3,26,11,81,26,134,76
GCF_006372965.fna.gz,vparahaemolyticus,-,205,23,8,3,12,226,50
GCF_006373015.fna.gz,vparahaemolyticus,-,62,50,5,72,234,82,5
GCF_006373025.fna.gz,vparahaemolyticus,-,6,11,35,173,54,6,17
GCF_006373035.fna.gz,vparahaemolyticus,-,205,23,8,3,12,226,50
GCF_006373045.fna.gz,vparahaemolyticus,-,131,26,,31,146,487,35
GCF_006373055.fna.gz,vparahaemolyticus,-,132,26,206,198,237,299,19
GCF_006373095.fna.gz,vparahaemolyticus,809,215,48,232,144,26,344,76
GCF_006373115.fna.gz,vparahaemolyticus,-,12,149,,61,12,,175
GCF_006373155.fna.gz,vparahaemolyticus,-,34,181,46,127,47,,163
GCF_006373175.fna.gz,vparahaemolyticus,-,175,61,11,173,37,106,186
GCF_006373185.fna.gz,vparahaemolyticus,-,,78,37,154,,141,150
GCF_006373195.fna.gz,vparahaemolyticus,-,,233,,72,71,104,73
GCF_006373225.fna.gz,vparahaemolyticus,2486,155,206,11,242,24,475,407
GCF_006373235.fna.gz,vparahaemolyticus,-,133,43,63,3,23,136,79
GCF_006373265.fna.gz,vparahaemolyticus,1815,291,4,50,45,23,49,49
GCF_006373285.fna.gz,vparahaemolyticus,-,,4,297,,,89,19
GCF_006373315.fna.gz,vparahaemolyticus,-,339,61,145,31,47,461,13
GCF_006373325.fna.gz,vparahaemolyticus,-,12,143,47,286,51,,19
GCF_006373345.fna.gz,vparahaemolyticus,288,3,31,128,60,26,25,144
GCF_006373365.fna.gz,vparahaemolyticus,-,363,4,10,73,33,246,29
GCF_006373375.fna.gz,vparahaemolyticus,-,34,181,46,127,47,,163
GCF_006373385.fna.gz,vparahaemolyticus,1027,60,26,37,89,23,94,82
GCF_006373395.fna.gz,vparahaemolyticus,-,34,181,46,127,47,,163
GCF_006373455.fna.gz,vparahaemolyticus,-,19,50,119,113,23,368,426
GCF_006373465.fna.gz,vparahaemolyticus,-,34,181,46,127,47,,163
GCF_006373495.fna.gz,vparahaemolyticus,-,62,50,5,72,234,82,5
GCF_006373505.fna.gz,vparahaemolyticus,-,76,53,45,31,33,88,112
GCF_006373515.fna.gz,vparahaemolyticus,-,,26,,99,86,134,79
GCF_006373545.fna.gz,vparahaemolyticus,1121,232,26,166,31,71,408,29
GCF_006373555.fna.gz,vparahaemolyticus,1811,33,39,342,274,225,430,340
GCF_006373585.fna.gz,vparahaemolyticus,212,69,54,71,69,24,92,114
GCF_006373615.fna.gz,vparahaemolyticus,1061,183,23,182,172,57,396,27
GCF_006373625.fna.gz,vparahaemolyticus,1770,155,26,100,141,26,29,73
GCF_006373635.fna.gz,vparahaemolyticus,-,71,26,73,85,9,,13
GCF_006373645.fna.gz,vparahaemolyticus,1770,155,26,100,141,26,29,73
GCF_006373675.fna.gz,vparahaemolyticus,-,31,4,212,135,54,106,74
GCF_006373705.fna.gz,vparahaemolyticus,-,137,18,11,,86,,82
GCF_006373715.fna.gz,vparahaemolyticus,859,208,147,46,213,24,300,29
GCF_006373735.fna.gz,vparahaemolyticus,347,103,2,144,31,26,186,78
GCF_006373775.fna.gz,vparahaemolyticus,-,62,50,5,72,234,82,5
GCF_006373785.fna.gz,vparahaemolyticus,-,344,239,190,341,86,465,11
GCF_006373815.fna.gz,vparahaemolyticus,-,6,11,35,173,54,6,17
GCF_006373825.fna.gz,vparahaemolyticus,1805,47,79,45,166,26,91,46
GCF_006373845.fna.gz,vparahaemolyticus,1375,319,56,160,323,12,449,388
GCF_006373875.fna.gz,vparahaemolyticus,-,382,31,212,60,54,136,180
GCF_006373885.fna.gz,vparahaemolyticus,1072,111,115,164,164,118,404,149
GCF_006373905.fna.gz,vparahaemolyticus,-,152,214,54,17,14,57,14
GCF_006373935.fna.gz,vparahaemolyticus,-,7,26,,3,33,106,19
GCF_006373945.fna.gz,vparahaemolyticus,-,31,50,90,91,23,4,
GCF_006373955.fna.gz,vparahaemolyticus,-,62,50,5,72,234,82,5
GCF_006373975.fna.gz,vparahaemolyticus,669,203,18,11,224,26,152,69
GCF_006373995.fna.gz,vparahaemolyticus,1121,232,26,166,31,71,408,29
GCF_006374035.fna.gz,vparahaemolyticus,-,62,50,5,72,234,82,5
GCF_006374045.fna.gz,vparahaemolyticus,-,26,152,393,357,23,355,74
GCF_006374055.fna.gz,vparahaemolyticus,-,6,11,35,173,54,6,17
GCF_006374075.fna.gz,vparahaemolyticus,1328,80,50,96,34,26,106,237
GCF_006374095.fna.gz,vparahaemolyticus,1770,155,26,100,141,26,29,73
GCF_006374125.fna.gz,vparahaemolyticus,2134,5,120,5,251,203,532,129
GCF_006374135.fna.gz,vparahaemolyticus,347,103,2,144,31,26,186,78
GCF_006374155.fna.gz,vparahaemolyticus,-,31,4,212,135,54,106,74
GCF_006374185.fna.gz,vparahaemolyticus,1969,28,18,58,31,46,15,55
GCF_006374215.fna.gz,vparahaemolyticus,-,28,23,26,19,94,235,220
GCF_006374225.fna.gz,vparahaemolyticus,945,266,150,11,263,62,316,337
GCF_006374245.fna.gz,vparahaemolyticus,-,51,60,54,77,33,197,50
GCF_006374255.fna.gz,vparahaemolyticus,411,2,26,83,72,23,113,94
GCF_006374285.fna.gz,vparahaemolyticus,-,44,56,11,31,225,124,171
GCF_006374305.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006374335.fna.gz,vparahaemolyticus,154,35,49,46,63,26,50,27
GCF_006374345.fna.gz,vparahaemolyticus,-,26,21,11,,51,428,278
GCF_006374355.fna.gz,vparahaemolyticus,154,35,49,46,63,26,50,27
GCF_006374375.fna.gz,vparahaemolyticus,600,206,18,225,209,33,90,245
GCF_006374395.fna.gz,vparahaemolyticus,-,,165,352,209,17,131,127
GCF_006374405.fna.gz,vparahaemolyticus,1089,230,28,163,64,23,286,272
GCF_006374415.fna.gz,vparahaemolyticus,169,51,60,8,77,33,4,67
GCF_006374455.fna.gz,vparahaemolyticus,-,,26,,31,146,487,35
GCF_006374465.fna.gz,vparahaemolyticus,-,,50,54,299,2,,76
GCF_006374495.fna.gz,vparahaemolyticus,-,112,61,5,187,47,25,
GCF_006374505.fna.gz,vparahaemolyticus,154,35,49,46,63,26,50,27
GCF_006374545.fna.gz,vparahaemolyticus,-,291,,11,146,135,199,13
GCF_006374555.fna.gz,vparahaemolyticus,679,19,54,96,4,175,318,13
GCF_006374585.fna.gz,vparahaemolyticus,-,5,117,3,186,94,153,12
GCF_006374605.fna.gz,vparahaemolyticus,679,19,54,96,4,175,318,13
GCF_006374665.fna.gz,vparahaemolyticus,-,12,78,46,98,84,52,13
GCF_006374695.fna.gz,vparahaemolyticus,546,84,139,37,19,144,149,46
GCF_006374745.fna.gz,vparahaemolyticus,-,,26,109,102,51,349,284
GCF_006374775.fna.gz,vparahaemolyticus,347,103,2,144,31,26,186,78
GCF_006374815.fna.gz,vparahaemolyticus,679,19,54,96,4,175,318,13
GCF_006374865.fna.gz,vparahaemolyticus,-,26,21,11,123,51,428,278
GCF_006374915.fna.gz,vparahaemolyticus,-,3,30,7,,23,82,153
GCF_006375035.fna.gz,vparahaemolyticus,-,233,26,11,,,75,67
GCF_006375205.fna.gz,vparahaemolyticus,-,19,54,96,4,175,318,
GCF_006375395.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006375445.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006376705.fna.gz,vparahaemolyticus,-,42,35,109,67,31,,40
GCF_006377085.fna.gz,vparahaemolyticus,558,173,4,5,73,26,82,235
GCF_006374925.fna.gz,vparahaemolyticus,-,,165,352,209,17,131,127
GCF_006375045.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006375215.fna.gz,vparahaemolyticus,1541,3,28,226,210,159,116,288
GCF_006375405.fna.gz,vparahaemolyticus,1851,208,147,46,213,24,300,437
GCF_006376995.fna.gz,vparahaemolyticus,-,291,2,3,199,20,106,331
GCF_006377265.fna.gz,vparahaemolyticus,-,28,28,,209,26,,79
GCF_006377405.fna.gz,vparahaemolyticus,445,137,122,11,3,131,238,194
GCF_006376765.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006378945.fna.gz,vparahaemolyticus,2157,397,46,7,123,26,195,66
GCF_006381695.fna.gz,vparahaemolyticus,114,55,18,58,31,46,15,55
GCF_006375165.fna.gz,vparahaemolyticus,-,81,46,,353,155,,171
GCF_006375335.fna.gz,vparahaemolyticus,-,,,52,,178,,29
GCF_006376975.fna.gz,vparahaemolyticus,-,81,46,,353,155,,171
GCF_006383315.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006383425.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006375175.fna.gz,vparahaemolyticus,-,151,162,,124,24,117,166
GCF_006375345.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006375455.fna.gz,vparahaemolyticus,-,33,,45,39,23,261,88
GCF_006375495.fna.gz,vparahaemolyticus,950,3,26,119,31,54,374,214
GCF_006377005.fna.gz,vparahaemolyticus,679,19,54,96,4,175,318,13
GCF_009389785.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009389905.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_006377285.fna.gz,vparahaemolyticus,1841,79,23,410,299,23,72,89
GCF_006378955.fna.gz,vparahaemolyticus,-,6,30,243,,24,252,
GCF_006382625.fna.gz,vparahaemolyticus,-,71,,69,246,47,345,167
GCF_006374875.fna.gz,vparahaemolyticus,-,101,4,101,,26,124,13
GCF_006374895.fna.gz,vparahaemolyticus,-,1,142,110,,26,369,435
GCF_006375025.fna.gz,vparahaemolyticus,-,81,46,,353,155,,171
GCF_006375135.fna.gz,vparahaemolyticus,-,60,2,207,,33,106,38
GCF_006375325.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006376745.fna.gz,vparahaemolyticus,-,,,52,,178,,29
GCF_006377095.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006383325.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006376775.fna.gz,vparahaemolyticus,2014,348,26,11,67,42,510,280
GCF_009390465.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390515.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006376815.fna.gz,vparahaemolyticus,744,31,23,26,236,51,82,35
GCF_009391125.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009645315.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_009389805.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006378975.fna.gz,vparahaemolyticus,-,162,11,158,,51,399,150
GCF_006377295.fna.gz,vparahaemolyticus,-,26,,72,,13,282,50
GCF_006376835.fna.gz,vparahaemolyticus,-,352,,,175,,117,82
GCF_009859385.fna.gz,vparahaemolyticus,-,44,28,268,,193,106,126
GCF_009883855.fna.gz,vparahaemolyticus,415,42,26,41,99,51,134,79
GCF_006383335.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_006375195.fna.gz,vparahaemolyticus,-,5,,11,25,57,13,163
GCF_006375385.fna.gz,vparahaemolyticus,-,130,143,119,113,169,58,290
GCF_006376985.fna.gz,vparahaemolyticus,-,28,49,178,70,,282,378
GCF_009390495.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390555.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006376855.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_009391145.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009647345.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_009389855.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006378995.fna.gz,vparahaemolyticus,424,170,117,18,75,124,224,139
GCF_006377305.fna.gz,vparahaemolyticus,79,35,31,35,38,37,43,21
GCF_009859405.fna.gz,vparahaemolyticus,-,44,28,268,,193,106,126
GCF_009883875.fna.gz,vparahaemolyticus,-,19,48,11,61,26,,68
GCF_006383355.fna.gz,vparahaemolyticus,1864,370,50,248,368,24,13,133
GCF_006374955.fna.gz,vparahaemolyticus,-,12,4,3,150,254,,
GCF_006375075.fna.gz,vparahaemolyticus,-,11,162,5,,47,104,
GCF_006375275.fna.gz,vparahaemolyticus,2192,80,26,10,160,23,25,179
GCF_006375515.fna.gz,vparahaemolyticus,864,3,2,245,61,2,230,268
GCF_006377025.fna.gz,vparahaemolyticus,-,352,,,175,,117,82
GCF_009390505.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390565.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006376875.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_009391175.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009647695.fna.gz,vparahaemolyticus,1743,112,26,8,61,57,8,425
GCF_009389865.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006379005.fna.gz,vparahaemolyticus,1969,28,18,58,31,46,15,55
GCF_009883815.fna.gz,vparahaemolyticus,-,42,26,41,99,51,134,
GCF_009883895.fna.gz,vparahaemolyticus,1166,297,4,101,89,73,124,13
GCF_006376895.fna.gz,vparahaemolyticus,564,31,37,212,135,54,106,74
GCF_006377345.fna.gz,vparahaemolyticus,-,266,69,,61,24,77,
GCF_006377385.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006383385.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006383435.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006374995.fna.gz,vparahaemolyticus,-,,165,352,209,17,131,127
GCF_006375115.fna.gz,vparahaemolyticus,-,5,149,,62,132,,
GCF_006375285.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006375525.fna.gz,vparahaemolyticus,564,31,37,212,135,54,106,74
GCF_006375555.fna.gz,vparahaemolyticus,-,270,47,23,,,182,
GCF_006376755.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006377105.fna.gz,vparahaemolyticus,-,,26,46,194,,127,89
GCF_009496475.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_009389895.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006381675.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_009883835.fna.gz,vparahaemolyticus,415,42,26,41,99,51,134,79
GCF_009936575.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006376905.fna.gz,vparahaemolyticus,-,80,35,413,62,23,13,150
GCF_006377375.fna.gz,vparahaemolyticus,-,111,,71,,248,,
GCF_006377395.fna.gz,vparahaemolyticus,-,214,26,26,214,105,291,76
GCF_006383415.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006383445.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006375005.fna.gz,vparahaemolyticus,-,3,70,177,150,,316,191
GCF_006375125.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006375315.fna.gz,vparahaemolyticus,-,81,46,,353,155,,171
GCF_006375565.fna.gz,vparahaemolyticus,-,28,49,178,70,,282,378
GCF_006377075.fna.gz,vparahaemolyticus,505,5,45,190,38,94,40,209
GCF_009645245.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_009647705.fna.gz,vparahaemolyticus,973,27,50,54,61,216,324,263
GCF_006376915.fna.gz,vparahaemolyticus,564,31,37,212,135,54,106,74
GCF_009389975.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390595.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390705.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006382865.fna.gz,vparahaemolyticus,1845,64,61,11,65,24,90,148
GCF_009936605.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_009991645.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_006382885.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006383455.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_008039275.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006377115.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_006377145.fna.gz,vparahaemolyticus,-,352,26,45,19,68,262,116
GCF_006377205.fna.gz,vparahaemolyticus,114,55,18,58,31,46,15,55
GCF_006377575.fna.gz,vparahaemolyticus,645,226,26,62,97,1,25,75
GCF_006378795.fna.gz,vparahaemolyticus,-,10,50,5,273,17,290,13
GCF_006382805.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_008271735.fna.gz,vparahaemolyticus,1166,297,4,101,89,73,124,13
GCF_009738005.fna.gz,vparahaemolyticus,2483,230,286,11,408,155,561,391
GCF_006382895.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_009389915.fna.gz,vparahaemolyticus,2473,28,18,69,82,23,4,251
GCF_009390065.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390655.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390765.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006382925.fna.gz,vparahaemolyticus,1869,3,78,11,173,264,106,186
GCF_009936625.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_009991665.fna.gz,vparahaemolyticus,1169,299,207,72,301,80,421,367
GCF_006382955.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_008039155.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_008039285.fna.gz,vparahaemolyticus,8,28,63,69,82,1,4,88
GCF_006377445.fna.gz,vparahaemolyticus,-,5,249,,,24,4,
GCF_006377455.fna.gz,vparahaemolyticus,1703,230,47,388,31,12,143,418
GCF_006377535.fna.gz,vparahaemolyticus,-,,10,213,206,94,276,5
GCF_006378615.fna.gz,vparahaemolyticus,-,28,2,129,70,24,106,249
GCF_006378805.fna.gz,vparahaemolyticus,1583,42,26,85,62,20,1,241
