Genome,Scheme,ST,ddl,gdh,atpA,gyd,adk,pstS,purK
GCF_005235725.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_001563005.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_004328225.fna.gz,efaecium,-,7,5,2,1,1,1,
GCF_005234215.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_005234495.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005234965.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005235395.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_005235735.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_000804385.fna.gz,efaecium,5,2,1,5,1,5,1,9
GCF_004300275.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300315.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_004300375.fna.gz,efaecium,448,3,1,1,1,1,20,44
GCF_004300435.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300505.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300555.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300705.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004328235.fna.gz,efaecium,-,7,5,2,1,1,1,
GCF_005234225.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_005234505.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005234975.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005235445.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_005235745.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_001545725.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_004328245.fna.gz,efaecium,-,7,5,2,1,1,1,
GCF_005234235.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_005234515.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005234985.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005235465.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005235965.fna.gz,efaecium,16,2,1,1,1,1,1,1
GCF_001518735.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_004300605.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300715.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004332255.fna.gz,efaecium,-,7,5,2,1,1,1,
GCF_005234325.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005234745.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_005235115.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005235575.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_001025375.fna.gz,efaecium,-,8,8,,6,6,10,8
GCF_004300625.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_004300725.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004332275.fna.gz,efaecium,-,7,5,2,1,1,1,
GCF_005234345.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005234785.fna.gz,efaecium,-,18,13,5,1,1,7,6
GCF_005235275.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005235585.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_001587115.fna.gz,efaecium,904,3,1,1,1,1,54,1
GCF_004328255.fna.gz,efaecium,-,7,5,2,1,1,1,
GCF_005234245.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_005234565.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005235015.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005235475.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005236025.fna.gz,efaecium,8,2,1,5,1,1,7,6
GCF_001052865.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004300185.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300195.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004300245.fna.gz,efaecium,583,8,14,5,8,6,26,22
GCF_004300265.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_004300285.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300345.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300395.fna.gz,efaecium,-,1,1,9,1,1,,1
GCF_004300445.fna.gz,efaecium,280,3,1,1,1,1,1,1
GCF_004300535.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_004300645.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004300775.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_004923245.fna.gz,efaecium,1500,16,8,13,11,6,138,16
GCF_005234395.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005234855.fna.gz,efaecium,282,1,1,7,5,1,20,1
GCF_005235295.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005235645.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_001542895.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_004328385.fna.gz,efaecium,-,7,5,2,1,1,1,
GCF_005234295.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005234595.fna.gz,efaecium,20,1,1,5,8,1,6,1
GCF_005235045.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005235495.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005236115.fna.gz,efaecium,241,2,13,9,1,1,7,6
GCF_001543555.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_005234435.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005234905.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_005235375.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005235685.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_001055235.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_004332055.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_005234315.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005234705.fna.gz,efaecium,8,2,1,5,1,1,7,6
GCF_005235075.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005235535.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005236125.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_006375865.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_006375975.fna.gz,efaecium,391,3,1,7,12,20,1,1
GCF_006376075.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_006376175.fna.gz,efaecium,245,2,1,9,1,1,36,6
GCF_006376275.fna.gz,efaecium,94,8,8,13,6,6,10,8
GCF_006541535.fna.gz,efaecium,29,5,1,4,1,1,1,3
GCF_006741355.fna.gz,efaecium,-,3,13,9,1,1,36,6
GCF_001545745.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_006376285.fna.gz,efaecium,393,2,1,5,1,1,1,1
GCF_006541615.fna.gz,efaecium,76,8,10,13,6,11,28,23
GCF_000804405.fna.gz,efaecium,1534,2,8,5,1,5,1,9
GCF_001545595.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_001545785.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_005236525.fna.gz,efaecium,157,2,6,9,1,1,7,6
GCF_005236645.fna.gz,efaecium,-,2,1,5,1,1,7,32
GCF_005237055.fna.gz,efaecium,195,2,1,9,1,1,7,6
GCF_005237165.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_005237205.fna.gz,efaecium,-,2,1,9,1,,7,6
GCF_005237235.fna.gz,efaecium,-,2,1,9,7,1,1,6
GCF_005237325.fna.gz,efaecium,-,2,6,9,1,5,1,6
GCF_005237365.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_005237515.fna.gz,efaecium,10,2,1,5,1,1,1,6
GCF_005237545.fna.gz,efaecium,-,2,6,9,1,5,1,6
GCF_005237705.fna.gz,efaecium,245,2,1,9,1,1,36,6
GCF_005237725.fna.gz,efaecium,157,2,6,9,1,1,7,6
GCF_005237785.fna.gz,efaecium,-,2,13,9,1,1,14,6
GCF_005238475.fna.gz,efaecium,-,2,13,9,7,1,7,6
GCF_005238785.fna.gz,efaecium,195,2,1,9,1,1,7,6
GCF_005238875.fna.gz,efaecium,-,2,1,,1,1,1,6
GCF_005287905.fna.gz,efaecium,375,3,1,9,12,1,1,1
GCF_005844995.fna.gz,efaecium,800,8,8,13,6,6,88,8
GCF_005886715.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_006375635.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_006375695.fna.gz,efaecium,157,2,6,9,1,1,7,6
GCF_006375785.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_006375895.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_006375995.fna.gz,efaecium,190,3,6,5,2,1,20,6
GCF_006376095.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_006376195.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_006376295.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_006541625.fna.gz,efaecium,76,8,10,13,6,11,28,23
GCF_001545775.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_001543745.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_001025385.fna.gz,efaecium,1878,8,8,13,11,6,27,23
GCF_006375645.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_006375735.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_006375795.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_006375915.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_006376005.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_006376105.fna.gz,efaecium,704,2,1,5,26,6,14,11
GCF_006376215.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_006381655.fna.gz,efaecium,29,5,1,4,1,1,1,3
GCF_006541645.fna.gz,efaecium,76,8,10,13,6,11,28,23
GCF_001053045.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_005236135.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_005236145.fna.gz,efaecium,245,2,1,9,1,1,36,6
GCF_005236155.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_005236195.fna.gz,efaecium,-,18,13,5,1,1,7,6
GCF_005236225.fna.gz,efaecium,195,2,1,9,1,1,7,6
GCF_005236235.fna.gz,efaecium,-,18,13,5,1,1,7,6
GCF_005236245.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_005236305.fna.gz,efaecium,-,18,13,5,1,1,7,6
GCF_005236315.fna.gz,efaecium,-,18,13,5,1,1,7,6
GCF_005236325.fna.gz,efaecium,1099,2,1,5,2,1,7,6
GCF_005236345.fna.gz,efaecium,-,18,13,5,1,1,7,6
GCF_005236355.fna.gz,efaecium,10,2,1,5,1,1,1,6
GCF_005236375.fna.gz,efaecium,195,2,1,9,1,1,7,6
GCF_005236495.fna.gz,efaecium,1866,2,1,5,1,1,36,6
GCF_005236505.fna.gz,efaecium,-,2,1,5,1,1,7,32
GCF_005236515.fna.gz,efaecium,157,2,6,9,1,1,7,6
GCF_005236605.fna.gz,efaecium,-,18,13,5,1,1,7,6
GCF_005236665.fna.gz,efaecium,14,2,7,9,1,1,7,6
GCF_005237065.fna.gz,efaecium,-,2,1,,1,1,1,6
GCF_005237195.fna.gz,efaecium,8,2,1,5,1,1,7,6
GCF_005237215.fna.gz,efaecium,-,2,,5,1,1,7,6
GCF_005237275.fna.gz,efaecium,-,2,6,9,1,5,1,6
GCF_005237355.fna.gz,efaecium,-,2,1,9,1,,7,6
GCF_005237385.fna.gz,efaecium,8,2,1,5,1,1,7,6
GCF_005237525.fna.gz,efaecium,-,18,13,5,1,1,7,6
GCF_005237675.fna.gz,efaecium,157,2,6,9,1,1,7,6
GCF_005237715.fna.gz,efaecium,241,2,13,9,1,1,7,6
GCF_005237735.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_005237865.fna.gz,efaecium,236,2,6,9,1,1,1,6
GCF_005238515.fna.gz,efaecium,10,2,1,5,1,1,1,6
GCF_005238805.fna.gz,efaecium,-,2,13,9,7,1,7,6
GCF_005238985.fna.gz,efaecium,-,2,1,5,1,1,7,32
GCF_005451945.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_005886545.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_006351845.fna.gz,efaecium,1091,2,1,5,1,1,16,3
GCF_006375675.fna.gz,efaecium,1055,13,9,5,8,6,19,15
GCF_006375755.fna.gz,efaecium,430,3,1,5,1,1,7,1
GCF_006375815.fna.gz,efaecium,434,8,8,11,10,6,41,17
GCF_006375925.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_006376015.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_006376115.fna.gz,efaecium,361,8,8,13,6,6,51,8
GCF_006376225.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_006541175.fna.gz,efaecium,212,7,5,15,1,1,1,7
GCF_006541685.fna.gz,efaecium,-,8,10,13,6,,28,23
GCF_001055445.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_005238445.fna.gz,efaecium,-,2,13,9,7,1,7,6
GCF_005238665.fna.gz,efaecium,-,2,1,5,1,1,7,32
GCF_005238815.fna.gz,efaecium,195,2,1,9,1,1,7,6
GCF_005281885.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005576735.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_005886655.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_005886735.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_005952885.fna.gz,efaecium,280,3,1,1,1,1,1,1
GCF_006007925.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_006280355.fna.gz,efaecium,-,2,1,5,1,5,33,3
GCF_006337045.fna.gz,efaecium,19,1,1,7,1,1,11,1
GCF_006337145.fna.gz,efaecium,361,8,8,13,6,6,51,8
GCF_006351785.fna.gz,efaecium,19,1,1,7,1,1,11,1
GCF_006375615.fna.gz,efaecium,448,3,1,1,1,1,20,44
GCF_006375685.fna.gz,efaecium,1059,1,1,81,1,1,1,2
GCF_006375775.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_006375855.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_006375945.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_006376055.fna.gz,efaecium,280,3,1,1,1,1,1,1
GCF_006376145.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_006376235.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_006541485.fna.gz,efaecium,76,8,10,13,6,11,28,23
GCF_006575625.fna.gz,efaecium,549,1,44,15,1,1,1,1
GCF_008079275.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_008131195.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008131355.fna.gz,efaecium,656,3,1,15,1,1,20,44
GCF_008131435.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008725705.fna.gz,efaecium,133,2,1,5,1,5,14,9
GCF_008725785.fna.gz,efaecium,133,2,1,5,1,5,14,9
GCF_008726035.fna.gz,efaecium,310,2,1,9,22,1,7,6
GCF_008728475.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_008921845.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008921935.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009183885.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009184005.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_009184075.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_009184205.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009184265.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009707505.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_009733995.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_009734655.fna.gz,efaecium,646,5,1,14,1,1,1,3
GCF_009734925.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009735205.fna.gz,efaecium,1216,2,6,94,1,1,117,3
GCF_009769925.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_000804415.fna.gz,efaecium,156,2,12,5,1,5,1,9
GCF_008079215.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_008131155.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008131285.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008131375.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008131455.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008725745.fna.gz,efaecium,133,2,1,5,1,5,14,9
GCF_008725845.fna.gz,efaecium,310,2,1,9,22,1,7,6
GCF_008726125.fna.gz,efaecium,157,2,6,9,1,1,7,6
GCF_008921835.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008921925.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009078415.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_009183965.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_009184055.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009184155.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009184235.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_009659845.fna.gz,efaecium,-,5,1,5,41,1,7,3
GCF_009707535.fna.gz,efaecium,1058,76,2,2,1,1,1,2
GCF_009734515.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009734855.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009735005.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009735525.fna.gz,efaecium,1449,4,12,40,1,5,116,9
GCF_007625025.fna.gz,efaecium,70,4,12,9,1,10,7,9
GCF_007917035.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_007917315.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_008000855.fna.gz,efaecium,76,8,10,13,6,11,28,23
GCF_008079185.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_008079195.fna.gz,efaecium,-,3,24,5,1,,,6
GCF_008079205.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_008123945.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008131205.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008131295.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008131305.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008131385.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008131485.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008131515.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008131525.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008131535.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008131565.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008131595.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008131615.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008131625.fna.gz,efaecium,1304,1,1,3,5,5,1,1
GCF_008131645.fna.gz,efaecium,770,1,1,3,5,1,1,1
GCF_008131675.fna.gz,efaecium,1516,1,1,7,5,1,20,44
GCF_008131685.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008131705.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008131725.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008131755.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008330605.fna.gz,efaecium,178,8,8,13,6,6,27,8
GCF_008365415.fna.gz,efaecium,-,6,14,,3,2,,
GCF_008725685.fna.gz,efaecium,133,2,1,5,1,5,14,9
GCF_008725775.fna.gz,efaecium,133,2,1,5,1,5,14,9
GCF_008725935.fna.gz,efaecium,13,2,1,9,7,1,7,6
GCF_008728455.fna.gz,efaecium,787,1,1,9,12,1,7,1
GCF_008921725.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008921735.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008921805.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_008921825.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008921855.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008921945.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008921955.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008922005.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_008922055.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_008974665.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_009036045.fna.gz,efaecium,323,1,1,5,1,1,1,1
GCF_009183865.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009183895.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009183955.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009184015.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_009184105.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009184225.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009184285.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009707525.fna.gz,efaecium,1058,76,2,2,1,1,1,2
GCF_009734005.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_009734805.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009734975.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009735345.fna.gz,efaecium,160,3,1,4,1,1,1,27
GCF_009769935.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_008131145.fna.gz,efaecium,280,3,1,1,1,1,1,1
GCF_008131275.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_008131365.fna.gz,efaecium,1517,3,1,113,1,1,20,44
GCF_008131445.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008725735.fna.gz,efaecium,133,2,1,5,1,5,14,9
GCF_008725835.fna.gz,efaecium,157,2,6,9,1,1,7,6
GCF_008726075.fna.gz,efaecium,310,2,1,9,22,1,7,6
GCF_008868365.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_008921905.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009078405.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_009183945.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_009184035.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_009184115.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_009184145.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009184165.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_009184255.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009184325.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009184345.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_009184525.fna.gz,efaecium,202,1,1,1,1,1,7,1
GCF_009659825.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_009697285.fna.gz,efaecium,-,1,1,9,1,1,,1
GCF_009733985.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_009734645.fna.gz,efaecium,672,4,1,9,21,5,20,9
GCF_009734915.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009735025.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009769915.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770155.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770225.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770265.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770305.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770315.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770395.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770485.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770555.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770655.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770705.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770725.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770735.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770805.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770885.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770905.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770945.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770965.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009832485.fna.gz,efaecium,-,1,1,5,1,1,2,2
GCF_009891505.fna.gz,efaecium,361,8,8,13,6,6,51,8
GCF_009896725.fna.gz,efaecium,178,8,8,13,6,6,27,8
GCF_009897725.fna.gz,efaecium,178,8,8,13,6,6,27,8
GCF_010671845.fna.gz,efaecium,-,3,1,27,1,1,1,
GCF_010722315.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_010722815.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_011386855.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_012062555.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_012932975.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_012933075.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_012933195.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_012933285.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_012935525.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_009769945.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009769955.fna.gz,efaecium,796,1,1,4,1,1,20,1
GCF_009769985.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770055.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770065.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770075.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770085.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770105.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770145.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770215.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770365.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770455.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770535.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770645.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770845.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009832445.fna.gz,efaecium,583,8,14,5,8,6,26,22
GCF_009846615.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_009896685.fna.gz,efaecium,178,8,8,13,6,6,27,8
GCF_009896695.fna.gz,efaecium,178,8,8,13,6,6,27,8
GCF_009896765.fna.gz,efaecium,178,8,8,13,6,6,27,8
GCF_009937865.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_010720715.fna.gz,efaecium,1453,4,1,40,1,5,116,6
GCF_010722435.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_011174695.fna.gz,efaecium,-,4,12,40,1,5,1,
GCF_011386865.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_012063445.fna.gz,efaecium,1668,8,8,78,11,6,27,8
GCF_012932985.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_012933105.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_012933205.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_012933295.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_012952285.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_009770415.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770505.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_009770605.fna.gz,efaecium,-,1,1,1,1,1,,1
