Genome,Scheme,ST,aroA,thrA,gki,dpr,recA,mutS,cpn60
GCF_016585585.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585605.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585625.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585645.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585665.fna.gz,ssuis,-,,25,34,5,3,31,30
GCF_016585685.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585705.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585725.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585745.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585765.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585785.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585805.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585825.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585845.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585865.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585885.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585905.fna.gz,ssuis,-,2,4,34,5,3,31,30
GCF_016585925.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585945.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016585965.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016585985.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016586005.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016586025.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016586045.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016586065.fna.gz,ssuis,-,2,25,34,,3,31,30
GCF_016586085.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016743175.fna.gz,ssuis,104,8,4,1,5,21,44,30
GCF_016743195.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_016743275.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016743285.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016743315.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016743335.fna.gz,ssuis,-,,218,,99,34,,
GCF_016743345.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016743395.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_016758135.fna.gz,ssuis,104,8,4,1,5,21,44,30
GCF_016774475.fna.gz,ssuis,221,77,6,15,49,26,33,33
GCF_016774635.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_016774715.fna.gz,ssuis,-,63,12,156,52,6,2,
GCF_016774835.fna.gz,ssuis,-,52,80,,,69,,
GCF_016774875.fna.gz,ssuis,-,,25,34,5,3,31,57
GCF_016775005.fna.gz,ssuis,-,,,,28,,,295
GCF_016775215.fna.gz,ssuis,-,45,55,15,28,52,218,132
GCF_016802795.fna.gz,ssuis,1083,250,24,333,9,209,295,332
GCF_016803115.fna.gz,ssuis,-,88,55,15,28,52,218,56
GCF_016803345.fna.gz,ssuis,621,197,76,223,174,6,16,247
GCF_016887585.fna.gz,ssuis,233,8,75,97,5,21,44,30
GCF_016887595.fna.gz,ssuis,233,8,75,97,5,21,44,30
GCF_016887625.fna.gz,ssuis,379,8,75,72,5,21,44,30
GCF_016887635.fna.gz,ssuis,233,8,75,97,5,21,44,30
GCF_016887685.fna.gz,ssuis,233,8,75,97,5,21,44,30
GCF_016887705.fna.gz,ssuis,104,8,4,1,5,21,44,30
GCF_016887725.fna.gz,ssuis,105,1,1,52,1,1,1,1
GCF_016887735.fna.gz,ssuis,234,77,6,15,1,26,33,33
GCF_016887765.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_016905085.fna.gz,ssuis,-,,,,28,,,
GCF_016905095.fna.gz,ssuis,117,31,25,34,5,3,31,57
GCF_016905125.fna.gz,ssuis,613,45,55,15,28,91,218,132
GCF_016905145.fna.gz,ssuis,-,88,55,15,28,52,218,56
GCF_016905165.fna.gz,ssuis,-,210,60,382,278,170,,262
GCF_016905175.fna.gz,ssuis,-,,44,77,28,,,220
GCF_016905205.fna.gz,ssuis,-,,64,66,28,52,,
GCF_016905215.fna.gz,ssuis,-,52,28,79,28,,218,424
GCF_016905245.fna.gz,ssuis,1090,38,229,64,30,18,163,259
GCF_016905265.fna.gz,ssuis,1083,250,24,333,9,209,295,332
GCF_016905275.fna.gz,ssuis,-,,,,28,,,
GCF_016905285.fna.gz,ssuis,-,,239,237,27,18,71,410
GCF_016905325.fna.gz,ssuis,-,52,44,7,28,,231,66
GCF_016905345.fna.gz,ssuis,1060,119,221,114,30,23,7,377
GCF_016905365.fna.gz,ssuis,1096,302,55,15,53,23,7,56
GCF_016905375.fna.gz,ssuis,1075,291,166,330,30,18,163,259
GCF_017309405.fna.gz,ssuis,316,115,55,32,7,3,9,139
GCF_017372155.fna.gz,ssuis,1615,16,111,161,23,38,108,77
GCF_017592525.fna.gz,ssuis,632,52,158,106,28,71,218,51
GCF_017598865.fna.gz,ssuis,1088,210,53,74,30,236,71,69
GCF_017598905.fna.gz,ssuis,612,97,85,109,28,52,217,115
GCF_017598965.fna.gz,ssuis,318,90,18,7,11,77,136,30
GCF_017599005.fna.gz,ssuis,318,90,18,7,11,77,136,30
GCF_017599045.fna.gz,ssuis,246,83,78,99,69,82,102,104
GCF_017599065.fna.gz,ssuis,1063,45,55,326,30,52,218,132
GCF_017599085.fna.gz,ssuis,1063,45,55,326,30,52,218,132
GCF_017599105.fna.gz,ssuis,-,88,55,15,28,52,218,56
GCF_017599125.fna.gz,ssuis,1085,45,55,326,28,52,218,132
GCF_017599135.fna.gz,ssuis,1064,45,55,327,28,86,218,132
GCF_017599165.fna.gz,ssuis,27,31,25,34,5,3,31,30
GCF_017599185.fna.gz,ssuis,503,168,74,181,28,15,181,202
GCF_017600065.fna.gz,ssuis,1072,290,224,101,267,240,350,60
GCF_017600115.fna.gz,ssuis,1058,210,53,74,264,236,71,69
GCF_017601095.fna.gz,ssuis,-,,,365,,,,
GCF_017655375.fna.gz,ssuis,108,8,23,45,5,22,44,21
GCF_017655415.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_017655445.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_017655455.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_017655495.fna.gz,ssuis,394,8,1,1,1,1,1,1
GCF_017655525.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_017655545.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_017655555.fna.gz,ssuis,394,8,1,1,1,1,1,1
GCF_017655585.fna.gz,ssuis,394,8,1,1,1,1,1,1
GCF_017655595.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_017814455.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_017814595.fna.gz,ssuis,104,8,4,1,5,21,44,30
GCF_018252675.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018252695.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018252715.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018252735.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018252755.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018252775.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018252795.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018252815.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018252835.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018252845.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018252875.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018252895.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018252905.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018252935.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018252945.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018252975.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018252995.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253015.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253025.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018253055.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253065.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253095.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253115.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018253135.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018253155.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253165.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253195.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253215.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253225.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253255.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253265.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253295.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253315.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253335.fna.gz,ssuis,-,45,28,72,,156,34,33
GCF_018253345.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253375.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253385.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253415.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253435.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018253445.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018253475.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253495.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253515.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253535.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253555.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253575.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253595.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253615.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253635.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018253655.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253675.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018253695.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018253715.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_018253735.fna.gz,ssuis,-,45,28,72,,156,34,33
GCF_018253755.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_018253785.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018780865.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018780875.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018780895.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018780925.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018780945.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018780965.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018780985.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018781005.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_018885285.fna.gz,ssuis,221,77,6,15,49,26,33,33
GCF_019265165.fna.gz,ssuis,104,8,4,1,5,21,44,30
GCF_019265185.fna.gz,ssuis,105,1,1,52,1,1,1,1
GCF_019265205.fna.gz,ssuis,104,8,4,1,5,21,44,30
GCF_900007815.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900007825.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900007835.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900007845.fna.gz,ssuis,132,1,45,1,1,1,1,1
GCF_900007855.fna.gz,ssuis,13,1,21,1,1,21,6,12
GCF_900007865.fna.gz,ssuis,13,1,21,1,1,21,6,12
GCF_900007875.fna.gz,ssuis,134,1,1,1,1,1,1,61
GCF_900007885.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900007895.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900007905.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_900007915.fna.gz,ssuis,183,43,58,31,49,65,76,75
GCF_900007925.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900007935.fna.gz,ssuis,218,17,8,4,21,6,11,99
GCF_900007945.fna.gz,ssuis,15,8,4,12,5,10,1,8
GCF_900007955.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900007975.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_900007995.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900008015.fna.gz,ssuis,17,8,1,12,5,10,1,1
GCF_900009645.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009745.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900011455.fna.gz,ssuis,15,8,4,12,5,10,1,8
GCF_900011465.fna.gz,ssuis,17,8,1,12,5,10,1,1
GCF_900049625.fna.gz,ssuis,896,255,178,286,112,58,309,152
GCF_900049635.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900008005.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900050845.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050855.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_900052865.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900053125.fna.gz,ssuis,901,188,202,103,229,58,301,343
GCF_900007965.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900007985.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900008025.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_000026745.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009165.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009195.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900009295.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900009565.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009635.fna.gz,ssuis,136,5,4,12,5,10,1,62
GCF_900010255.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900011475.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900012395.fna.gz,ssuis,220,48,27,66,30,55,33,33
GCF_900048835.fna.gz,ssuis,858,38,149,15,45,26,84,75
GCF_900010445.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049645.fna.gz,ssuis,873,1,1,293,1,1,1,1
GCF_900049955.fna.gz,ssuis,883,37,204,66,230,20,75,344
GCF_900010455.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900050865.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900051265.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900053155.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_900053205.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900008035.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900008045.fna.gz,ssuis,136,5,4,12,5,10,1,62
GCF_900008065.fna.gz,ssuis,198,18,4,12,5,10,1,17
GCF_900009155.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900009185.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009285.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_900009315.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900009585.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900009765.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_900010555.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900011555.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900013295.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900010265.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900048845.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_900049655.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050875.fna.gz,ssuis,105,1,1,52,1,1,1,1
GCF_900051275.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_900010565.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_900053135.fna.gz,ssuis,863,37,28,5,29,19,8,34
GCF_900053185.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054545.fna.gz,ssuis,891,1,1,299,1,1,1,1
GCF_900054605.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900008055.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900008865.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900009175.fna.gz,ssuis,17,8,1,12,5,10,1,1
GCF_900009205.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009305.fna.gz,ssuis,136,5,4,12,5,10,1,62
GCF_900009575.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009755.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900010275.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900011485.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_900012665.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049115.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900010285.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049125.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049945.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_900050885.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900051285.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900010735.fna.gz,ssuis,146,1,1,68,1,1,1,1
GCF_900053145.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900053195.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900011035.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900054555.fna.gz,ssuis,873,1,1,293,1,1,1,1
GCF_900054585.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900010435.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900011545.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900013145.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049135.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009775.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009785.fna.gz,ssuis,151,5,4,70,5,10,1,17
GCF_900009905.fna.gz,ssuis,13,1,21,1,1,21,6,12
GCF_900010085.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900013575.fna.gz,ssuis,149,1,21,69,1,21,6,12
GCF_900049665.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049975.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009615.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900010095.fna.gz,ssuis,136,5,4,12,5,10,1,62
GCF_900014835.fna.gz,ssuis,153,18,50,60,5,10,1,1
GCF_900053165.fna.gz,ssuis,916,254,157,298,22,21,16,88
GCF_900053215.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900051255.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_900009595.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900009985.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_900011045.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_900054565.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054595.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900011205.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900011775.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900013305.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009895.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900010075.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900011215.fna.gz,ssuis,854,8,25,34,5,3,64,30
GCF_900049675.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049965.fna.gz,ssuis,27,31,25,34,5,3,31,30
GCF_900011445.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900050895.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900051565.fna.gz,ssuis,895,21,27,14,221,21,8,25
GCF_900009625.fna.gz,ssuis,155,5,4,71,5,10,1,17
GCF_900010195.fna.gz,ssuis,136,5,4,12,5,10,1,62
GCF_900015085.fna.gz,ssuis,13,1,21,1,1,21,6,12
GCF_900053175.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900053225.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009605.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900009865.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009875.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009885.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900009915.fna.gz,ssuis,184,8,12,78,36,22,44,21
GCF_900010245.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900011765.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900012315.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900048825.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_900049685.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049985.fna.gz,ssuis,23,26,4,12,24,10,1,8
GCF_900054575.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054815.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900013315.fna.gz,ssuis,16,5,4,12,5,10,1,17
GCF_900050905.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900051575.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_900013565.fna.gz,ssuis,20,1,1,12,5,10,1,1
GCF_000091905.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900053795.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054285.fna.gz,ssuis,873,1,1,293,1,1,1,1
GCF_900054365.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900056495.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_900056625.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049995.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050005.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050055.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050435.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900051945.fna.gz,ssuis,908,38,9,298,237,26,84,340
GCF_900052535.fna.gz,ssuis,790,23,106,128,5,46,14,25
GCF_900055105.fna.gz,ssuis,899,49,56,288,30,6,84,344
GCF_900055485.fna.gz,ssuis,864,23,18,4,52,33,14,39
GCF_900055885.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900056565.fna.gz,ssuis,914,25,29,291,27,69,308,344
GCF_900056885.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900051585.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_900051595.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900052005.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054315.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900055895.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900056575.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900057045.fna.gz,ssuis,947,37,204,294,239,20,75,41
GCF_900050815.fna.gz,ssuis,902,49,170,298,8,32,76,10
GCF_900052235.fna.gz,ssuis,871,25,12,4,9,30,7,68
GCF_900053805.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054295.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900055535.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900056525.fna.gz,ssuis,877,15,12,7,9,30,305,11
GCF_900056845.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_900050825.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900052245.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054535.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900055155.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900055855.fna.gz,ssuis,-,18,4,12,24,10,,8
GCF_900056535.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900056855.fna.gz,ssuis,27,31,25,34,5,3,31,30
GCF_900051955.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900052825.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_900055865.fna.gz,ssuis,915,260,207,292,193,39,25,338
GCF_900056545.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900056865.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049185.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050015.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050065.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050445.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900051965.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900052835.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054105.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054325.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054825.fna.gz,ssuis,910,157,206,300,224,38,117,346
GCF_900054865.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900055135.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900055515.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900056505.fna.gz,ssuis,904,31,8,212,222,10,9,345
GCF_900056825.fna.gz,ssuis,856,8,25,34,5,3,31,30
GCF_900049145.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049155.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049165.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049175.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900049365.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050045.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050425.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050805.fna.gz,ssuis,881,114,8,188,58,219,25,342
GCF_900052225.fna.gz,ssuis,31,30,25,34,5,3,31,30
GCF_900054335.fna.gz,ssuis,144,1,1,1,1,1,1,30
GCF_900055125.fna.gz,ssuis,27,31,25,34,5,3,31,30
GCF_900055505.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900056175.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_900056605.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900050835.fna.gz,ssuis,912,259,44,128,30,7,312,337
GCF_900052515.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_900053605.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900053625.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054115.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900054345.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900055905.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900056585.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_900057055.fna.gz,ssuis,907,8,4,34,238,21,30,30
GCF_900049345.fna.gz,ssuis,878,15,11,12,9,30,305,68
GCF_900050025.fna.gz,ssuis,1,1,1,1,1,1,1,1
