Genome,Scheme,ST,pgi,atpG,adk,mdh,frdB,recA,fucK
GCF_900407345.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_900407455.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407485.fna.gz,hinfluenzae,485,2,8,33,78,16,3,16
GCF_900478275.fna.gz,hinfluenzae,44,3,14,10,4,4,8,3
GCF_900635795.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_000173335.fna.gz,hinfluenzae,349,13,14,28,62,13,1,1
GCF_900022495.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900034925.fna.gz,hinfluenzae,263,55,14,28,16,1,1,1
GCF_900407665.fna.gz,hinfluenzae,276,13,8,5,71,58,29,14
GCF_900407945.fna.gz,hinfluenzae,262,40,50,63,30,22,3,15
GCF_900407465.fna.gz,hinfluenzae,165,2,2,44,17,16,3,37
GCF_900407475.fna.gz,hinfluenzae,485,2,8,33,78,16,3,16
GCF_900407495.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_900478325.fna.gz,hinfluenzae,142,53,1,1,15,1,38,35
GCF_900635805.fna.gz,hinfluenzae,368,3,4,3,54,17,34,11
GCF_000197875.fna.gz,hinfluenzae,65,33,26,24,36,24,21,21
GCF_900022505.fna.gz,hinfluenzae,18,28,6,18,10,3,12,7
GCF_900034935.fna.gz,hinfluenzae,914,127,1,1,89,1,37,14
GCF_900407635.fna.gz,hinfluenzae,567,3,18,105,7,53,34,14
GCF_900407645.fna.gz,hinfluenzae,124,19,19,22,22,11,15,11
GCF_900407815.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_900407955.fna.gz,hinfluenzae,1833,42,1,1,186,10,5,14
GCF_000175455.fna.gz,hinfluenzae,47,5,15,5,7,7,11,9
GCF_000200475.fna.gz,hinfluenzae,70,34,20,25,38,24,25,24
GCF_000210875.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_000465255.fna.gz,hinfluenzae,124,19,19,22,22,11,15,11
