Scheme	Genome	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
hpylori	GCF_016755695.fna	1612861	1	1612861	1612861	1612861	0	0	1612861	1	1612861	1	1612861	1
hpylori	GCF_016755715.fna	1592792	1	1592792	1592792	1592792	0	0	1592792	1	1592792	1	1592792	1
hpylori	GCF_016755735.fna	1675432	1	1675432	1675432	1675432	0	0	1675432	1	1675432	1	1675432	1
hpylori	GCF_016755755.fna	1635086	1	1635086	1635086	1635086	0	0	1635086	1	1635086	1	1635086	1
hpylori	GCF_016755775.fna	1611185	1	1611185	1611185	1611185	0	0	1611185	1	1611185	1	1611185	1
hpylori	GCF_016755795.fna	1627715	1	1627715	1627715	1627715	0	0	1627715	1	1627715	1	1627715	1
hpylori	GCF_016755815.fna	1616651	1	1616651	1616651	1616651	0	0	1616651	1	1616651	1	1616651	1
hpylori	GCF_016757535.fna	1615900	1	1615900	1615900	1615900	0	0	1615900	1	1615900	1	1615900	1
hpylori	GCF_016757555.fna	1654099	1	1654099	1654099	1654099	0	0	1654099	1	1654099	1	1654099	1
hpylori	GCF_016757575.fna	1609650	1	1609650	1609650	1609650	0	0	1609650	1	1609650	1	1609650	1
hpylori	GCF_016757595.fna	1675471	1	1675471	1675471	1675471	0	0	1675471	1	1675471	1	1675471	1
hpylori	GCF_016806165.fna	1662282	88	18889.57	107886	379	0	0	37899	15	24032	26	12191	45
hpylori	GCF_016806185.fna	1711304	146	11721.26	99851	312	0	0	41620	14	23199	26	7946	48
hpylori	GCF_016806195.fna	1587263	35	45350.37	289847	337	0	0	92323	6	58326	10	31778	17
hpylori	GCF_016806225.fna	1666802	39	42738.51	422779	332	0	0	82225	5	50284	10	31716	19
hpylori	GCF_016806245.fna	1618279	55	29423.25	222447	348	0	0	58359	8	46422	15	26144	23
hpylori	GCF_016806265.fna	1619537	56	28920.3	222442	385	0	0	59593	7	42903	14	25235	24
hpylori	GCF_016806285.fna	1642843	58	28324.88	314833	231	0	0	107835	4	60225	8	22858	17
hpylori	GCF_016806295.fna	1622244	119	13632.3	88269	325	0	0	25019	20	16779	35	7937	62
hpylori	GCF_016806305.fna	1658604	37	44827.14	181156	348	0	0	93756	7	61818	12	41620	18
hpylori	GCF_016806345.fna	1673807	54	30996.43	178927	306	0	0	80670	7	45727	13	20768	23
hpylori	GCF_016806365.fna	1546556	46	33620.78	262625	423	0	0	60019	7	37519	13	19276	24
hpylori	GCF_016806385.fna	1619895	52	31151.83	197794	354	0	0	97025	6	45691	11	26608	21
hpylori	GCF_016806405.fna	1626191	58	28037.78	228627	316	0	0	86547	7	53645	12	27200	19
hpylori	GCF_016806425.fna	1653551	36	45931.97	302296	632	0	0	80500	6	64699	10	34648	17
hpylori	GCF_016806445.fna	1586626	31	51181.48	488384	348	0	0	144624	3	102884	6	39928	11
hpylori	GCF_016806465.fna	1653809	23	71904.74	287962	348	0	0	132947	4	76230	7	40489	13
hpylori	GCF_016806485.fna	1735252	96	18075.54	111722	312	0	0	59657	11	34341	19	11888	35
hpylori	GCF_016806505.fna	1637127	43	38072.72	163654	371	0	0	96559	7	63277	11	28242	18
hpylori	GCF_016806525.fna	1656342	42	39436.71	181116	393	0	0	81649	7	53657	12	35362	20
hpylori	GCF_016806545.fna	1711312	57	30023.02	422769	332	0	0	118609	4	45776	10	30652	19
hpylori	GCF_016806565.fna	1656899	58	28567.22	222444	385	0	0	59276	7	46422	14	25235	23
hpylori	GCF_016806585.fna	1679216	72	23322.44	236601	326	0	0	58624	8	46074	15	18728	25
hpylori	GCF_016806605.fna	1661298	43	38634.84	181334	393	0	0	93756	7	59854	12	35362	19
hpylori	GCF_016806625.fna	1613788	47	34335.91	222442	348	0	0	84065	7	47838	13	22977	21
hpylori	GCF_016807045.fna	1634220	64	25534.69	193585	455	0	0	54632	9	40578	16	20812	27
hpylori	GCF_016807065.fna	1607581	46	34947.41	174748	315	0	0	82542	8	49350	13	24307	22
hpylori	GCF_016807085.fna	1624361	133	12213.24	60925	348	0	0	21560	24	13860	42	6445	75
hpylori	GCF_016807105.fna	1625175	133	12219.36	54605	348	0	0	20478	27	15924	45	7123	73
hpylori	GCF_016807125.fna	1614131	91	17737.7	81867	377	1	1	32948	17	19262	31	9759	55
hpylori	GCF_016836785.fna	1553684	35	44390.97	302275	210	0	0	145451	4	69407	7	46873	12
hpylori	GCF_016836795.fna	1632396	48	34008.25	259545	285	0	0	65734	8	49112	13	30072	22
hpylori	GCF_016836825.fna	1669002	38	43921.11	464687	236	0	0	215027	3	136578	5	41539	10
hpylori	GCF_016836845.fna	1624747	33	49234.76	232847	212	0	0	136419	5	97303	8	46576	13
hpylori	GCF_017594765.fna	1615726	56	28852.25	324052	206	0	0	99020	5	60475	10	42619	16
hpylori	GCF_017594805.fna	1671271	88	18991.72	237198	204	0	0	62850	9	46530	15	19213	25
hpylori	GCF_017594815.fna	1650739	65	25395.98	166747	202	0	0	56678	9	43585	16	17691	27
hpylori	GCF_017594845.fna	1671228	62	26955.29	182669	208	0	0	83293	7	47539	13	25314	22
hpylori	GCF_017594855.fna	1627684	56	29065.79	251604	217	0	0	124946	5	62982	9	24798	18
hpylori	GCF_017594885.fna	1651292	48	34401.92	162317	226	0	0	100011	7	53262	12	26122	20
hpylori	GCF_017594905.fna	1672961	98	17071.03	136601	204	0	0	62412	10	43527	17	17796	29
hpylori	GCF_017594925.fna	1630199	52	31349.98	185697	220	0	0	69644	7	46739	13	25617	22
hpylori	GCF_017594945.fna	1672132	56	29859.5	164463	210	0	0	89556	7	52038	12	25314	21
hpylori	GCF_017594965.fna	1621684	51	31797.73	167201	228	0	0	98496	7	53082	11	21734	21
hpylori	GCF_017594985.fna	1635024	41	39878.63	225410	227	0	0	71977	7	59628	12	37422	18
hpylori	GCF_017595005.fna	1613848	61	26456.52	230635	203	0	0	99021	6	47435	10	20912	18
hpylori	GCF_017595025.fna	1639140	66	24835.45	338139	209	0	0	136594	4	70247	8	32095	15
hpylori	GCF_017595035.fna	1667459	68	24521.46	131502	227	0	0	52216	12	33786	19	20280	32
hpylori	GCF_017595085.fna	1667067	62	26888.18	131501	227	0	0	52216	11	41489	18	21370	29
hpylori	GCF_017821235.fna	1633985	2	816992.5	1628076	5909	0	0	1628076	1	1628076	1	1628076	1
hpylori	GCF_017821275.fna	1667928	1	1667928	1667928	1667928	0	0	1667928	1	1667928	1	1667928	1
hpylori	GCF_017821355.fna	1707147	3	569049	1685803	7565	0	0	1685803	1	1685803	1	1685803	1
hpylori	GCF_017821475.fna	1668381	1	1668381	1668381	1668381	0	0	1668381	1	1668381	1	1668381	1
hpylori	GCF_017821535.fna	1624458	2	812229	1615199	9259	0	0	1615199	1	1615199	1	1615199	1
hpylori	GCF_017821595.fna	1690568	1	1690568	1690568	1690568	0	0	1690568	1	1690568	1	1690568	1
hpylori	GCF_017821615.fna	1622324	1	1622324	1622324	1622324	0	0	1622324	1	1622324	1	1622324	1
hpylori	GCF_017821635.fna	1661144	1	1661144	1661144	1661144	0	0	1661144	1	1661144	1	1661144	1
hpylori	GCF_017821655.fna	1660636	1	1660636	1660636	1660636	0	0	1660636	1	1660636	1	1660636	1
hpylori	GCF_018327845.fna	1607889	34	47290.85	240238	206	0	0	113412	5	63997	10	52690	15
hpylori	GCF_018327865.fna	1522102	28	54360.79	234505	205	0	0	164635	4	125057	6	48700	11
hpylori	GCF_018327885.fna	1570705	90	17452.28	166536	202	100	1	63484	9	45953	15	23340	25
hpylori	GCF_018327905.fna	1593812	34	46876.82	319789	230	200	2	158538	4	53590	7	37919	14
hpylori	GCF_018327925.fna	1564741	40	39118.53	660597	205	300	3	76155	3	53981	8	28547	15
hpylori	GCF_018327945.fna	1599574	42	38085.1	329107	205	100	1	163199	3	69217	7	34781	14
hpylori	GCF_018327965.fna	1594100	37	43083.78	337225	236	200	2	110054	4	59635	9	40570	15
hpylori	GCF_018327985.fna	1609740	47	34249.79	327463	201	300	3	69842	5	52440	10	32410	17
hpylori	GCF_018328005.fna	1601566	37	43285.57	291513	292	200	2	75747	5	55299	11	28382	18
hpylori	GCF_018328025.fna	1584610	36	44016.94	364846	207	200	2	149172	4	68259	7	40664	13
hpylori	GCF_018328045.fna	1550117	37	41895.05	371779	219	0	0	84749	4	55496	9	28655	16
hpylori	GCF_018328065.fna	1614326	42	38436.33	272247	220	200	2	75624	5	53658	10	30928	18
hpylori	GCF_018328085.fna	1613128	47	34321.87	226594	438	200	2	100232	6	71451	10	29543	16
hpylori	GCF_018328105.fna	1639584	26	63060.92	640658	450	200	2	117381	3	56977	7	47482	13
hpylori	GCF_018328125.fna	1610020	31	51936.13	333043	258	200	2	160703	4	66097	7	42648	13
hpylori	GCF_018328145.fna	1552215	22	70555.23	612951	250	200	2	112695	3	69009	6	45664	11
hpylori	GCF_018328165.fna	1604314	33	48615.58	363059	226	0	0	107959	4	68102	7	46961	13
hpylori	GCF_018328185.fna	1551981	23	67477.43	648352	207	100	1	216146	2	68716	5	41891	11
hpylori	GCF_018328205.fna	1626933	25	65077.32	700006	249	300	3	108389	3	74405	6	47097	11
hpylori	GCF_018328225.fna	1569157	45	34870.16	291924	203	100	1	125769	4	59533	9	27613	16
hpylori	GCF_018328245.fna	1621736	40	40543.4	307515	210	400	4	160739	4	67111	7	47086	13
hpylori	GCF_018328285.fna	1582322	34	46538.88	403732	318	200	2	99492	4	69555	8	37188	14
hpylori	GCF_018328305.fna	1601919	40	40047.97	594074	228	400	4	74848	4	54979	9	29672	16
hpylori	GCF_018328325.fna	1613041	38	42448.45	392818	208	400	4	114767	4	68276	8	41508	14
hpylori	GCF_018328345.fna	1583761	26	60913.88	472936	240	0	0	107691	3	69901	7	40246	12
hpylori	GCF_018328365.fna	1607463	38	42301.66	316938	205	100	1	106306	4	56672	9	38266	15
hpylori	GCF_018328385.fna	1555334	31	50172.06	313529	227	300	3	103201	4	66029	8	40359	13
hpylori	GCF_018328405.fna	1592783	34	46846.56	262328	243	0	0	106604	5	53952	9	27853	16
hpylori	GCF_018328425.fna	1622088	42	38621.14	319815	211	0	0	142264	4	59700	8	40256	14
hpylori	GCF_018328445.fna	1631261	29	56250.38	357576	218	300	3	196724	4	95762	6	49133	11
hpylori	GCF_018328465.fna	1610411	137	11754.82	230157	204	300	3	66070	8	36235	14	11728	27
hpylori	GCF_018328485.fna	1545568	34	45457.88	356745	200	200	2	96585	4	68208	8	47224	13
hpylori	GCF_018328505.fna	1608536	44	36557.64	312824	202	200	2	98374	5	53695	10	34784	17
hpylori	GCF_018328525.fna	1656273	45	36806.07	307223	220	400	4	84930	6	63293	11	36893	17
hpylori	GCF_018328545.fna	1567977	46	34086.46	288949	241	200	2	108569	5	69493	8	38260	14
hpylori	GCF_018328565.fna	1581740	34	46521.76	297005	201	100	1	74757	5	53799	10	37125	17
hpylori	GCF_018328585.fna	1595953	26	61382.81	283411	200	0	0	132236	4	105561	7	51749	12
hpylori	GCF_018328605.fna	1574079	32	49189.97	470992	214	100	1	164810	3	69896	6	37946	12
hpylori	GCF_018328625.fna	1555524	51	30500.47	190687	208	100	1	96360	7	65918	11	46388	17
hpylori	GCF_018328645.fna	1576908	40	39422.7	359802	202	400	4	159893	4	66707	7	46438	13
hpylori	GCF_018328665.fna	1617665	37	43720.68	360854	208	100	1	84980	5	57579	9	36883	16
hpylori	GCF_018328685.fna	1557447	41	37986.51	237008	200	100	1	125107	5	59487	10	38795	16
hpylori	GCF_018328705.fna	1547139	34	45504.09	608719	201	200	2	76607	3	52928	8	31536	15
hpylori	GCF_018328725.fna	1549026	47	32958	356124	209	0	0	159677	3	55961	8	30026	15
hpylori	GCF_018328745.fna	1543806	31	49800.19	296837	235	0	0	99364	5	70023	9	46134	14
hpylori	GCF_018328765.fna	1627643	31	52504.61	354725	434	400	4	101998	4	65263	8	40320	14
hpylori	GCF_018328785.fna	1617686	37	43721.24	648902	223	200	2	206673	2	66569	6	37903	12
hpylori	GCF_018328805.fna	1815487	238	7628.1	105772	200	300	3	26879	19	20678	35	2556	84
hpylori	GCF_018328825.fna	1630063	35	46573.23	341872	298	100	1	95678	4	54542	9	28333	16
hpylori	GCF_018328845.fna	1565727	34	46050.79	440164	205	100	1	360854	2	61590	7	48423	12
hpylori	GCF_018328865.fna	1592608	42	37919.24	237572	206	100	1	99179	6	70378	9	27479	16
hpylori	GCF_018328885.fna	1603410	50	32068.2	235489	206	100	1	75557	7	55915	11	38621	18
hpylori	GCF_018328905.fna	1571092	59	26628.68	233087	209	100	1	91753	6	56943	10	28568	17
hpylori	GCF_018328925.fna	1612128	29	55590.62	421729	222	200	2	214116	3	92550	5	46424	11
hpylori	GCF_018328945.fna	1575598	39	40399.95	296122	221	100	1	83365	5	58508	9	37996	16
hpylori	GCF_018328965.fna	1562365	40	39059.12	319653	223	200	2	126979	4	58831	8	38069	15
hpylori	GCF_018328985.fna	1561839	63	24791.1	206459	203	100	1	78833	6	53916	11	27711	18
hpylori	GCF_018329005.fna	1562471	21	74403.38	428395	985	0	0	220709	3	77924	5	52856	10
hpylori	GCF_018329025.fna	1577267	33	47795.97	248487	205	100	1	130134	4	63467	8	37699	14
hpylori	GCF_018329045.fna	1597427	73	21882.56	164131	206	100	1	72624	8	59559	13	26184	20
hpylori	GCF_018329065.fna	1605756	25	64230.24	365193	438	300	3	112643	4	70559	7	48366	12
hpylori	GCF_018329085.fna	1636114	59	27730.75	168172	382	100	1	92688	6	53980	11	29857	19
hpylori	GCF_018329105.fna	1588385	38	41799.61	365142	202	100	1	84041	4	55075	9	38350	15
hpylori	GCF_018329125.fna	1568638	35	44818.23	300185	208	100	1	126643	4	68017	8	38900	14
hpylori	GCF_018329145.fna	1602144	29	55246.34	316561	214	200	2	154864	4	68190	8	52282	13
hpylori	GCF_018329165.fna	1554635	36	43184.31	232212	221	100	1	159201	4	52595	9	31892	16
hpylori	GCF_018329185.fna	1623756	45	36083.47	318230	203	200	2	75090	6	59008	10	35140	17
hpylori	GCF_018329205.fna	1566030	35	44743.71	360244	223	0	0	69787	5	53981	10	28325	17
hpylori	GCF_018329225.fna	1629237	32	50913.66	478906	202	100	1	174427	3	69565	6	38162	12
hpylori	GCF_018329245.fna	1615847	37	43671.54	476684	210	300	3	158024	3	56792	7	43381	13
hpylori	GCF_018329265.fna	1605715	35	45877.57	300666	232	100	1	165955	4	52916	9	33948	15
hpylori	GCF_018329285.fna	1642883	28	58674.39	369129	256	300	3	157035	3	67852	7	38491	13
hpylori	GCF_018329305.fna	1581253	38	41611.92	313629	201	200	2	121522	4	61966	8	31510	15
hpylori	GCF_018329325.fna	1617278	32	50539.94	704392	215	200	2	172829	2	69866	5	46474	11
hpylori	GCF_018329345.fna	1571325	41	38325	353817	200	0	0	114365	4	54492	8	29990	15
hpylori	GCF_018329365.fna	1565141	49	31941.65	264740	207	600	6	122323	5	60641	8	27410	16
hpylori	GCF_018329385.fna	1550809	38	40810.76	229900	219	200	2	125470	5	55737	9	37868	16
hpylori	GCF_018329405.fna	1645570	42	39180.24	236351	202	100	1	85834	5	60247	10	38212	16
hpylori	GCF_018332355.fna	1591176	51	31199.53	345234	217	0	0	102789	5	46222	10	27101	19
hpylori	GCF_018402965.fna	1587041	41	38708.32	329530	217	0	0	101624	5	52222	10	26449	18
hpylori	GCF_019093745.fna	1709564	109	15684.07	138929	242	0	0	33303	13	21552	25	9958	48
hpylori	GCF_019093765.fna	1644740	420	3916.05	29862	252	0	0	8126	62	5276	113	2076	209
hpylori	GCF_019093785.fna	1591038	59	26966.75	287591	201	0	0	66877	6	40652	12	20652	22
hpylori	GCF_019093805.fna	1602059	51	31412.92	180844	576	0	0	53149	9	44207	16	21354	26
hpylori	GCF_019093825.fna	1567875	385	4072.4	24833	433	0	0	6980	73	4146	131	2024	239
hpylori	GCF_900005055.fna	1666392	71	23470.31	132993	126	0	0	61394	9	46476	15	21918	26
hpylori	GCF_900086665.fna	1638688	80	20483.6	179558	147	0	0	64840	9	54201	15	23507	23
hpylori	GCF_900086675.fna	1636546	87	18810.87	138607	191	0	0	62385	10	40954	16	23538	26
hpylori	GCF_900087495.fna	1630644	71	22966.82	166514	134	0	0	77462	8	59164	13	18905	23
hpylori	GCF_900087505.fna	1630744	56	29120.43	179706	116	0	0	86071	7	62768	11	35589	18
hpylori	GCF_900087515.fna	1630279	56	29112.12	180954	107	0	0	83149	7	62770	11	26919	19
hpylori	GCF_900087575.fna	1634868	58	28187.38	151866	190	0	0	78201	8	57183	13	22142	22
hpylori	GCF_900087585.fna	1631876	48	33997.42	179571	262	0	0	77502	8	55854	13	35425	20
hpylori	GCF_900087595.fna	1633224	64	25519.12	180099	125	0	0	70519	8	54006	13	28004	21
hpylori	GCF_900087665.fna	1632687	64	25510.73	136919	207	0	0	72128	9	47501	15	23503	25
hpylori	GCF_900087695.fna	1630054	52	31347.19	137067	232	0	0	62688	10	54184	15	19446	25
hpylori	GCF_900087755.fna	1635798	60	27263.3	139893	191	0	0	77156	8	54247	14	28004	22
hpylori	GCF_900087825.fna	1630347	64	25474.17	139245	185	0	0	62360	10	47463	16	23456	25
hpylori	GCF_900087835.fna	1631397	69	23643.43	136882	127	0	0	58264	11	42607	17	20734	27
hpylori	GCF_900087845.fna	1631024	66	24712.48	146226	195	0	0	60417	10	47445	16	25890	26
hpylori	GCF_900087885.fna	1632094	58	28139.55	137007	182	0	0	66406	9	54199	15	28004	23
hpylori	GCF_900087935.fna	1634051	62	26355.66	180004	125	0	0	71718	9	54219	14	26922	22
hpylori	GCF_900087945.fna	1634472	72	22701	209216	171	0	0	77462	8	55039	13	23505	23
hpylori	GCF_900087955.fna	1631738	69	23648.38	179969	131	0	0	62380	10	54045	15	23505	24
hpylori	GCF_900087965.fna	1629485	76	21440.59	136919	234	0	0	62383	10	47639	16	23034	26
hpylori	GCF_900087975.fna	1633828	67	24385.49	137018	202	0	0	62373	10	54282	15	23424	25
hpylori	GCF_900087995.fna	1632182	58	28141.07	180011	189	0	0	66568	9	55038	14	23502	23
hpylori	GCF_900088005.fna	1631700	52	31378.85	286243	161	0	0	64449	8	48730	13	26884	22
hpylori	GCF_900088015.fna	1632698	62	26333.84	136947	115	0	0	66075	9	48405	15	23503	24
hpylori	GCF_900088025.fna	1629685	66	24692.2	137185	140	0	0	59194	11	42724	17	23456	27
hpylori	GCF_900088035.fna	1630347	59	27633	179558	124	0	0	62383	9	47490	15	25890	24
hpylori	GCF_900088045.fna	1637584	74	22129.51	137335	160	0	0	58783	10	46337	17	23505	26
hpylori	GCF_900088055.fna	1628937	112	14544.08	123967	198	0	0	55083	11	27250	20	12754	35
hpylori	GCF_900088065.fna	1642471	83	19788.81	136920	193	0	0	54698	10	37207	18	22860	29
hpylori	GCF_900088075.fna	1633736	55	29704.29	136875	219	0	0	66170	9	54244	14	23505	23
hpylori	GCF_900088085.fna	1635182	62	26373.9	137017	145	0	0	69564	9	54190	14	27324	23
hpylori	GCF_900088095.fna	1631549	63	25897.6	179879	240	0	0	66077	9	47497	15	26922	24
hpylori	GCF_900088115.fna	1629927	63	25871.86	136799	192	0	0	70518	9	47496	15	25890	24
hpylori	GCF_900088135.fna	1632961	57	28648.44	199932	175	0	0	77505	7	56923	12	25890	20
hpylori	GCF_900088165.fna	1635990	63	25968.1	138444	132	0	0	70517	9	55042	14	26924	21
hpylori	GCF_900088195.fna	1633593	59	27688.02	179653	195	0	0	77499	8	59589	13	25892	21
hpylori	GCF_900088205.fna	1657013	141	11751.87	116991	136	0	0	62381	10	46336	16	23505	27
hpylori	GCF_900088215.fna	1633363	63	25926.4	137039	173	0	0	66078	9	54019	14	19865	25
hpylori	GCF_900088235.fna	1635897	75	21811.96	136920	115	0	0	66078	9	47585	15	23505	24
hpylori	GCF_900088245.fna	1634901	62	26369.37	179932	172	0	0	66078	9	48559	14	25890	23
hpylori	GCF_900088255.fna	1636117	76	21527.86	136800	123	0	0	61966	10	46336	16	23505	26
hpylori	GCF_900088265.fna	1641763	89	18446.78	179762	187	0	0	62382	10	47452	16	19591	26
hpylori	GCF_900088285.fna	1640396	103	15926.17	179934	116	0	0	76140	8	55039	14	18361	23
hpylori	GCF_900088295.fna	1637014	63	25984.35	136922	156	0	0	62385	9	47824	15	25378	25
hpylori	GCF_900088305.fna	1636562	76	21533.71	179705	123	0	0	66154	9	54210	14	23505	23
hpylori	GCF_900088315.fna	1640423	82	20005.16	179934	146	0	0	62511	9	47499	15	23748	25
hpylori	GCF_900088325.fna	1631771	64	25496.42	105198	124	0	0	58194	11	40912	18	23502	28
hpylori	GCF_900088335.fna	1649055	102	16167.21	138506	145	0	0	61913	10	46613	16	23502	26
hpylori	GCF_900088345.fna	1634684	69	23691.07	179561	124	0	0	77376	8	54201	13	23579	22
hpylori	GCF_900088355.fna	1637271	75	21830.28	171728	122	0	0	62383	9	47494	15	19149	25
hpylori	GCF_900119955.fna	1667625	1	1667625	1667625	1667625	0	0	1667625	1	1667625	1	1667625	1
hpylori	GCF_900119995.fna	1667804	1	1667804	1667804	1667804	0	0	1667804	1	1667804	1	1667804	1
hpylori	GCF_900120055.fna	1667894	1	1667894	1667894	1667894	0	0	1667894	1	1667894	1	1667894	1
hpylori	GCF_900120135.fna	1668174	1	1668174	1668174	1668174	0	0	1668174	1	1668174	1	1668174	1
hpylori	GCF_900120185.fna	1667858	1	1667858	1667858	1667858	0	0	1667858	1	1667858	1	1667858	1
hpylori	GCF_900120205.fna	1670384	1	1670384	1670384	1670384	0	0	1670384	1	1670384	1	1670384	1
hpylori	GCF_900120225.fna	1667978	1	1667978	1667978	1667978	0	0	1667978	1	1667978	1	1667978	1
hpylori	GCF_900120255.fna	1667821	1	1667821	1667821	1667821	0	0	1667821	1	1667821	1	1667821	1
hpylori	GCF_900120275.fna	1667936	1	1667936	1667936	1667936	0	0	1667936	1	1667936	1	1667936	1
hpylori	GCF_900120315.fna	1670321	1	1670321	1670321	1670321	0	0	1670321	1	1670321	1	1670321	1
hpylori	GCF_900120335.fna	1667712	1	1667712	1667712	1667712	0	0	1667712	1	1667712	1	1667712	1
hpylori	GCF_900149805.fna	1667883	1	1667883	1667883	1667883	0	0	1667883	1	1667883	1	1667883	1
hpylori	GCF_900176185.fna	1682800	1	1682800	1682800	1682800	0	0	1682800	1	1682800	1	1682800	1
hpylori	GCF_900450825.fna	1594341	2	797170.5	1579174	15167	0	0	1579174	1	1579174	1	1579174	1
hpylori	GCF_900451055.fna	1610054	6	268342.33	793586	3399	0	0	364099	2	364099	2	185814	4
hpylori	GCF_900451295.fna	1651372	2	825686	1647079	4293	0	0	1647079	1	1647079	1	1647079	1
hpylori	GCF_900478295.fna	1680937	1	1680937	1680937	1680937	0	0	1680937	1	1680937	1	1680937	1
hpylori	GCF_900638475.fna	1644315	1	1644315	1644315	1644315	0	0	1644315	1	1644315	1	1644315	1
hpylori	GCF_901687245.fna	1602364	40	40059.1	197810	303	35	2	140444	5	97299	7	44176	13
hpylori	GCF_901687255.fna	1598890	37	43213.24	197805	303	1	1	135197	5	70984	8	44168	13
hpylori	GCF_902374915.fna	1603423	42	38176.74	190473	511	980	49	134948	5	68719	9	39421	15
hpylori	GCF_902381665.fna	1566655	1	1566655	1566655	1566655	0	0	1566655	1	1566655	1	1566655	1
hpylori	GCF_902842595.fna	1628352	122	13347.15	137247	211	48	1	45641	12	33373	20	15515	35
hpylori	GCF_902842705.fna	1682895	94	17903.14	257273	223	0	0	80793	7	40664	13	14052	27
hpylori	GCF_902842775.fna	1646472	45	36588.27	301500	204	0	0	127167	5	71782	8	31179	15
hpylori	GCF_902842795.fna	1677239	127	13206.61	267847	228	0	0	114743	6	89168	9	31436	15
hpylori	GCF_902842835.fna	1618062	39	41488.77	373153	249	0	0	149013	4	76063	7	32626	15
hpylori	GCF_902842855.fna	1640308	59	27801.83	253168	203	0	0	93757	5	53193	10	28699	19
hpylori	GCF_902842865.fna	1593938	44	36225.86	275048	237	0	0	121600	5	77730	8	25349	15
hpylori	GCF_902842885.fna	1751501	303	5780.53	130917	200	0	0	46963	14	31794	23	11408	39
hpylori	GCF_902843005.fna	1557769	58	26858.09	225424	248	0	0	61441	8	41367	14	17600	25
hpylori	GCF_902843025.fna	1675055	80	20938.19	141297	221	0	0	47872	13	27293	22	14404	38
hpylori	GCF_902843075.fna	1617801	44	36768.2	303328	223	0	0	71109	5	47942	10	27147	19
hpylori	GCF_902843095.fna	1560099	31	50325.77	159586	329	0	0	121589	6	104182	9	30268	13
hpylori	GCF_902843135.fna	1643843	82	20046.87	141763	203	0	0	57675	9	35900	17	16207	29
hpylori	GCF_902843145.fna	1592890	67	23774.48	127106	297	0	0	52006	11	28337	20	15629	35
hpylori	GCF_902843165.fna	1660088	53	31322.42	171606	206	0	0	78673	7	46535	12	21389	22
hpylori	GCF_902843175.fna	1657188	66	25108.91	246404	214	0	0	79918	6	52837	12	27339	21
hpylori	GCF_902843215.fna	1638181	53	30909.08	236187	201	0	0	80433	7	43832	12	16344	22
hpylori	GCF_902843235.fna	1611326	44	36621.05	246966	206	0	0	130347	5	52767	9	23646	18
hpylori	GCF_902843275.fna	1623303	81	20040.78	141633	200	0	0	96330	7	50245	12	9977	25
hpylori	GCF_902844845.fna	1559786	45	34661.91	211231	200	0	0	98142	6	63382	10	36163	17
hpylori	GCF_902844855.fna	1623502	59	27516.98	197597	215	0	0	64251	8	40848	15	22418	25
hpylori	GCF_902844915.fna	1609331	46	34985.46	242077	215	0	0	84703	6	49208	11	28076	19
hpylori	GCF_902844955.fna	1630489	66	24704.38	243525	230	0	0	197325	4	72059	7	55042	12
hpylori	GCF_902845675.fna	1568807	91	17239.64	359266	104	0	0	114639	4	91717	7	37164	13
hpylori	GCF_902845685.fna	1636759	31	52798.68	236443	173	0	0	112631	5	95681	9	32191	15
hpylori	GCF_902845725.fna	1562436	47	33243.32	247985	129	0	0	109962	6	93026	9	33522	14
hpylori	GCF_902845735.fna	1674521	214	7824.86	93363	208	0	0	33469	18	22101	31	10816	52
hpylori	GCF_902845745.fna	1759916	393	4478.16	372650	205	49	1	147019	4	77960	7	1564	32
hpylori	GCF_902845755.fna	1639200	77	21288.31	227444	200	195	2	110235	6	74420	9	25146	17
hpylori	GCF_902845775.fna	1596607	50	31932.14	211805	260	0	0	75285	6	56009	11	21451	19
hpylori	GCF_902845785.fna	1549943	43	36045.19	288770	202	0	0	144951	4	66796	7	30276	14
hpylori	GCF_902845825.fna	1588093	38	41791.92	390241	237	0	0	144743	4	81213	6	27573	13
hpylori	GCF_902845835.fna	1567620	55	28502.18	299343	209	0	0	90913	5	55122	9	21966	17
hpylori	GCF_902845875.fna	1639906	39	42048.87	300690	216	0	0	72917	6	56097	11	37099	18
hpylori	GCF_902845895.fna	1615735	57	28346.23	198478	208	27	1	111405	6	98899	9	37539	14
hpylori	GCF_902845945.fna	1550614	42	36919.38	302390	235	0	0	109728	5	89340	8	43895	12
hpylori	GCF_902845995.fna	1606925	265	6063.87	88180	200	0	0	30043	16	18230	30	4129	62
hpylori	GCF_902846045.fna	1650570	75	22007.6	155788	204	0	0	71618	8	51183	13	18555	23
hpylori	GCF_902846105.fna	1657706	49	33830.73	472566	245	0	0	91255	5	59887	9	33021	16
hpylori	GCF_902846125.fna	1663921	55	30253.11	146376	221	145	2	90266	8	66590	12	27414	20
hpylori	GCF_902846135.fna	1566398	66	23733.3	181691	218	46	2	109828	6	61467	9	27448	17
hpylori	GCF_902846165.fna	1599215	47	34025.85	275170	200	0	0	129002	5	56665	9	27474	17
hpylori	GCF_902846255.fna	1601510	52	30798.27	328546	203	34	1	106582	4	78386	8	22663	14
hpylori	GCF_902849895.fna	1641735	61	26913.69	369959	200	0	0	116368	5	96407	8	27510	13
