Genome,Scheme,ST,aroA,cpn60,dpr,gki,mutS,recA,thrA,clonal_complex
GCF_006569035.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_006569085.fna.gz,ssuis,971,8,68,5,34,30,177,63,
GCF_006569105.fna.gz,ssuis,1001,268,351,243,12,299,77,15,
GCF_006569115.fna.gz,ssuis,1214,119,352,2,360,139,20,174,
GCF_006569125.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_006569145.fna.gz,ssuis,975,254,90,30,66,48,214,76,
GCF_007724845.fna.gz,ssuis,35,31,30,5,34,31,4,25,
GCF_009192495.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_009663175.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_009729875.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_009861585.fna.gz,ssuis,1289,194,197,202,221,256,102,127,
GCF_009870015.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_009870045.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_009870805.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_012037005.fna.gz,ssuis,-,~352,~348,-,~401,~408,~223,~208,
GCF_012037615.fna.gz,ssuis,new_ST,45,142,30,72,232,71,55,
GCF_013009155.fna.gz,ssuis,new_ST,93,132,30,60,292,26,11,
GCF_013009235.fna.gz,ssuis,new_ST,62,127,88,16,45,42,34,
GCF_013009275.fna.gz,ssuis,288,62,127,88,16,45,100,34,
GCF_013009295.fna.gz,ssuis,288,62,127,88,16,45,100,34,
GCF_013009315.fna.gz,ssuis,new_alleles,~343,~348,~319,~399,~408,~223,~208,
GCF_013009335.fna.gz,ssuis,new_alleles,17,~114,42,154,47,6,8,
GCF_013009415.fna.gz,ssuis,117,31,57,5,34,31,3,25,
GCF_013009425.fna.gz,ssuis,new_alleles,~356,~348,~319,~400,~408,~286,~208,
GCF_013009445.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_013009465.fna.gz,ssuis,373,8,30,5,45,44,22,109,
GCF_013009485.fna.gz,ssuis,-,~352,~348,-,~401,~408,~223,~208,
GCF_013009515.fna.gz,ssuis,new_alleles,~356,~348,~319,~400,~408,~286,~208,
GCF_013009535.fna.gz,ssuis,17,8,1,5,12,1,10,1,
GCF_013009565.fna.gz,ssuis,288,62,127,88,16,45,100,34,
GCF_013009575.fna.gz,ssuis,new_alleles,17,~114,42,154,47,6,8,
GCF_013009595.fna.gz,ssuis,new_ST,93,132,30,60,292,26,11,
GCF_013184825.fna.gz,ssuis,new_alleles,~300,~246,173,85,83,67,155,
GCF_013184835.fna.gz,ssuis,new_ST,45,142,30,72,232,71,55,
GCF_013184865.fna.gz,ssuis,new_alleles,91,~447,123,141,133,37,92,
GCF_013184885.fna.gz,ssuis,new_ST,223,283,34,248,21,142,8,
GCF_013184895.fna.gz,ssuis,353,1,1,1,147,1,1,3,
GCF_013184905.fna.gz,ssuis,new_alleles,91,~447,123,141,133,37,92,
GCF_013184945.fna.gz,ssuis,353,1,1,1,147,1,1,3,
GCF_013184965.fna.gz,ssuis,353,1,1,1,147,1,1,3,
GCF_013184995.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_013343705.fna.gz,ssuis,373,8,30,5,45,44,22,109,
GCF_013343745.fna.gz,ssuis,288,62,127,88,16,45,100,34,
GCF_013343755.fna.gz,ssuis,new_ST,96,45,124,108,45,42,34,
GCF_013343775.fna.gz,ssuis,new_alleles,~356,~348,~319,~400,~408,~286,~208,
GCF_013343805.fna.gz,ssuis,new_ST,299,83,56,83,83,67,227,
GCF_013343825.fna.gz,ssuis,new_ST,76,29,99,54,171,34,51,
GCF_013343845.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_013344155.fna.gz,ssuis,new_ST,229,291,36,129,21,38,12,
GCF_013344185.fna.gz,ssuis,new_ST,96,45,124,108,45,42,34,
GCF_013344205.fna.gz,ssuis,373,8,30,5,45,44,22,109,
GCF_013344215.fna.gz,ssuis,new_ST,76,29,99,54,171,34,51,
GCF_013344245.fna.gz,ssuis,-,-,~348,~319,~399,~408,~223,~208,
GCF_013344265.fna.gz,ssuis,-,~352,~348,-,~401,~408,~223,~208,
GCF_013344275.fna.gz,ssuis,new_ST,299,83,56,83,83,67,227,
GCF_013344305.fna.gz,ssuis,new_ST,62,85,176,108,82,42,62,
GCF_013344325.fna.gz,ssuis,117,31,57,5,34,31,3,25,
GCF_013344335.fna.gz,ssuis,new_ST,45,142,30,72,232,71,55,
GCF_013344365.fna.gz,ssuis,new_ST,61,79,28,199,81,18,60,
GCF_013344375.fna.gz,ssuis,new_ST,93,132,30,60,292,26,11,
GCF_013344405.fna.gz,ssuis,917,23,99,52,73,220,194,23,
GCF_013344425.fna.gz,ssuis,new_ST,93,132,30,60,292,26,11,
GCF_013344445.fna.gz,ssuis,941,8,23,36,24,298,38,12,
GCF_013370925.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_013371005.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_013371025.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_013371035.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_013371565.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_013371575.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_013371605.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_013488085.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_013488105.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_013488125.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_013488145.fna.gz,ssuis,620,196,30,5,34,31,3,25,
GCF_013488165.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_013488185.fna.gz,ssuis,787,2,30,5,34,270,3,25,
GCF_014192345.fna.gz,ssuis,114,43,54,5,21,52,47,38,
GCF_014192525.fna.gz,ssuis,115,17,55,45,30,53,6,12,
GCF_014843055.fna.gz,ssuis,94,8,21,5,45,44,22,4,
GCF_014843075.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_014843095.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_014854495.fna.gz,ssuis,1071,91,77,266,103,349,140,103,
GCF_014854505.fna.gz,ssuis,1071,91,77,266,103,349,140,103,
GCF_014874555.fna.gz,ssuis,1005,168,1,28,1,1,1,1,
GCF_015291825.fna.gz,ssuis,1071,91,77,266,103,349,140,103,
GCF_015908885.fna.gz,ssuis,new_ST,96,45,32,108,82,42,34,
GCF_015908985.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016584685.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016584705.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_016584765.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_016584785.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016584805.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_016584825.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_016584845.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016584865.fna.gz,ssuis,103,9,30,41,34,30,3,25,
GCF_016584885.fna.gz,ssuis,103,9,30,41,34,30,3,25,
GCF_016584905.fna.gz,ssuis,new_alleles,9,~30,5,34,30,3,25,
GCF_016584925.fna.gz,ssuis,-,-,30,41,34,30,3,25,
GCF_016584945.fna.gz,ssuis,102,42,30,5,34,30,3,25,
GCF_016584965.fna.gz,ssuis,103,9,30,41,34,30,3,25,
GCF_016584985.fna.gz,ssuis,103,9,30,41,34,30,3,25,
GCF_016585005.fna.gz,ssuis,104,8,30,5,1,44,21,4,
GCF_016585025.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_016585045.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585065.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585085.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585105.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585125.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585145.fna.gz,ssuis,27,31,30,5,34,31,3,25,
GCF_016585165.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585185.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585205.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585225.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585245.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_016585265.fna.gz,ssuis,new_ST,1,1,1,306,1,1,1,
GCF_016585285.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585305.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585325.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585345.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585365.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585385.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585405.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585425.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585445.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585465.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585485.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585505.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585525.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585545.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585565.fna.gz,ssuis,324,2,30,104,34,31,3,25,
GCF_016585585.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585605.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585625.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585645.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585665.fna.gz,ssuis,new_alleles,~2,30,5,34,31,3,25,
GCF_016585685.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585705.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585725.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585745.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585765.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585785.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585805.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585825.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585845.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585865.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585885.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585905.fna.gz,ssuis,new_ST,2,30,5,34,31,3,4,
GCF_016585925.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585945.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016585965.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016585985.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016586005.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016586025.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016586045.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016586065.fna.gz,ssuis,new_alleles,2,30,~5,34,31,3,25,
GCF_016586085.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016743175.fna.gz,ssuis,104,8,30,5,1,44,21,4,
GCF_016743195.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_016743275.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016743285.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016743315.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016743335.fna.gz,ssuis,-,~285,~364,99,~77,-,34,218,
GCF_016743345.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016743395.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_016758135.fna.gz,ssuis,104,8,30,5,1,44,21,4,
GCF_016774475.fna.gz,ssuis,221,77,33,49,15,33,26,6,
GCF_016774635.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_016774715.fna.gz,ssuis,new_alleles,63,~200,52,156,2,6,12,
GCF_016774835.fna.gz,ssuis,-,52,~274,-,~125,~47,69,80,
GCF_016774875.fna.gz,ssuis,-,-,57,5,34,31,3,25,
GCF_016775005.fna.gz,ssuis,-,-,295,28,~77,~104,-,-,
GCF_016775215.fna.gz,ssuis,new_ST,45,132,28,15,218,52,55,
GCF_016802795.fna.gz,ssuis,1083,250,332,9,333,295,209,24,
GCF_016803115.fna.gz,ssuis,new_ST,88,56,28,15,218,52,55,
GCF_016803345.fna.gz,ssuis,621,197,247,174,223,16,6,76,
GCF_016887585.fna.gz,ssuis,233,8,30,5,97,44,21,75,
GCF_016887595.fna.gz,ssuis,233,8,30,5,97,44,21,75,
GCF_016887625.fna.gz,ssuis,379,8,30,5,72,44,21,75,
GCF_016887635.fna.gz,ssuis,233,8,30,5,97,44,21,75,
GCF_016887685.fna.gz,ssuis,233,8,30,5,97,44,21,75,
GCF_016887705.fna.gz,ssuis,104,8,30,5,1,44,21,4,
GCF_016887725.fna.gz,ssuis,105,1,1,1,52,1,1,1,
GCF_016887735.fna.gz,ssuis,234,77,33,1,15,33,26,6,
GCF_016887765.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_016905085.fna.gz,ssuis,-,-,-,28,~263,~104,-,-,
GCF_016905095.fna.gz,ssuis,117,31,57,5,34,31,3,25,
GCF_016905125.fna.gz,ssuis,613,45,132,28,15,218,91,55,
GCF_016905145.fna.gz,ssuis,new_ST,88,56,28,15,218,52,55,
GCF_016905165.fna.gz,ssuis,new_alleles,210,262,278,382,~81,170,60,
GCF_016905175.fna.gz,ssuis,new_alleles,~52,220,28,77,~47,~15,44,
GCF_016905205.fna.gz,ssuis,new_alleles,~256,~386,28,66,~128,52,64,
GCF_016905215.fna.gz,ssuis,new_alleles,52,424,28,79,218,~263,28,
GCF_016905245.fna.gz,ssuis,1090,38,259,30,64,163,18,229,
GCF_016905265.fna.gz,ssuis,1083,250,332,9,333,295,209,24,
GCF_016905275.fna.gz,ssuis,-,-,-,28,~77,~104,-,-,
GCF_016905285.fna.gz,ssuis,new_alleles,~53,410,27,237,71,18,239,
GCF_016905325.fna.gz,ssuis,new_alleles,52,66,28,7,231,~55,44,
GCF_016905345.fna.gz,ssuis,1060,119,377,30,114,7,23,221,
GCF_016905365.fna.gz,ssuis,1096,302,56,53,15,7,23,55,
GCF_016905375.fna.gz,ssuis,1075,291,259,30,330,163,18,166,
GCF_017309405.fna.gz,ssuis,316,115,139,7,32,9,3,55,
GCF_017372155.fna.gz,ssuis,1615,16,77,23,161,108,38,111,
GCF_017592525.fna.gz,ssuis,632,52,51,28,106,218,71,158,
GCF_017598865.fna.gz,ssuis,1088,210,69,30,74,71,236,53,
GCF_017598905.fna.gz,ssuis,612,97,115,28,109,217,52,85,
GCF_017598965.fna.gz,ssuis,318,90,30,11,7,136,77,18,
GCF_017599005.fna.gz,ssuis,318,90,30,11,7,136,77,18,
GCF_017599045.fna.gz,ssuis,246,83,104,69,99,102,82,78,
GCF_017599065.fna.gz,ssuis,1063,45,132,30,326,218,52,55,
GCF_017599085.fna.gz,ssuis,1063,45,132,30,326,218,52,55,
GCF_017599105.fna.gz,ssuis,new_ST,88,56,28,15,218,52,55,
GCF_017599125.fna.gz,ssuis,1085,45,132,28,326,218,52,55,
GCF_017599135.fna.gz,ssuis,1064,45,132,28,327,218,86,55,
GCF_017599165.fna.gz,ssuis,27,31,30,5,34,31,3,25,
GCF_017599185.fna.gz,ssuis,503,168,202,28,181,181,15,74,
GCF_017600065.fna.gz,ssuis,1072,290,60,267,101,350,240,224,
GCF_017600115.fna.gz,ssuis,1058,210,69,264,74,71,236,53,
GCF_017601095.fna.gz,ssuis,-,-,-,~301,365,-,-,-,
GCF_017655375.fna.gz,ssuis,108,8,21,5,45,44,22,23,
GCF_017655415.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_017655445.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_017655455.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_017655495.fna.gz,ssuis,394,8,1,1,1,1,1,1,
GCF_017655525.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_017655545.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_017655555.fna.gz,ssuis,394,8,1,1,1,1,1,1,
GCF_017655585.fna.gz,ssuis,394,8,1,1,1,1,1,1,
GCF_017655595.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_017814455.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_017814595.fna.gz,ssuis,104,8,30,5,1,44,21,4,
GCF_018252675.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018252695.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018252715.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018252735.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018252755.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018252775.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018252795.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018252815.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018252835.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018252845.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018252875.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018252895.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018252905.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018252935.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018252945.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018252975.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018252995.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253015.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253025.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018253055.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253065.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253095.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253115.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018253135.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018253155.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253165.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253195.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253215.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253225.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253255.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253265.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253295.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253315.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253335.fna.gz,ssuis,new_alleles,45,33,~311,72,34,156,28,
GCF_018253345.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253375.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253385.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253415.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253435.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018253445.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018253475.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253495.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253515.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253535.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253555.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253575.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253595.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253615.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253635.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018253655.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253675.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018253695.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018253715.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_018253735.fna.gz,ssuis,new_alleles,45,33,~311,72,34,156,28,
GCF_018253755.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_018253785.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018780865.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018780875.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018780895.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018780925.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018780945.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018780965.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018780985.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018781005.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_018885285.fna.gz,ssuis,221,77,33,49,15,33,26,6,
GCF_019265165.fna.gz,ssuis,104,8,30,5,1,44,21,4,
GCF_019265185.fna.gz,ssuis,105,1,1,1,52,1,1,1,
GCF_019265205.fna.gz,ssuis,104,8,30,5,1,44,21,4,
GCF_900007815.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900007825.fna.gz,ssuis,20,1,1,5,12,1,10,1,
GCF_900007835.fna.gz,ssuis,20,1,1,5,12,1,10,1,
GCF_900007845.fna.gz,ssuis,132,1,1,1,1,1,1,45,
GCF_900007855.fna.gz,ssuis,13,1,12,1,1,6,21,21,
GCF_900007865.fna.gz,ssuis,13,1,12,1,1,6,21,21,
GCF_900007875.fna.gz,ssuis,134,1,61,1,1,1,1,1,
GCF_900007885.fna.gz,ssuis,20,1,1,5,12,1,10,1,
GCF_900007895.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900007905.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_900007915.fna.gz,ssuis,183,43,75,49,31,76,65,58,
GCF_900007925.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900007935.fna.gz,ssuis,218,17,99,21,4,11,6,8,
GCF_900007945.fna.gz,ssuis,15,8,8,5,12,1,10,4,
GCF_900007955.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900007965.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900007975.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_900007985.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900007995.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900008005.fna.gz,ssuis,20,1,1,5,12,1,10,1,
GCF_900008015.fna.gz,ssuis,17,8,1,5,12,1,10,1,
GCF_900008025.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900008035.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900008045.fna.gz,ssuis,136,5,62,5,12,1,10,4,
GCF_900008055.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900008065.fna.gz,ssuis,198,18,17,5,12,1,10,4,
GCF_900008865.fna.gz,ssuis,20,1,1,5,12,1,10,1,
GCF_900009155.fna.gz,ssuis,20,1,1,5,12,1,10,1,
GCF_900009165.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900009175.fna.gz,ssuis,17,8,1,5,12,1,10,1,
GCF_900009185.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900009195.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900009205.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900009285.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_900009295.fna.gz,ssuis,20,1,1,5,12,1,10,1,
GCF_900009305.fna.gz,ssuis,136,5,62,5,12,1,10,4,
GCF_900009315.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900009565.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900009575.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900009585.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900009595.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900009605.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900009615.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900009625.fna.gz,ssuis,155,5,17,5,71,1,10,4,
GCF_900009635.fna.gz,ssuis,136,5,62,5,12,1,10,4,
GCF_900009645.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900009745.fna.gz,ssuis,20,1,1,5,12,1,10,1,
GCF_900009755.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900009765.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_900009775.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900009785.fna.gz,ssuis,151,5,17,5,70,1,10,4,
GCF_900009865.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900009875.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900009885.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900009895.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900009905.fna.gz,ssuis,13,1,12,1,1,6,21,21,
GCF_900009915.fna.gz,ssuis,184,8,21,36,78,44,22,12,
GCF_900009985.fna.gz,ssuis,20,1,1,5,12,1,10,1,
GCF_900010075.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900010085.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900010095.fna.gz,ssuis,136,5,62,5,12,1,10,4,
GCF_900010195.fna.gz,ssuis,136,5,62,5,12,1,10,4,
GCF_900010245.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900010255.fna.gz,ssuis,20,1,1,5,12,1,10,1,
GCF_900010265.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900010275.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900010285.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900010435.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900010445.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900010455.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900010555.fna.gz,ssuis,20,1,1,5,12,1,10,1,
GCF_900010565.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_900010735.fna.gz,ssuis,146,1,1,1,68,1,1,1,
GCF_900011035.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900011045.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_900011205.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_900011215.fna.gz,ssuis,854,8,30,5,34,64,3,25,
GCF_900011445.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900011455.fna.gz,ssuis,15,8,8,5,12,1,10,4,
GCF_900011465.fna.gz,ssuis,17,8,1,5,12,1,10,1,
GCF_900011475.fna.gz,ssuis,16,5,17,5,12,1,10,4,
GCF_900011485.fna.gz,ssuis,29,8,30,5,34,30,3,25,
