Genome,Scheme,ST,abcZ,bglA,cat,dapE,dat,ldh,lhkA,CC,Lineage
GCF_002527105.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527135.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_002527155.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_002527165.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002527195.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527215.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002527235.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002527255.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527275.fna.gz,lmonocytogenes,4,1,2,12,3,2,5,3,CC4,I
GCF_002527295.fna.gz,lmonocytogenes,288,34,39,11,15,3,1,2,CC288,I
GCF_002527315.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002527335.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_002527355.fna.gz,lmonocytogenes,20,17,13,3,6,5,7,1,CC20,II
GCF_002527375.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_002527395.fna.gz,lmonocytogenes,325,7,14,10,19,1,8,1,CC31,II
GCF_002527415.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527435.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527455.fna.gz,lmonocytogenes,91,7,6,15,6,5,2,1,CC14,II
GCF_002527475.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_002527495.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_002527505.fna.gz,lmonocytogenes,32,1,18,27,2,4,1,5,ST32,I
GCF_002527535.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527555.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002527565.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527595.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002527615.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002527635.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002527655.fna.gz,lmonocytogenes,388,3,1,12,70,2,1,5,CC388,I
GCF_002527675.fna.gz,lmonocytogenes,325,7,14,10,19,1,8,1,CC31,II
GCF_002527695.fna.gz,lmonocytogenes,398,7,13,19,6,1,7,1,CC19,II
GCF_002527705.fna.gz,lmonocytogenes,325,7,14,10,19,1,8,1,CC31,II
GCF_002527735.fna.gz,lmonocytogenes,-,7,6,8,8,6,-,1,,
GCF_002527755.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527765.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_002527795.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002527815.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527825.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527855.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002527875.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002527885.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002527915.fna.gz,lmonocytogenes,224,11,3,12,38,3,94,2,CC224,I
GCF_002527935.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527945.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002527965.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002527995.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002528005.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528035.fna.gz,lmonocytogenes,427,15,10,66,18,1,3,1,CC29,II
GCF_002528055.fna.gz,lmonocytogenes,427,15,10,66,18,1,3,1,CC29,II
GCF_002528065.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_002528095.fna.gz,lmonocytogenes,325,7,14,10,19,1,8,1,CC31,II
GCF_002528115.fna.gz,lmonocytogenes,4,1,2,12,3,2,5,3,CC4,I
GCF_002528125.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528155.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002528175.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002528185.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528235.fna.gz,lmonocytogenes,204,5,7,6,4,5,4,1,CC204,II
GCF_002528245.fna.gz,lmonocytogenes,37,5,7,3,5,1,8,6,CC37,II
GCF_002528275.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_002528295.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002528305.fna.gz,lmonocytogenes,427,15,10,66,18,1,3,1,CC29,II
GCF_002528335.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528355.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_002528365.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_002528395.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528415.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528425.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002528455.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002528475.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528485.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528515.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528535.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002528545.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528575.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528595.fna.gz,lmonocytogenes,398,7,13,19,6,1,7,1,CC19,II
GCF_002528605.fna.gz,lmonocytogenes,398,7,13,19,6,1,7,1,CC19,II
GCF_002528635.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002528655.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528665.fna.gz,lmonocytogenes,398,7,13,19,6,1,7,1,CC19,II
GCF_002528705.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528725.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528735.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002528765.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002529565.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529585.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529605.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529625.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529635.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529665.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529705.fna.gz,lmonocytogenes,325,7,14,10,19,1,8,1,CC31,II
GCF_002529715.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_002529725.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529735.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529785.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529805.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529825.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529835.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529865.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529885.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529905.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529915.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529945.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529965.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002529985.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530005.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530015.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_002530025.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530065.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530075.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530085.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530125.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530145.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_002530165.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530175.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530205.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530215.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530225.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530245.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530285.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530295.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530305.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530315.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530365.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530375.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530385.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530415.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530445.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530455.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530465.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530505.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002530525.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002557645.fna.gz,lmonocytogenes,369,53,47,8,67,13,3,41,CC369,II
GCF_002557735.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002557815.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002740915.fna.gz,lmonocytogenes,1347,3,9,9,3,3,28,5,CC6,I
GCF_002749155.fna.gz,lmonocytogenes,124,23,5,10,30,6,6,1,CC124,II
GCF_002760515.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002760535.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002760555.fna.gz,lmonocytogenes,34,6,5,6,4,1,15,1,CC9,II
GCF_002760565.fna.gz,lmonocytogenes,1307,7,10,16,7,5,65,1,CC155,II
GCF_002760575.fna.gz,lmonocytogenes,753,6,5,6,4,1,254,1,CC9,II
GCF_002775665.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002775695.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002775715.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002775745.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002775755.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002775795.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002775815.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002775825.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002775835.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002775875.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002775895.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002775905.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002775915.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002775955.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002775975.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002775985.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002775995.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776015.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776055.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776065.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776095.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776115.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776125.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776135.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776175.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776195.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776205.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002776235.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776255.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776275.fna.gz,lmonocytogenes,224,11,3,12,38,3,94,2,CC224,I
GCF_002776295.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776305.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776335.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002776365.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_002831485.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002836935.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002843525.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002848425.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002848465.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002848485.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002848505.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002878695.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002878705.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_002878715.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002878755.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_002878775.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002878785.fna.gz,lmonocytogenes,31,7,14,10,19,9,8,1,CC31,II
GCF_002878795.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_002878835.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_002878855.fna.gz,lmonocytogenes,31,7,14,10,19,9,8,1,CC31,II
GCF_002878875.fna.gz,lmonocytogenes,new_ST,23,29,3,30,6,6,193,,
GCF_002878895.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_002878905.fna.gz,lmonocytogenes,31,7,14,10,19,9,8,1,CC31,II
GCF_002878935.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_002878955.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_002878975.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_002878985.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_002878995.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_002879035.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002879055.fna.gz,lmonocytogenes,199,9,10,15,6,8,26,1,CC199,II
GCF_002879065.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_002879095.fna.gz,lmonocytogenes,199,9,10,15,6,8,26,1,CC199,II
GCF_002879115.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002879135.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002879155.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002879175.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002879185.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_002879215.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002879235.fna.gz,lmonocytogenes,224,11,3,12,38,3,94,2,CC224,I
GCF_002879255.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002879275.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002879295.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002879315.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002879335.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002879355.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002879375.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002879395.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002879415.fna.gz,lmonocytogenes,224,11,3,12,38,3,94,2,CC224,I
GCF_002879435.fna.gz,lmonocytogenes,-,9,-,15,6,8,26,1,,
GCF_002879455.fna.gz,lmonocytogenes,199,9,10,15,6,8,26,1,CC199,II
GCF_002879475.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_002879495.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002879515.fna.gz,lmonocytogenes,199,9,10,15,6,8,26,1,CC199,II
GCF_002894865.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_002898485.fna.gz,lmonocytogenes,389,52,1,12,71,2,1,5,CC389,I
GCF_002912185.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_002912205.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_002912245.fna.gz,lmonocytogenes,54,1,1,12,17,2,1,3,CC54,I
GCF_002912265.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_002912285.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_002912295.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_002915005.fna.gz,lmonocytogenes,1127,195,162,10,228,1,3,1,CC1127,II
GCF_002915025.fna.gz,lmonocytogenes,389,52,1,12,71,2,1,5,CC389,I
GCF_002915045.fna.gz,lmonocytogenes,639,3,1,12,3,69,1,5,CC639,I
GCF_002915065.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_002915655.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_002915665.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002915695.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002915705.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_002915735.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_002915755.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002915765.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_002915795.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_002915815.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_002915835.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002915855.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002915865.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_002915895.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_002915915.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_002915935.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_002915955.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002915975.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002915995.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_002916015.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_002916035.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_002916055.fna.gz,lmonocytogenes,88,12,12,12,1,3,1,4,CC88,I
GCF_002916065.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_002916095.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_002916115.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002916135.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_002916145.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_002916165.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_002916195.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_002916215.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_002953995.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_002966935.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_002969195.fna.gz,lmonocytogenes,477,6,5,6,4,1,183,1,CC9,II
GCF_003002155.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_003002175.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_003002195.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_003002215.fna.gz,lmonocytogenes,392,2,4,12,3,3,94,2,CC392,I
GCF_003002235.fna.gz,lmonocytogenes,73,3,1,1,1,3,11,3,CC1,I
GCF_003002255.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003002265.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003002295.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003002315.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_003002335.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_003002345.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_003002355.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_003002395.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003002415.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_003002435.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_003002445.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003002475.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003002495.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003002515.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_003002535.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_003002555.fna.gz,lmonocytogenes,1207,3,9,9,3,3,105,5,CC6,I
GCF_003002575.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_003002595.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_003002615.fna.gz,lmonocytogenes,1395,3,9,9,3,3,127,5,CC6,I
GCF_003002635.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003002655.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003002675.fna.gz,lmonocytogenes,37,5,7,3,5,1,8,6,CC37,II
GCF_003002695.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_003002705.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003002735.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_003002755.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003002775.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_003002785.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_003002835.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003003965.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003004035.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_003004055.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_003004095.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_003011215.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_003011225.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_003011235.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_003011275.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_003011295.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
