Genome,Scheme,ST,glp,gmk,ilv,pta,pur,pyc,tpi,clonal_complex
GCF_002568205.fna.gz,bcereus,new_alleles,312,116,~223,202,118,171,128,
GCF_002568235.fna.gz,bcereus,2064,332,193,353,344,322,250,26,
GCF_002568265.fna.gz,bcereus,new_ST,31,9,14,95,12,14,7,
GCF_002568295.fna.gz,bcereus,138,37,9,14,12,12,14,7,ST-18 complex
GCF_002568365.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002568375.fna.gz,bcereus,new_alleles,40,8,14,~12,2,36,7,
GCF_002568425.fna.gz,bcereus,new_ST,17,175,356,3,223,284,222,
GCF_002568445.fna.gz,bcereus,168,47,28,72,26,2,65,7,
GCF_002568455.fna.gz,bcereus,2146,91,207,14,18,20,19,7,
GCF_002568465.fna.gz,bcereus,-,141,83,~247,141,~321,-,106,
GCF_002568505.fna.gz,bcereus,new_ST,24,22,33,37,298,38,47,
GCF_002568565.fna.gz,bcereus,new_ST,37,28,14,26,2,36,7,
GCF_002569335.fna.gz,bcereus,new_alleles,126,152,133,285,~4,114,37,
GCF_002570415.fna.gz,bcereus,new_alleles,~37,8,14,12,37,50,7,
GCF_002570425.fna.gz,bcereus,new_alleles,99,8,49,26,2,50,~7,
GCF_002570465.fna.gz,bcereus,122,53,2,59,17,47,3,2,
GCF_002570485.fna.gz,bcereus,new_alleles,~64,116,~174,~174,~76,~171,~307,
GCF_002570545.fna.gz,bcereus,new_ST,47,8,14,26,2,36,7,
GCF_002570565.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002570665.fna.gz,bcereus,new_alleles,31,9,~14,12,~2,36,7,
GCF_002570745.fna.gz,bcereus,138,37,9,14,12,12,14,7,ST-18 complex
GCF_002570795.fna.gz,bcereus,168,47,28,72,26,2,65,7,
GCF_002570845.fna.gz,bcereus,new_ST,40,8,166,26,138,36,7,
GCF_002570875.fna.gz,bcereus,2054,213,116,223,225,336,107,128,
GCF_002570945.fna.gz,bcereus,new_alleles,346,8,~49,12,2,36,7,
GCF_002570965.fna.gz,bcereus,new_ST,17,5,311,3,223,212,12,
GCF_002570985.fna.gz,bcereus,1955,99,28,14,12,37,25,7,
GCF_002571035.fna.gz,bcereus,2055,213,181,223,322,118,107,128,
GCF_002571085.fna.gz,bcereus,74,42,27,37,41,40,42,32,
GCF_002571165.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002571185.fna.gz,bcereus,1947,11,9,14,12,24,14,7,ST-18 complex
GCF_002571195.fna.gz,bcereus,new_ST,17,5,356,357,223,212,12,
GCF_002571255.fna.gz,bcereus,1960,40,28,15,44,2,36,7,
GCF_002571855.fna.gz,bcereus,119,47,8,49,12,2,36,7,
GCF_002574175.fna.gz,bcereus,1963,40,8,14,26,138,50,7,
GCF_002574205.fna.gz,bcereus,1963,40,8,14,26,138,50,7,
GCF_002574255.fna.gz,bcereus,new_ST,17,5,311,357,223,212,12,
GCF_002574285.fna.gz,bcereus,new_ST,40,8,166,26,138,36,7,
GCF_002574345.fna.gz,bcereus,2054,213,116,223,225,336,107,128,
GCF_002574395.fna.gz,bcereus,new_ST,7,8,14,329,20,36,7,
GCF_002574405.fna.gz,bcereus,2054,213,116,223,225,336,107,128,
GCF_002574415.fna.gz,bcereus,new_ST,272,8,14,26,138,50,7,
GCF_002574515.fna.gz,bcereus,new_alleles,99,~8,14,26,~2,25,7,
GCF_002574615.fna.gz,bcereus,new_ST,314,9,400,26,292,36,7,
GCF_002574635.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_002574715.fna.gz,bcereus,1959,40,8,166,26,2,36,7,
GCF_002574855.fna.gz,bcereus,new_alleles,172,~28,14,12,37,50,142,
GCF_002574875.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_002574885.fna.gz,bcereus,new_alleles,215,116,281,~170,207,144,49,
GCF_002574955.fna.gz,bcereus,610,146,85,157,144,143,130,115,
GCF_002574975.fna.gz,bcereus,new_ST,37,28,14,26,2,25,7,
GCF_002575055.fna.gz,bcereus,new_ST,215,116,281,170,207,144,49,
GCF_002575085.fna.gz,bcereus,new_alleles,~280,~163,411,207,~238,~197,~162,
GCF_002575135.fna.gz,bcereus,new_ST,13,8,8,195,9,12,7,
GCF_002575155.fna.gz,bcereus,new_ST,47,8,14,26,2,36,7,
GCF_002575175.fna.gz,bcereus,new_ST,7,8,14,329,20,36,7,
GCF_002575205.fna.gz,bcereus,new_alleles,~189,177,~303,~53,~275,~202,~128,
GCF_002575215.fna.gz,bcereus,23,15,7,7,2,5,8,13,ST-23 complex
GCF_002575245.fna.gz,bcereus,new_ST,213,116,223,322,118,107,128,
GCF_002575275.fna.gz,bcereus,new_ST,47,8,14,26,2,36,7,
GCF_002575355.fna.gz,bcereus,new_ST,40,8,14,26,2,50,7,
GCF_002575405.fna.gz,bcereus,new_ST,272,9,14,26,2,36,7,
GCF_002575435.fna.gz,bcereus,new_alleles,213,~116,223,223,118,107,128,
GCF_002575495.fna.gz,bcereus,1965,40,8,14,44,138,50,7,
GCF_002575505.fna.gz,bcereus,1956,315,28,14,12,2,36,7,
GCF_002575515.fna.gz,bcereus,2042,37,9,14,12,24,14,274,ST-18 complex
GCF_002575555.fna.gz,bcereus,new_ST,215,116,223,170,207,144,49,
GCF_002575565.fna.gz,bcereus,new_ST,40,8,14,26,2,50,7,
GCF_002575595.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002575635.fna.gz,bcereus,1150,33,8,13,19,2,17,7,
GCF_002575715.fna.gz,bcereus,1188,20,8,262,11,227,15,10,
GCF_002575765.fna.gz,bcereus,new_ST,40,8,14,12,2,36,7,
GCF_002575795.fna.gz,bcereus,new_ST,125,8,14,26,138,50,7,
GCF_002575815.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002575835.fna.gz,bcereus,new_alleles,40,8,14,~12,2,36,7,
GCF_002575855.fna.gz,bcereus,new_ST,215,116,223,36,207,144,172,
GCF_002575935.fna.gz,bcereus,1957,346,8,49,12,2,36,7,
GCF_002575955.fna.gz,bcereus,new_alleles,213,116,~223,322,336,107,~128,
GCF_002575965.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002576005.fna.gz,bcereus,new_ST,40,8,49,44,2,25,7,
GCF_002576045.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002576065.fna.gz,bcereus,610,146,85,157,144,143,130,115,
GCF_002576095.fna.gz,bcereus,new_ST,40,8,166,26,138,36,7,
GCF_002576155.fna.gz,bcereus,25,30,8,16,13,2,16,7,ST-8 complex
GCF_002576165.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_002576185.fna.gz,bcereus,1958,125,9,14,26,2,36,7,
GCF_002576225.fna.gz,bcereus,new_alleles,47,8,~14,26,2,36,7,
GCF_002576265.fna.gz,bcereus,new_ST,47,8,88,12,2,36,7,
GCF_002576275.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002576345.fna.gz,bcereus,119,47,8,49,12,2,36,7,
GCF_002576365.fna.gz,bcereus,new_ST,40,8,166,26,138,36,7,
GCF_002576395.fna.gz,bcereus,1319,40,8,166,26,2,36,208,
GCF_002576445.fna.gz,bcereus,1958,125,9,14,26,2,36,7,
GCF_002576465.fna.gz,bcereus,new_alleles,~47,8,49,12,2,36,7,
GCF_002576535.fna.gz,bcereus,new_alleles,81,53,~117,232,113,93,80,
GCF_002576575.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002576595.fna.gz,bcereus,new_alleles,~64,~115,~174,~174,~76,~171,~307,
GCF_002576695.fna.gz,bcereus,new_ST,40,8,166,26,138,36,7,
GCF_002576725.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_002576745.fna.gz,bcereus,new_alleles,81,53,~117,193,113,93,80,
GCF_002576795.fna.gz,bcereus,new_alleles,~275,~118,~273,207,346,~197,307,
GCF_002576825.fna.gz,bcereus,new_alleles,346,8,~49,12,2,36,7,
GCF_002576845.fna.gz,bcereus,1954,47,8,166,44,2,25,7,
GCF_002576865.fna.gz,bcereus,501,7,8,14,26,138,50,7,
GCF_002576955.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002577085.fna.gz,bcereus,1954,47,8,166,44,2,25,7,
GCF_002577105.fna.gz,bcereus,2037,312,116,223,309,118,171,281,
GCF_002577115.fna.gz,bcereus,1955,99,28,14,12,37,25,7,
GCF_002577125.fna.gz,bcereus,102,49,31,45,43,45,49,37,
GCF_002577165.fna.gz,bcereus,new_alleles,332,193,351,56,322,250,~32,
GCF_002577175.fna.gz,bcereus,new_alleles,346,8,~49,12,2,36,7,
GCF_002577205.fna.gz,bcereus,new_alleles,99,~8,14,26,~2,25,7,
GCF_002577245.fna.gz,bcereus,new_ST,91,9,76,18,20,35,7,
GCF_002577285.fna.gz,bcereus,138,37,9,14,12,12,14,7,ST-18 complex
GCF_002577335.fna.gz,bcereus,new_ST,40,9,14,26,2,36,7,
GCF_002577365.fna.gz,bcereus,new_alleles,~188,~132,~125,~73,~76,~202,79,
GCF_002577375.fna.gz,bcereus,new_alleles,81,53,~117,193,113,93,80,
GCF_002577405.fna.gz,bcereus,new_alleles,~137,77,138,131,134,118,102,
GCF_002577415.fna.gz,bcereus,959,37,9,14,18,20,14,7,ST-18 complex
GCF_002577455.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002577465.fna.gz,bcereus,1990,37,28,14,12,37,36,144,
GCF_002577545.fna.gz,bcereus,2049,59,133,149,229,328,122,179,
GCF_002577665.fna.gz,bcereus,746,81,53,117,193,113,93,145,
GCF_002577705.fna.gz,bcereus,1963,40,8,14,26,138,50,7,
GCF_002577745.fna.gz,bcereus,new_alleles,137,82,150,138,~141,123,105,
GCF_002577755.fna.gz,bcereus,2086,340,206,387,353,287,254,263,
GCF_002577895.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002577915.fna.gz,bcereus,new_ST,215,116,223,36,207,144,49,
GCF_002578045.fna.gz,bcereus,-,~289,~163,-,~287,~269,~223,~162,
GCF_002578195.fna.gz,bcereus,1957,346,8,49,12,2,36,7,
GCF_002578255.fna.gz,bcereus,2054,213,116,223,225,336,107,128,
GCF_002578325.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002578335.fna.gz,bcereus,new_ST,47,28,49,12,308,36,7,
GCF_002578405.fna.gz,bcereus,1963,40,8,14,26,138,50,7,
GCF_002578425.fna.gz,bcereus,new_alleles,~66,193,351,56,~322,250,32,
GCF_002578475.fna.gz,bcereus,new_alleles,213,116,223,322,336,107,~128,
GCF_002578485.fna.gz,bcereus,746,81,53,117,193,113,93,145,
GCF_002578545.fna.gz,bcereus,new_ST,37,28,14,12,86,36,7,
GCF_002578565.fna.gz,bcereus,new_ST,47,8,14,12,2,50,142,
GCF_002578635.fna.gz,bcereus,new_alleles,346,8,~49,12,2,36,7,
GCF_002579585.fna.gz,bcereus,783,126,120,228,209,4,114,37,
GCF_002582385.fna.gz,bcereus,new_alleles,47,28,14,26,2,~36,7,
GCF_002582395.fna.gz,bcereus,1954,47,8,166,44,2,25,7,
GCF_002582445.fna.gz,bcereus,new_ST,17,5,356,357,223,212,12,
GCF_002582595.fna.gz,bcereus,new_alleles,274,115,227,200,~195,170,163,
GCF_002582665.fna.gz,bcereus,1216,46,28,14,248,2,50,7,
GCF_002582745.fna.gz,bcereus,934,213,116,223,223,118,107,128,
GCF_002582825.fna.gz,bcereus,new_alleles,~266,68,294,~382,42,~206,~127,
GCF_002582935.fna.gz,bcereus,new_alleles,~37,8,14,12,37,50,7,
GCF_002582955.fna.gz,bcereus,2055,213,181,223,322,118,107,128,
GCF_002582965.fna.gz,bcereus,new_alleles,37,9,14,~12,2,25,7,
GCF_002583125.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002583275.fna.gz,bcereus,2055,213,181,223,322,118,107,128,
GCF_002583305.fna.gz,bcereus,1949,33,8,44,19,2,17,7,
GCF_002583515.fna.gz,bcereus,new_alleles,142,83,~247,141,~321,125,106,
GCF_002583535.fna.gz,bcereus,2040,40,8,14,44,86,36,276,
GCF_002583705.fna.gz,bcereus,1576,40,8,15,44,2,25,7,
GCF_002583755.fna.gz,bcereus,new_alleles,42,27,~37,41,~40,42,32,
GCF_002584035.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002584065.fna.gz,bcereus,2049,59,133,149,229,328,122,179,
GCF_002584075.fna.gz,bcereus,2048,17,5,311,3,223,212,261,
GCF_002584305.fna.gz,bcereus,138,37,9,14,12,12,14,7,ST-18 complex
GCF_002584345.fna.gz,bcereus,138,37,9,14,12,12,14,7,ST-18 complex
GCF_002584465.fna.gz,bcereus,2079,33,8,13,19,289,17,7,
GCF_002584535.fna.gz,bcereus,new_alleles,299,184,375,~271,~264,~232,~217,
GCF_002584675.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002584695.fna.gz,bcereus,2061,332,193,351,341,322,250,32,
GCF_002584765.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_002584775.fna.gz,bcereus,1958,125,9,14,26,2,36,7,
GCF_002584845.fna.gz,bcereus,2040,40,8,14,44,86,36,276,
GCF_002585005.fna.gz,bcereus,1965,40,8,14,44,138,50,7,
GCF_002585165.fna.gz,bcereus,744,37,28,14,12,37,157,144,
GCF_002585385.fna.gz,bcereus,1955,99,28,14,12,37,25,7,
GCF_002585495.fna.gz,bcereus,616,81,53,117,71,113,93,80,
GCF_002585595.fna.gz,bcereus,506,40,8,147,44,2,36,7,
GCF_002585665.fna.gz,bcereus,2040,40,8,14,44,86,36,276,
GCF_002585695.fna.gz,bcereus,1953,11,8,49,12,2,25,7,
GCF_002585765.fna.gz,bcereus,new_alleles,40,8,147,44,2,~36,7,
GCF_002585785.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002585905.fna.gz,bcereus,1450,218,87,104,69,103,202,18,
GCF_002585955.fna.gz,bcereus,new_alleles,37,9,14,~12,2,25,7,
GCF_002586115.fna.gz,bcereus,new_alleles,~37,8,14,12,37,50,~68,
GCF_002586215.fna.gz,bcereus,118,47,28,14,26,2,36,7,
GCF_002586265.fna.gz,bcereus,2054,213,116,223,225,336,107,128,
GCF_002586275.fna.gz,bcereus,-,~356,77,~305,~372,-,118,32,
GCF_002586285.fna.gz,bcereus,new_ST,31,9,14,95,12,14,7,
GCF_002589745.fna.gz,bcereus,783,126,120,228,209,4,114,37,
GCF_002807155.fna.gz,bcereus,90,6,4,41,5,43,46,3,
GCF_002807165.fna.gz,bcereus,-,12,8,-,7,9,12,7,
GCF_002807175.fna.gz,bcereus,18,11,9,14,12,12,14,7,ST-18 complex
GCF_002807215.fna.gz,bcereus,1083,96,8,36,30,41,17,185,
GCF_002807235.fna.gz,bcereus,2148,6,4,329,4,204,6,3,
GCF_002807265.fna.gz,bcereus,493,12,8,13,10,2,17,7,
GCF_002807375.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002807395.fna.gz,bcereus,1672,37,9,14,29,12,14,7,ST-18 complex
GCF_002807415.fna.gz,bcereus,-,12,8,-,14,11,12,10,
GCF_002807445.fna.gz,bcereus,1969,13,8,263,11,9,12,10,ST-142 complex
GCF_002807505.fna.gz,bcereus,127,6,4,53,4,16,6,3,
GCF_002807525.fna.gz,bcereus,-,37,9,14,12,-,14,7,
GCF_002811445.fna.gz,bcereus,104,24,12,33,37,48,31,19,
GCF_002813875.fna.gz,bcereus,new_ST,15,6,47,8,4,7,21,
GCF_002835635.fna.gz,bcereus,1066,19,2,31,5,19,3,91,ST-205 complex
GCF_002880735.fna.gz,bcereus,75,44,1,32,1,18,33,24,ST-365 complex
GCF_002896915.fna.gz,bcereus,2184,51,2,21,5,19,3,253,ST-205 complex
GCF_002911655.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002952815.fna.gz,bcereus,2149,55,148,330,315,69,237,3,
GCF_002976395.fna.gz,bcereus,1985,342,1,83,1,55,37,43,
GCF_002976415.fna.gz,bcereus,1985,342,1,83,1,55,37,43,
GCF_003004435.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_003013315.fna.gz,bcereus,new_ST,15,6,131,11,4,39,7,
GCF_003020845.fna.gz,bcereus,1207,14,8,13,19,2,17,7,
GCF_003122725.fna.gz,bcereus,2166,40,8,14,26,290,36,7,
GCF_003151055.fna.gz,bcereus,205,19,2,21,5,19,3,2,ST-205 complex
GCF_003151095.fna.gz,bcereus,205,19,2,21,5,19,3,2,ST-205 complex
GCF_003265185.fna.gz,bcereus,139,50,8,14,12,12,36,7,ST-18 complex
GCF_003270005.fna.gz,bcereus,2152,55,201,330,4,69,247,3,
GCF_003270015.fna.gz,bcereus,-,76,182,-,-,305,237,3,
GCF_003270025.fna.gz,bcereus,-,19,-,21,5,19,3,-,
GCF_003270035.fna.gz,bcereus,2151,76,201,255,4,69,247,3,
GCF_003298655.fna.gz,bcereus,2182,14,203,29,11,60,35,251,
GCF_003332225.fna.gz,bcereus,1959,40,8,166,26,2,36,7,
GCF_003439755.fna.gz,bcereus,975,19,2,21,5,114,3,2,ST-205 complex
GCF_003545675.fna.gz,bcereus,197,15,7,7,2,7,8,13,ST-23 complex
GCF_003568565.fna.gz,bcereus,1436,12,8,68,30,9,12,10,
GCF_003586605.fna.gz,bcereus,465,11,9,14,29,12,14,7,ST-18 complex
GCF_004006495.fna.gz,bcereus,12,15,7,7,2,7,10,13,ST-23 complex
GCF_004022305.fna.gz,bcereus,1331,11,9,14,12,12,14,180,ST-18 complex
GCF_004023705.fna.gz,bcereus,1437,247,1,83,1,55,37,43,
GCF_004306975.fna.gz,bcereus,2622,246,2,21,5,19,3,2,ST-205 complex
GCF_004306995.fna.gz,bcereus,932,202,116,223,174,205,171,128,
GCF_004307115.fna.gz,bcereus,1274,14,8,13,11,2,17,17,
GCF_004330325.fna.gz,bcereus,163,44,1,32,16,18,33,24,ST-365 complex
GCF_004330405.fna.gz,bcereus,1810,65,1,293,1,1,52,42,
GCF_004378425.fna.gz,bcereus,2320,14,8,148,28,4,12,23,
GCF_004681985.fna.gz,bcereus,1317,13,8,68,30,9,62,10,
GCF_004771155.fna.gz,bcereus,new_ST,241,8,8,10,8,17,7,
GCF_004801195.fna.gz,bcereus,1437,247,1,83,1,55,37,43,
GCF_005217125.fna.gz,bcereus,257,15,7,7,2,5,10,13,ST-23 complex
GCF_005217235.fna.gz,bcereus,59,22,9,30,18,20,21,7,
GCF_005217245.fna.gz,bcereus,2668,15,7,7,2,7,10,303,ST-23 complex
GCF_005217255.fna.gz,bcereus,new_alleles,12,17,33,178,~329,35,7,
GCF_005217265.fna.gz,bcereus,new_ST,12,17,336,178,24,35,7,
GCF_005217285.fna.gz,bcereus,857,91,9,14,18,20,19,7,
GCF_005217345.fna.gz,bcereus,12,15,7,7,2,7,10,13,ST-23 complex
GCF_005217355.fna.gz,bcereus,257,15,7,7,2,5,10,13,ST-23 complex
GCF_005217375.fna.gz,bcereus,257,15,7,7,2,5,10,13,ST-23 complex
GCF_005217405.fna.gz,bcereus,new_ST,22,9,76,18,20,21,7,
GCF_005217435.fna.gz,bcereus,33,22,9,18,18,20,19,7,
GCF_005217675.fna.gz,bcereus,257,15,7,7,2,5,10,13,ST-23 complex
GCF_005217705.fna.gz,bcereus,-,13,8,8,11,11,12,-,
GCF_005707595.fna.gz,bcereus,1241,241,8,8,10,8,17,17,
GCF_006094295.fna.gz,bcereus,4,13,8,8,11,11,12,7,ST-142 complex
GCF_006151815.fna.gz,bcereus,2703,13,8,8,11,9,12,23,ST-142 complex
GCF_006349585.fna.gz,bcereus,1662,13,8,9,11,9,12,10,ST-142 complex
GCF_006349695.fna.gz,bcereus,8,7,8,16,13,2,16,7,ST-8 complex
GCF_006349715.fna.gz,bcereus,1155,40,8,14,26,2,36,7,
GCF_006349735.fna.gz,bcereus,new_alleles,13,8,~36,19,9,17,17,
GCF_006349775.fna.gz,bcereus,959,37,9,14,18,20,14,7,ST-18 complex
GCF_006370265.fna.gz,bcereus,465,11,9,14,29,12,14,7,ST-18 complex
GCF_006384875.fna.gz,bcereus,466,125,8,14,12,2,25,7,
GCF_006864345.fna.gz,bcereus,496,12,8,9,135,9,12,10,
GCF_007665505.fna.gz,bcereus,76,34,15,28,38,30,29,33,
GCF_007666925.fna.gz,bcereus,177,13,47,9,11,68,12,10,
GCF_007667625.fna.gz,bcereus,new_ST,37,9,49,12,12,14,7,
GCF_007667665.fna.gz,bcereus,177,13,47,9,11,68,12,10,
GCF_007668075.fna.gz,bcereus,1672,37,9,14,29,12,14,7,ST-18 complex
GCF_007668125.fna.gz,bcereus,1672,37,9,14,29,12,14,7,ST-18 complex
GCF_007673075.fna.gz,bcereus,new_alleles,37,9,14,12,12,~14,7,
GCF_007676775.fna.gz,bcereus,100,13,8,46,28,9,12,7,ST-142 complex
GCF_007677075.fna.gz,bcereus,1150,33,8,13,19,2,17,7,
GCF_007677365.fna.gz,bcereus,1662,13,8,9,11,9,12,10,ST-142 complex
GCF_007678085.fna.gz,bcereus,new_alleles,~113,~109,~66,~48,~328,~131,~37,
GCF_007678855.fna.gz,bcereus,247,105,61,95,92,92,77,68,
GCF_007679475.fna.gz,bcereus,73,13,8,9,14,9,12,31,ST-142 complex
GCF_007679745.fna.gz,bcereus,new_ST,14,8,40,30,2,17,8,
GCF_007680615.fna.gz,bcereus,2660,22,9,412,18,20,288,7,
GCF_007923085.fna.gz,bcereus,156,40,9,14,12,12,25,7,ST-18 complex
GCF_008041975.fna.gz,bcereus,73,13,8,9,14,9,12,31,ST-142 complex
GCF_008375355.fna.gz,bcereus,1331,11,9,14,12,12,14,180,ST-18 complex
GCF_008416285.fna.gz,bcereus,990,65,1,93,1,51,37,24,
GCF_008682215.fna.gz,bcereus,56,15,7,7,2,7,26,13,ST-23 complex
GCF_008682265.fna.gz,bcereus,1265,15,7,7,2,93,26,13,ST-23 complex
GCF_008682285.fna.gz,bcereus,new_alleles,15,7,7,~2,93,26,13,
GCF_008764255.fna.gz,bcereus,new_ST,14,8,40,30,2,17,8,
GCF_008829505.fna.gz,bcereus,new_alleles,11,~8,49,12,2,36,7,
GCF_008923485.fna.gz,bcereus,1265,15,7,7,2,93,26,13,ST-23 complex
GCF_008923495.fna.gz,bcereus,2781,285,8,48,45,58,87,7,
GCF_008923505.fna.gz,bcereus,2781,285,8,48,45,58,87,7,
GCF_008923565.fna.gz,bcereus,2781,285,8,48,45,58,87,7,
GCF_008923575.fna.gz,bcereus,1265,15,7,7,2,93,26,13,ST-23 complex
GCF_008923585.fna.gz,bcereus,1265,15,7,7,2,93,26,13,ST-23 complex
GCF_008923595.fna.gz,bcereus,1265,15,7,7,2,93,26,13,ST-23 complex
GCF_008923605.fna.gz,bcereus,new_alleles,15,6,~47,8,4,7,7,
GCF_008923675.fna.gz,bcereus,1265,15,7,7,2,93,26,13,ST-23 complex
GCF_008923705.fna.gz,bcereus,56,15,7,7,2,7,26,13,ST-23 complex
GCF_008923765.fna.gz,bcereus,1348,15,7,7,2,96,26,13,ST-23 complex
GCF_008923775.fna.gz,bcereus,1290,13,8,8,11,9,12,8,ST-142 complex
GCF_008923815.fna.gz,bcereus,56,15,7,7,2,7,26,13,ST-23 complex
GCF_008923825.fna.gz,bcereus,new_alleles,15,6,~47,8,4,7,7,
GCF_009497015.fna.gz,bcereus,1477,15,143,10,8,4,7,14,
GCF_009739925.fna.gz,bcereus,new_alleles,15,6,131,11,4,~7,14,
GCF_009739965.fna.gz,bcereus,73,13,8,9,14,9,12,31,ST-142 complex
GCF_009739985.fna.gz,bcereus,new_ST,14,8,36,30,29,17,53,
GCF_009928555.fna.gz,bcereus,1481,13,8,9,11,9,12,8,ST-142 complex
GCF_009935145.fna.gz,bcereus,2758,15,6,423,8,4,8,14,ST-97 complex
GCF_009935575.fna.gz,bcereus,752,93,6,198,8,4,7,21,
GCF_009935625.fna.gz,bcereus,752,93,6,198,8,4,7,21,
GCF_009935655.fna.gz,bcereus,752,93,6,198,8,4,7,21,
GCF_009935735.fna.gz,bcereus,752,93,6,198,8,4,7,21,
GCF_009935775.fna.gz,bcereus,752,93,6,198,8,4,7,21,
GCF_010223795.fna.gz,bcereus,157,7,8,47,12,2,25,7,ST-8 complex
GCF_010232525.fna.gz,bcereus,157,7,8,47,12,2,25,7,ST-8 complex
GCF_010577945.fna.gz,bcereus,253,14,8,48,45,58,87,7,
GCF_010578105.fna.gz,bcereus,new_ST,13,17,40,19,8,17,10,
GCF_010578145.fna.gz,bcereus,1673,172,71,14,29,267,14,7,
GCF_010578205.fna.gz,bcereus,1673,172,71,14,29,267,14,7,
GCF_010578245.fna.gz,bcereus,1673,172,71,14,29,267,14,7,
GCF_010578275.fna.gz,bcereus,1673,172,71,14,29,267,14,7,
GCF_010580595.fna.gz,bcereus,24,12,8,9,14,11,12,10,
GCF_010580665.fna.gz,bcereus,1673,172,71,14,29,267,14,7,
GCF_010580675.fna.gz,bcereus,1673,172,71,14,29,267,14,7,
GCF_010993515.fna.gz,bcereus,1673,172,71,14,29,267,14,7,
GCF_010993575.fna.gz,bcereus,1673,172,71,14,29,267,14,7,
GCF_011751555.fna.gz,bcereus,2170,20,8,363,19,29,17,7,
GCF_011765305.fna.gz,bcereus,427,122,8,8,11,9,12,10,ST-142 complex
GCF_012395315.fna.gz,bcereus,24,12,8,9,14,11,12,10,
GCF_012395345.fna.gz,bcereus,new_ST,65,1,93,1,51,52,24,
GCF_012395385.fna.gz,bcereus,new_alleles,~37,9,76,18,12,14,7,
GCF_012395395.fna.gz,bcereus,427,122,8,8,11,9,12,10,ST-142 complex
GCF_012395425.fna.gz,bcereus,new_alleles,93,6,~170,9,4,7,21,
GCF_013112375.fna.gz,bcereus,177,13,47,9,11,68,12,10,
GCF_013177495.fna.gz,bcereus,new_alleles,~65,1,51,1,50,52,~24,
GCF_013267235.fna.gz,bcereus,62,38,1,32,1,18,33,24,ST-365 complex
GCF_013267255.fna.gz,bcereus,new_ST,40,8,14,12,2,36,142,
GCF_013267275.fna.gz,bcereus,new_ST,40,8,14,12,2,36,142,
GCF_013267455.fna.gz,bcereus,145,65,1,52,1,1,37,24,
GCF_013267475.fna.gz,bcereus,145,65,1,52,1,1,37,24,
GCF_013267775.fna.gz,bcereus,1263,34,1,124,16,18,33,89,ST-365 complex
GCF_013284425.fna.gz,bcereus,799,13,8,8,107,9,12,10,ST-142 complex
GCF_013284445.fna.gz,bcereus,960,7,8,15,12,2,16,7,ST-8 complex
GCF_013284455.fna.gz,bcereus,395,13,8,8,11,4,12,53,ST-142 complex
GCF_013284505.fna.gz,bcereus,395,13,8,8,11,4,12,53,ST-142 complex
GCF_013303115.fna.gz,bcereus,1465,122,8,8,14,9,12,10,ST-142 complex
GCF_013394245.fna.gz,bcereus,24,12,8,9,14,11,12,10,
GCF_014596335.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_015069665.fna.gz,bcereus,new_alleles,59,~34,~301,22,~127,209,26,
GCF_015071065.fna.gz,bcereus,new_alleles,~277,~170,~189,~15,~160,~92,~77,
GCF_015071115.fna.gz,bcereus,new_alleles,~26,~74,~181,~15,~234,~100,~77,
GCF_015645275.fna.gz,bcereus,427,122,8,8,11,9,12,10,ST-142 complex
GCF_015845135.fna.gz,bcereus,new_ST,69,6,170,9,242,7,21,
GCF_015845375.fna.gz,bcereus,33,22,9,18,18,20,19,7,
GCF_015845455.fna.gz,bcereus,1123,16,6,12,9,4,173,15,
GCF_015905265.fna.gz,bcereus,new_ST,14,8,40,19,41,17,10,
GCF_016027015.fna.gz,bcereus,11,34,1,32,1,33,37,24,ST-365 complex
GCF_016117775.fna.gz,bcereus,908,115,124,119,116,119,108,88,
