Genome,Scheme,ST,aspA,glnA,gltA,glyA,pgm,tkt,uncA,clonal_complex
GCF_001547595.fna.gz,cjejuni,3930,7,78,42,4,11,12,8,
GCF_001547605.fna.gz,cjejuni,1232,7,17,5,10,11,3,6,ST-353 complex
GCF_001547615.fna.gz,cjejuni,2328,8,2,2,212,153,253,147,
GCF_001547625.fna.gz,cjejuni,653,9,17,2,2,11,12,6,ST-354 complex
GCF_001547675.fna.gz,cjejuni,2274,9,17,5,10,350,3,3,
GCF_001563565.fna.gz,cjejuni,1471,24,171,2,2,89,59,6,ST-460 complex
GCF_001587015.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001587035.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001686905.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001717625.fna.gz,cjejuni,1839,2,222,29,250,303,25,35,
GCF_001721945.fna.gz,cjejuni,8789,2,1,12,3,497,1,5,ST-21 complex
GCF_001721965.fna.gz,cjejuni,460,24,30,2,2,89,59,6,ST-460 complex
GCF_001721985.fna.gz,cjejuni,1911,7,84,5,10,119,178,26,
GCF_001761585.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_001761645.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_001761665.fna.gz,cjejuni,9281,485,2,583,104,43,350,31,
GCF_001761685.fna.gz,cjejuni,508,1,6,60,24,12,28,1,ST-508 complex
GCF_001761705.fna.gz,cjejuni,3322,15,22,78,18,205,86,188,
GCF_001761725.fna.gz,cjejuni,5473,18,22,164,97,115,86,47,
GCF_001761745.fna.gz,cjejuni,9282,1,33,584,104,43,109,31,
GCF_001761765.fna.gz,cjejuni,9282,1,33,584,104,43,109,31,
GCF_001761785.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_001761805.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_001761865.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_001761885.fna.gz,cjejuni,9282,1,33,584,104,43,109,31,
GCF_001761905.fna.gz,cjejuni,8819,4,22,22,189,134,101,16,
GCF_001762125.fna.gz,cjejuni,2109,4,7,10,4,10,7,1,ST-45 complex
GCF_001762145.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001762165.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001762175.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001762255.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_001762305.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_001762555.fna.gz,cjejuni,1888,3,1,2,10,11,68,6,ST-49 complex
GCF_001762575.fna.gz,cjejuni,1888,3,1,2,10,11,68,6,ST-49 complex
GCF_001762595.fna.gz,cjejuni,8822,18,70,22,97,319,388,47,
GCF_001762615.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_001762635.fna.gz,cjejuni,8823,18,70,22,104,139,175,16,
GCF_001762655.fna.gz,cjejuni,4209,18,2,263,104,43,398,31,
GCF_001762675.fna.gz,cjejuni,5473,18,22,164,97,115,86,47,
GCF_001762695.fna.gz,cjejuni,6307,27,33,22,104,43,109,31,ST-1275 complex
GCF_001762895.fna.gz,cjejuni,8819,4,22,22,189,134,101,16,
GCF_001762915.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_001762935.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_001762945.fna.gz,cjejuni,4467,76,105,284,104,43,285,31,
GCF_001762975.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_001762995.fna.gz,cjejuni,8821,64,22,20,189,134,101,16,
GCF_001763015.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_001763035.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_001763045.fna.gz,cjejuni,9282,1,33,584,104,43,109,31,
GCF_001763275.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001763315.fna.gz,cjejuni,5673,18,22,22,18,410,103,16,
GCF_001763335.fna.gz,cjejuni,9289,18,22,388,24,935,101,31,
GCF_001763385.fna.gz,cjejuni,5679,85,100,22,18,133,86,149,
GCF_001763415.fna.gz,cjejuni,8840,161,33,22,104,43,109,278,
GCF_001763435.fna.gz,cjejuni,997,76,33,78,104,43,109,31,
GCF_001763445.fna.gz,cjejuni,4881,76,70,78,104,43,109,31,
GCF_001763475.fna.gz,cjejuni,8840,161,33,22,104,43,109,278,
GCF_001763495.fna.gz,cjejuni,9278,64,99,22,104,931,108,16,
GCF_001763515.fna.gz,cjejuni,6676,24,30,95,2,89,59,6,ST-460 complex
GCF_001763525.fna.gz,cjejuni,5473,18,22,164,97,115,86,47,
GCF_001763535.fna.gz,cjejuni,4161,1,172,95,62,477,32,147,
GCF_001763575.fna.gz,cjejuni,929,9,2,4,62,4,5,17,ST-257 complex
GCF_001763595.fna.gz,cjejuni,782,4,2,10,4,1,7,1,ST-45 complex
GCF_001763615.fna.gz,cjejuni,782,4,2,10,4,1,7,1,ST-45 complex
GCF_001763625.fna.gz,cjejuni,9278,64,99,22,104,931,108,16,
GCF_001763645.fna.gz,cjejuni,9278,64,99,22,104,931,108,16,
GCF_001763675.fna.gz,cjejuni,9274,76,22,165,98,146,729,16,
GCF_001763695.fna.gz,cjejuni,6674,10,25,16,19,10,5,7,ST-403 complex
GCF_001763755.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001763855.fna.gz,cjejuni,9261,7,172,21,49,936,224,51,
GCF_001763865.fna.gz,cjejuni,9262,1,27,89,19,10,5,593,ST-403 complex
GCF_001763915.fna.gz,cjejuni,6674,10,25,16,19,10,5,7,ST-403 complex
GCF_001763965.fna.gz,cjejuni,9261,7,172,21,49,936,224,51,
GCF_001764095.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_001764135.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001764155.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001764175.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001764195.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001764215.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001764225.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001764275.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001764295.fna.gz,cjejuni,9259,17,2,8,5,933,2,4,ST-177 complex
GCF_001764315.fna.gz,cjejuni,9259,17,2,8,5,933,2,4,ST-177 complex
GCF_001764335.fna.gz,cjejuni,508,1,6,60,24,12,28,1,ST-508 complex
GCF_001764355.fna.gz,cjejuni,8819,4,22,22,189,134,101,16,
GCF_001764375.fna.gz,cjejuni,9287,18,22,100,18,586,715,6,
GCF_001764405.fna.gz,cjejuni,1212,8,2,5,53,11,3,105,ST-607 complex
GCF_001764455.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001764475.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001764485.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001764495.fna.gz,cjejuni,460,24,30,2,2,89,59,6,ST-460 complex
GCF_001764535.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001764595.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001764635.fna.gz,cjejuni,190,2,1,5,3,2,3,5,ST-21 complex
GCF_001764655.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001764665.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_001764675.fna.gz,cjejuni,474,2,4,1,2,2,1,5,ST-48 complex
GCF_001764715.fna.gz,cjejuni,53,2,1,21,3,2,1,5,ST-21 complex
GCF_001764735.fna.gz,cjejuni,474,2,4,1,2,2,1,5,ST-48 complex
GCF_001764745.fna.gz,cjejuni,422,2,1,5,3,2,5,5,ST-21 complex
GCF_001764765.fna.gz,cjejuni,583,4,7,10,4,42,51,1,ST-45 complex
GCF_001764795.fna.gz,cjejuni,1517,8,10,149,2,11,12,6,ST-354 complex
GCF_001764815.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001764825.fna.gz,cjejuni,474,2,4,1,2,2,1,5,ST-48 complex
GCF_001764845.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001764875.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001764895.fna.gz,cjejuni,474,2,4,1,2,2,1,5,ST-48 complex
GCF_001764915.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001764925.fna.gz,cjejuni,7262,9,2,5,10,11,3,1,ST-607 complex
GCF_001764955.fna.gz,cjejuni,6238,8,2,27,53,11,3,1,ST-607 complex
GCF_001764975.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001764995.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001765015.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001765035.fna.gz,cjejuni,1953,7,17,2,2,86,3,1,ST-353 complex
GCF_001765055.fna.gz,cjejuni,8837,8,2,2,2,309,253,147,
GCF_001765075.fna.gz,cjejuni,2140,9,53,2,53,11,3,3,ST-574 complex
GCF_001765085.fna.gz,cjejuni,1919,9,2,2,10,10,3,5,ST-52 complex
GCF_001765115.fna.gz,cjejuni,5671,7,17,351,15,23,3,12,ST-443 complex
GCF_001765125.fna.gz,cjejuni,2276,9,2,2,10,10,59,5,
GCF_001765155.fna.gz,cjejuni,8838,9,53,1,53,11,3,3,ST-574 complex
GCF_001765165.fna.gz,cjejuni,1232,7,17,5,10,11,3,6,ST-353 complex
GCF_001765215.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001765235.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001765255.fna.gz,cjejuni,1919,9,2,2,10,10,3,5,ST-52 complex
GCF_001765265.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001765295.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001765315.fna.gz,cjejuni,2948,7,17,52,72,22,3,6,ST-353 complex
GCF_001765335.fna.gz,cjejuni,2276,9,2,2,10,10,59,5,
GCF_001765355.fna.gz,cjejuni,919,7,53,2,15,11,3,3,ST-574 complex
GCF_001765365.fna.gz,cjejuni,1919,9,2,2,10,10,3,5,ST-52 complex
GCF_001765395.fna.gz,cjejuni,5666,9,17,5,53,151,3,6,ST-353 complex
GCF_001767215.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001856905.fna.gz,cjejuni,2921,166,2,1,10,11,3,1,ST-607 complex
GCF_001856915.fna.gz,cjejuni,8844,7,17,2,2,11,37,1,
GCF_001856925.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001856945.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001856985.fna.gz,cjejuni,2927,166,2,5,10,151,3,1,ST-607 complex
GCF_001857005.fna.gz,cjejuni,161,14,21,2,10,86,3,6,ST-52 complex
GCF_001857015.fna.gz,cjejuni,587,1,2,42,4,90,25,8,ST-362 complex
GCF_001857025.fna.gz,cjejuni,8839,9,25,2,10,10,5,5,ST-52 complex
GCF_001857065.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001857085.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001857095.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001857115.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001865395.fna.gz,cjejuni,3647,9,25,2,10,431,3,6,ST-52 complex
GCF_001865415.fna.gz,cjejuni,607,8,2,5,53,11,3,1,ST-607 complex
GCF_001865435.fna.gz,cjejuni,462,7,17,5,2,11,3,6,ST-353 complex
GCF_001865595.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_001870085.fna.gz,cjejuni,1212,8,2,5,53,11,3,105,ST-607 complex
GCF_001870105.fna.gz,cjejuni,1212,8,2,5,53,11,3,105,ST-607 complex
GCF_001870565.fna.gz,cjejuni,997,76,33,78,104,43,109,31,
GCF_001877095.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877105.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877115.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877125.fna.gz,cjejuni,new_alleles,~1,1,2,83,2,3,6,
GCF_001877175.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877185.fna.gz,cjejuni,8419,2,3,12,3,2,1,5,ST-21 complex
GCF_001877195.fna.gz,cjejuni,934,1,1,59,2,10,5,7,
GCF_001877205.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877255.fna.gz,cjejuni,934,1,1,59,2,10,5,7,
GCF_001877265.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_001877285.fna.gz,cjejuni,-,1,2,3,-,5,9,3,
GCF_001877305.fna.gz,cjejuni,2219,10,7,10,4,1,7,1,ST-45 complex
GCF_001877335.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_001877355.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001877365.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001877395.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_001877415.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_001877435.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_001877445.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_001877465.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_001877495.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_001877515.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_001877525.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_001877555.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_001877575.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_001877595.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001877615.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001877625.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001877655.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001877675.fna.gz,cjejuni,1244,1,1,2,2,225,3,17,ST-61 complex
GCF_001877695.fna.gz,cjejuni,1244,1,1,2,2,225,3,17,ST-61 complex
GCF_001877705.fna.gz,cjejuni,1244,1,1,2,2,225,3,17,ST-61 complex
GCF_001877715.fna.gz,cjejuni,1244,1,1,2,2,225,3,17,ST-61 complex
GCF_001877725.fna.gz,cjejuni,1244,1,1,2,2,225,3,17,ST-61 complex
GCF_001877775.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877855.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877865.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877895.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877905.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877935.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877945.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877975.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001877985.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878015.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878025.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878035.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001878065.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001878095.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001878105.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_001878125.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_001878155.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001878175.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001878185.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878205.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878235.fna.gz,cjejuni,8419,2,3,12,3,2,1,5,ST-21 complex
GCF_001878255.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_001878275.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001878285.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001878295.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_001878335.fna.gz,cjejuni,929,9,2,4,62,4,5,17,ST-257 complex
GCF_001878355.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001878375.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878385.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878395.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878435.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878455.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878465.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878485.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878515.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_001878525.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_001878545.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001878575.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001878595.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001878615.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001878625.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_001878635.fna.gz,cjejuni,1244,1,1,2,2,225,3,17,ST-61 complex
GCF_001879185.fna.gz,cjejuni,8536,40,1,1,3,2,1,6,ST-21 complex
GCF_001912825.fna.gz,cjejuni,8845,64,22,164,98,123,101,60,
GCF_001912835.fna.gz,cjejuni,6629,1,6,404,176,40,180,3,ST-179 complex
GCF_001912845.fna.gz,cjejuni,1962,55,172,21,49,125,83,51,
GCF_001912855.fna.gz,cjejuni,1224,18,22,22,97,115,175,47,
GCF_001912915.fna.gz,cjejuni,3630,9,2,42,4,11,9,253,
GCF_001912925.fna.gz,cjejuni,113,24,30,2,2,11,3,6,ST-460 complex
GCF_001912945.fna.gz,cjejuni,574,7,53,2,10,11,3,3,ST-574 complex
GCF_001912985.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001912995.fna.gz,cjejuni,5525,18,22,229,24,586,86,6,
GCF_001913005.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001913015.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001913065.fna.gz,cjejuni,2276,9,2,2,10,10,59,5,
GCF_001913075.fna.gz,cjejuni,2276,9,2,2,10,10,59,5,
GCF_001951235.fna.gz,cjejuni,861,2,1,42,3,148,1,5,ST-21 complex
GCF_001951255.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001951275.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001951295.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001951315.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001951335.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002000335.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_002024325.fna.gz,cjejuni,5843,1,1,5,48,394,88,233,
GCF_002028305.fna.gz,cjejuni,5843,1,1,5,48,394,88,233,
GCF_002101355.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_002110605.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110615.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002110625.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110635.fna.gz,cjejuni,883,2,17,2,3,2,1,5,ST-21 complex
GCF_002110685.fna.gz,cjejuni,141,2,1,10,3,2,1,5,ST-21 complex
GCF_002110695.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110705.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110715.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110765.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110775.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110805.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110815.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110825.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110835.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110885.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002110905.fna.gz,cjejuni,1948,2,71,12,3,2,1,5,ST-21 complex
GCF_002111525.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002118115.fna.gz,cjejuni,5731,24,2,2,2,10,3,12,ST-464 complex
GCF_002120145.fna.gz,cjejuni,637,10,33,22,49,43,82,31,ST-1275 complex
GCF_002120155.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_002120165.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_002120285.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_002168235.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002177255.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002177315.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002177345.fna.gz,cjejuni,-,-,-,-,-,~334,-,-,
GCF_002177365.fna.gz,cjejuni,9355,200,6,61,147,40,180,3,
GCF_002177375.fna.gz,cjejuni,-,-,-,-,-,~334,-,-,
GCF_002177385.fna.gz,cjejuni,933,10,1,59,19,10,5,7,ST-403 complex
GCF_002177435.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_002177455.fna.gz,cjejuni,806,2,1,1,3,140,3,5,ST-21 complex
GCF_002177465.fna.gz,cjejuni,9354,180,654,2,213,19,231,147,
GCF_002177475.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_002177515.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_002177535.fna.gz,cjejuni,4186,1,6,137,176,40,180,3,ST-179 complex
GCF_002177545.fna.gz,cjejuni,267,4,7,40,4,42,51,1,ST-283 complex
GCF_002177555.fna.gz,cjejuni,267,4,7,40,4,42,51,1,ST-283 complex
GCF_002177595.fna.gz,cjejuni,4186,1,6,137,176,40,180,3,ST-179 complex
GCF_002177615.fna.gz,cjejuni,267,4,7,40,4,42,51,1,ST-283 complex
GCF_002177625.fna.gz,cjejuni,538,4,7,10,4,42,25,1,ST-45 complex
GCF_002177655.fna.gz,cjejuni,929,9,2,4,62,4,5,17,ST-257 complex
GCF_002177675.fna.gz,cjejuni,-,-,-,-,-,~334,-,-,
GCF_002177685.fna.gz,cjejuni,991,37,52,57,26,107,29,23,ST-692 complex
GCF_002177695.fna.gz,cjejuni,267,4,7,40,4,42,51,1,ST-283 complex
GCF_002177735.fna.gz,cjejuni,9353,2,15,4,48,17,25,23,ST-1034 complex
GCF_002177745.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002177775.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002177805.fna.gz,cjejuni,991,37,52,57,26,107,29,23,ST-692 complex
GCF_002177835.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_002177865.fna.gz,cjejuni,929,9,2,4,62,4,5,17,ST-257 complex
GCF_002177885.fna.gz,cjejuni,991,37,52,57,26,107,29,23,ST-692 complex
GCF_002177905.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_002177935.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_002177955.fna.gz,cjejuni,693,2,29,4,48,13,24,57,
GCF_002177965.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_002177985.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_002178035.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002178055.fna.gz,cjejuni,538,4,7,10,4,42,25,1,ST-45 complex
GCF_002178075.fna.gz,cjejuni,4186,1,6,137,176,40,180,3,ST-179 complex
GCF_002178085.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002178105.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_002178135.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002178155.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_002178175.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_002178195.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_002178225.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002178235.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_002178265.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_002178285.fna.gz,cjejuni,679,4,7,70,4,1,7,1,ST-45 complex
GCF_002178295.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_002178325.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_002178355.fna.gz,cjejuni,929,9,2,4,62,4,5,17,ST-257 complex
GCF_002178365.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_002178405.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002178435.fna.gz,cjejuni,137,4,7,10,4,42,7,1,ST-45 complex
GCF_002178445.fna.gz,cjejuni,262,2,1,1,3,2,1,3,ST-21 complex
GCF_002178475.fna.gz,cjejuni,222,2,21,5,2,59,1,5,ST-206 complex
GCF_002178495.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002178505.fna.gz,cjejuni,1209,2,1,137,3,2,1,5,ST-21 complex
