Genome,Scheme,ST,adk,atpG,frdB,fucK,mdh,pgi,recA,clonal_complex
GCF_900407865.fna.gz,hinfluenzae,282,10,14,5,44,4,7,8,
GCF_900407875.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407885.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407895.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407905.fna.gz,hinfluenzae,1280,1,22,19,19,45,215,2,
GCF_900407915.fna.gz,hinfluenzae,205,40,1,1,14,61,69,5,
GCF_900407925.fna.gz,hinfluenzae,1382,50,12,32,50,147,82,125,
GCF_900407935.fna.gz,hinfluenzae,1834,35,33,7,15,46,44,29,
GCF_900407945.fna.gz,hinfluenzae,262,63,50,22,15,30,40,3,
GCF_900407955.fna.gz,hinfluenzae,1833,1,1,10,14,186,42,5,
GCF_900407965.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407975.fna.gz,hinfluenzae,263,28,14,1,1,16,55,1,
GCF_900407985.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900407995.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900408005.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900408015.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900408025.fna.gz,hinfluenzae,368,3,4,17,11,54,3,34,
GCF_900408035.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900408045.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900408055.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900408065.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900408075.fna.gz,hinfluenzae,396,10,2,15,8,26,61,3,
GCF_900408085.fna.gz,hinfluenzae,164,43,1,46,7,72,1,23,
GCF_900408095.fna.gz,hinfluenzae,509,50,8,35,7,26,45,32,
GCF_900408105.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_900408115.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900408125.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900408135.fna.gz,hinfluenzae,1136,3,9,8,4,14,210,4,
GCF_900408145.fna.gz,hinfluenzae,183,14,44,1,1,22,1,5,
GCF_900408155.fna.gz,hinfluenzae,244,55,11,16,14,102,2,3,
GCF_900408165.fna.gz,hinfluenzae,1835,45,112,111,73,62,126,23,
GCF_900408175.fna.gz,hinfluenzae,276,5,8,58,14,71,13,29,
GCF_900408185.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900408195.fna.gz,hinfluenzae,1143,69,54,130,7,80,82,61,
GCF_900408205.fna.gz,hinfluenzae,107,33,8,16,16,49,2,3,
GCF_900408215.fna.gz,hinfluenzae,368,3,4,17,11,54,3,34,
GCF_900475535.fna.gz,hinfluenzae,559,50,79,36,10,162,139,95,
GCF_900475755.fna.gz,hinfluenzae,123,22,6,11,12,58,18,15,
GCF_900475995.fna.gz,hinfluenzae,145,1,8,1,14,22,14,13,
GCF_900478275.fna.gz,hinfluenzae,44,10,14,4,3,4,3,8,
GCF_900478325.fna.gz,hinfluenzae,142,1,1,1,35,15,53,38,
GCF_900478735.fna.gz,hinfluenzae,27,18,6,3,8,23,28,19,
GCF_900635795.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_900635805.fna.gz,hinfluenzae,368,3,4,17,11,54,3,34,
GCF_900638105.fna.gz,hinfluenzae,478,28,33,7,18,11,125,89,
GCF_901472485.fna.gz,hinfluenzae,464,21,19,35,7,145,20,18,
GCF_901873435.fna.gz,hinfluenzae,new_ST,50,12,32,1,136,120,48,
