Genome,Scheme,ST,dnaE,gyrB,recA,dtdS,pntA,pyrC,tnaA,clonal_complex
GCF_001921805.fna.gz,vparahaemolyticus,2360,202,279,208,242,4,54,57,no
GCF_001951115.fna.gz,vparahaemolyticus,1682,350,476,349,375,28,190,24,no
GCF_001975475.fna.gz,vparahaemolyticus,1140,19,295,295,223,136,11,13,no
GCF_001996365.fna.gz,vparahaemolyticus,1913,363,505,218,442,30,303,26,no
GCF_001998785.fna.gz,vparahaemolyticus,new_alleles,5,52?,27,13,17,25,10,
GCF_002013995.fna.gz,vparahaemolyticus,1913,363,505,218,442,30,303,26,no
GCF_002014005.fna.gz,vparahaemolyticus,1914,373,141,370,232,18,27,26,no
GCF_002014015.fna.gz,vparahaemolyticus,1915,28,144,116,252,26,415,61,no
GCF_002014055.fna.gz,vparahaemolyticus,1913,363,505,218,442,30,303,26,no
GCF_002018535.fna.gz,vparahaemolyticus,-,4,13,317,38,18,9,-,
GCF_002018555.fna.gz,vparahaemolyticus,-,336,106,335,123,30,11,-,
GCF_002018565.fna.gz,vparahaemolyticus,28,17,16,13,7,24,16,20,no
GCF_002018625.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_002018635.fna.gz,vparahaemolyticus,308,12,178,25,153,27,78,54,no
GCF_002018645.fna.gz,vparahaemolyticus,445,137,238,3,194,122,11,131,no
GCF_002018695.fna.gz,vparahaemolyticus,308,12,178,25,153,27,78,54,no
GCF_002018705.fna.gz,vparahaemolyticus,308,12,178,25,153,27,78,54,no
GCF_002018725.fna.gz,vparahaemolyticus,445,137,238,3,194,122,11,131,no
GCF_002018735.fna.gz,vparahaemolyticus,308,12,178,25,153,27,78,54,no
GCF_002018775.fna.gz,vparahaemolyticus,308,12,178,25,153,27,78,54,no
GCF_002072835.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002072845.fna.gz,vparahaemolyticus,59,36,15,1,25,23,21,16,36
GCF_002072875.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002072885.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002072925.fna.gz,vparahaemolyticus,98,14,30,49,11,27,11,13,
GCF_002072975.fna.gz,vparahaemolyticus,966,12,312,25,342,26,37,132,no
GCF_002072985.fna.gz,vparahaemolyticus,73,3,44,42,44,38,44,24,no
GCF_002073005.fna.gz,vparahaemolyticus,79,35,43,38,21,31,35,37,no
GCF_002073025.fna.gz,vparahaemolyticus,793,242,16,195,187,31,165,17,no
GCF_002073775.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_002114585.fna.gz,vparahaemolyticus,1166,297,124,89,13,4,101,73,
GCF_002114595.fna.gz,vparahaemolyticus,1166,297,124,89,13,4,101,73,
GCF_002114605.fna.gz,vparahaemolyticus,1525,111,5,22,34,20,171,24,no
GCF_002144515.fna.gz,vparahaemolyticus,430,5,25,19,61,4,11,24,no
GCF_002144535.fna.gz,vparahaemolyticus,430,5,25,19,61,4,11,24,no
GCF_002144555.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002144575.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002144585.fna.gz,vparahaemolyticus,676,60,106,31,72,66,62,65,no
GCF_002144625.fna.gz,vparahaemolyticus,614,5,71,144,162,26,11,24,no
GCF_002144645.fna.gz,vparahaemolyticus,1112,284,343,293,191,23,326,132,no
GCF_002150155.fna.gz,vparahaemolyticus,342,5,106,31,13,2,142,106,no
GCF_002150175.fna.gz,vparahaemolyticus,1733,302,133,286,422,18,340,37,no
GCF_002150185.fna.gz,vparahaemolyticus,new_alleles,112,104,307,~297,23,339,54,
GCF_002150315.fna.gz,vparahaemolyticus,396,9,213,165,185,2,46,1,no
GCF_002150335.fna.gz,vparahaemolyticus,396,9,213,165,185,2,46,1,no
GCF_002150465.fna.gz,vparahaemolyticus,2152,31,131,135,91,19,221,26,no
GCF_002153875.fna.gz,vparahaemolyticus,114,55,15,31,55,18,58,46,114
GCF_002153895.fna.gz,vparahaemolyticus,2160,4,13,11,38,18,9,61,no
GCF_002153925.fna.gz,vparahaemolyticus,1251,5,303,173,373,152,318,23,no
GCF_002153945.fna.gz,vparahaemolyticus,1246,36,131,44,67,102,5,37,no
GCF_002153975.fna.gz,vparahaemolyticus,1805,47,91,166,46,79,45,26,no
GCF_002154015.fna.gz,vparahaemolyticus,new_alleles,5,88,~292,~13,18,37,26,
GCF_002154055.fna.gz,vparahaemolyticus,new_ST,252,104,31,278,46,273,17,
GCF_002198055.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198075.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198135.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198175.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198185.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198195.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198215.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198255.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198275.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198295.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198305.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198335.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198355.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198375.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198395.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198415.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198435.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198445.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198475.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198485.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198515.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198525.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198555.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198565.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198575.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002198615.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_002209595.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002209605.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002209625.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002209665.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002209675.fna.gz,vparahaemolyticus,-,222,-,21,69,46,236,12,
GCF_002209685.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002209725.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002209735.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002209765.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002209775.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002209785.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002210265.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002220905.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002220915.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002220925.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002220935.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002220985.fna.gz,vparahaemolyticus,new_ST,222,128,107,69,46,236,12,
GCF_002220995.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002221005.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002221015.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002221065.fna.gz,vparahaemolyticus,1716,94,114,31,105,3,166,69,no
GCF_002221075.fna.gz,vparahaemolyticus,809,215,344,144,76,48,232,26,no
GCF_002221085.fna.gz,vparahaemolyticus,194,97,127,101,29,78,99,47,no
GCF_002221145.fna.gz,vparahaemolyticus,162,47,58,53,19,50,37,26,no
GCF_002221165.fna.gz,vparahaemolyticus,324,20,25,15,13,7,3,5,34
GCF_002221175.fna.gz,vparahaemolyticus,110,17,57,52,23,44,28,36,110
GCF_002221185.fna.gz,vparahaemolyticus,636,223,106,31,221,45,171,165,no
GCF_002221225.fna.gz,vparahaemolyticus,34,20,25,15,13,7,11,5,34
GCF_002221245.fna.gz,vparahaemolyticus,674,83,82,73,83,4,77,58,no
GCF_002221265.fna.gz,vparahaemolyticus,674,83,82,73,83,4,77,58,no
GCF_002221285.fna.gz,vparahaemolyticus,308,12,178,25,153,27,78,54,no
GCF_002221305.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_002221325.fna.gz,vparahaemolyticus,324,20,25,15,13,7,3,5,34
GCF_002221345.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002221365.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002221385.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002221395.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_002221425.fna.gz,vparahaemolyticus,12,9,21,15,13,4,10,26,no
GCF_002238235.fna.gz,vparahaemolyticus,1127,60,106,25,358,203,50,99,
GCF_002504185.fna.gz,vparahaemolyticus,1842,69,92,69,114,225,91,24,no
GCF_002775145.fna.gz,vparahaemolyticus,new_alleles,~56,~199,75,8,279,3,2,
GCF_002803235.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_002807115.fna.gz,vparahaemolyticus,2123,144,401,187,76,23,55,274,
GCF_002859065.fna.gz,vparahaemolyticus,new_ST,11,530,113,201,50,47,157,
GCF_002880015.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880025.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_002880035.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880075.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_002880085.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880095.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880135.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_002880155.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880175.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_002880195.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880215.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880225.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_002880255.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_002880275.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_002880295.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880315.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880335.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880355.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880375.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880385.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880415.fna.gz,vparahaemolyticus,1911,248,467,155,410,26,10,9,no
GCF_002880435.fna.gz,vparahaemolyticus,1911,248,467,155,410,26,10,9,no
GCF_002880455.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880475.fna.gz,vparahaemolyticus,1911,248,467,155,410,26,10,9,no
GCF_002880495.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880505.fna.gz,vparahaemolyticus,1915,28,144,116,252,26,415,61,no
GCF_002880535.fna.gz,vparahaemolyticus,1912,273,41,104,135,26,79,212,no
GCF_002880555.fna.gz,vparahaemolyticus,1914,373,141,370,232,18,27,26,no
GCF_002880575.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_002880595.fna.gz,vparahaemolyticus,1914,373,141,370,232,18,27,26,no
GCF_002887545.fna.gz,vparahaemolyticus,247,116,149,72,76,45,62,26,no
GCF_003047085.fna.gz,vparahaemolyticus,2484,29,339,409,123,30,18,46,no
GCF_003056625.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_003056645.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_003056665.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_003056675.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_003056745.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_003057295.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_003057315.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_003076895.fna.gz,vparahaemolyticus,-,289,5,-,277,20,332,2,
GCF_003085735.fna.gz,vparahaemolyticus,1166,297,124,89,13,4,101,73,
GCF_003119375.fna.gz,vparahaemolyticus,-,289,5,-,277,20,332,2,
GCF_003174825.fna.gz,vparahaemolyticus,864,3,230,61,268,2,245,2,no
GCF_003186355.fna.gz,vparahaemolyticus,2480,5,560,115,74,63,159,84,no
GCF_003186805.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_003337295.fna.gz,vparahaemolyticus,-,-,~98,-,-,-,-,-,
GCF_003351885.fna.gz,vparahaemolyticus,150,19,74,61,68,48,11,26,no
GCF_003408895.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_003408905.fna.gz,vparahaemolyticus,-,31,106,135,74,-,212,-,
GCF_003408935.fna.gz,vparahaemolyticus,490,118,253,72,76,50,184,54,no
GCF_003612695.fna.gz,vparahaemolyticus,2482,10,388,239,13,165,89,217,no
GCF_003612715.fna.gz,vparahaemolyticus,2514,15,11,30,185,1,3,9,no
GCF_003691525.fna.gz,vparahaemolyticus,809,215,344,144,76,48,232,26,no
GCF_003798505.fna.gz,vparahaemolyticus,new_alleles,17,327,13,36,~54,33,19,
GCF_004006515.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_004028465.fna.gz,vparahaemolyticus,813,33,261,93,151,176,52,194,no
GCF_004121085.fna.gz,vparahaemolyticus,2013,11,277,373,450,26,424,93,no
GCF_004121095.fna.gz,vparahaemolyticus,2013,11,277,373,450,26,424,93,no
GCF_004121105.fna.gz,vparahaemolyticus,2013,11,277,373,450,26,424,93,no
GCF_004121115.fna.gz,vparahaemolyticus,2013,11,277,373,450,26,424,93,no
GCF_004121175.fna.gz,vparahaemolyticus,2013,11,277,373,450,26,424,93,no
GCF_004121185.fna.gz,vparahaemolyticus,2013,11,277,373,450,26,424,93,no
GCF_004121195.fna.gz,vparahaemolyticus,2012,27,324,61,343,50,425,44,no
GCF_004121225.fna.gz,vparahaemolyticus,2013,11,277,373,450,26,424,93,no
GCF_004121235.fna.gz,vparahaemolyticus,390,118,87,119,117,46,111,12,no
GCF_004121285.fna.gz,vparahaemolyticus,2013,11,277,373,450,26,424,93,no
GCF_004194515.fna.gz,vparahaemolyticus,2513,351,571,62,19,290,182,187,no
GCF_004324495.fna.gz,vparahaemolyticus,114,55,15,31,55,18,58,46,114
GCF_004324655.fna.gz,vparahaemolyticus,2524,152,57,418,14,214,54,14,This sequence type has a recA island that is 97% identical to recA107 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_004923355.fna.gz,vparahaemolyticus,new_alleles,44,256,30,129,~26,25,~23,
GCF_006124855.fna.gz,vparahaemolyticus,1931,171,222,113,126,4,420,23,no
GCF_006124955.fna.gz,vparahaemolyticus,1931,171,222,113,126,4,420,23,no
GCF_006368175.fna.gz,vparahaemolyticus,96,35,4,16,50,29,66,42,no
GCF_006368215.fna.gz,vparahaemolyticus,478,185,226,73,19,26,18,37,no
GCF_006368225.fna.gz,vparahaemolyticus,-,2,-,72,94,26,83,23,
GCF_006368235.fna.gz,vparahaemolyticus,-,~7,~262,30,224,-,95,33,
GCF_006368255.fna.gz,vparahaemolyticus,-,35,4,16,50,29,-,42,
GCF_006368265.fna.gz,vparahaemolyticus,2042,307,16,314,455,26,350,51,no
GCF_006368305.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368335.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368345.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368365.fna.gz,vparahaemolyticus,new_alleles,302,87,~31,152,28,~18,12,
GCF_006368375.fna.gz,vparahaemolyticus,-,3,4,19,-,29,4,22,
GCF_006368385.fna.gz,vparahaemolyticus,85,5,4,19,45,4,11,24,no
GCF_006368415.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368425.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368435.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368485.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368495.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368505.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368545.fna.gz,vparahaemolyticus,new_alleles,3,~316,101,112,31,45,26,
GCF_006368565.fna.gz,vparahaemolyticus,new_alleles,96|96,~4,31,35,26,11,34,
GCF_006368575.fna.gz,vparahaemolyticus,new_alleles,71,345,~246,167,177,11,47,
GCF_006368595.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368625.fna.gz,vparahaemolyticus,new_alleles,~333,~555,31,171,149,46,~33,
GCF_006368635.fna.gz,vparahaemolyticus,new_alleles,173,243,~73,200,28,82,2,
GCF_006368645.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368665.fna.gz,vparahaemolyticus,1743,112,8,61,425,26,8,57,no
GCF_006368705.fna.gz,vparahaemolyticus,new_alleles,103,403,25,~476,31,52,23,
GCF_006368725.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006368755.fna.gz,vparahaemolyticus,new_ST,356,481,62,419,244,3,2,
GCF_006368785.fna.gz,vparahaemolyticus,-,118,253,-,76,50,184,54,
GCF_006368795.fna.gz,vparahaemolyticus,2318,110,144,116,215,18,108,24,no
GCF_006368815.fna.gz,vparahaemolyticus,new_alleles,~150,466,194,19,18,157,23,
GCF_006368835.fna.gz,vparahaemolyticus,new_alleles,363,~246,~105,91,246,10,26,
GCF_006368845.fna.gz,vparahaemolyticus,1820,49,169,67,76,92,127,98,no
GCF_006368875.fna.gz,vparahaemolyticus,new_ST,206,70,209,72,4,121,169,
GCF_006368915.fna.gz,vparahaemolyticus,2347,291,129,25,39,18,3,51,no
GCF_006368925.fna.gz,vparahaemolyticus,new_ST,28,106,116,85,26,177,225,
GCF_006368935.fna.gz,vparahaemolyticus,new_ST,133,357,361,67,6,11,151,
GCF_006368945.fna.gz,vparahaemolyticus,1776,113,145,134,70,23,11,26,no
GCF_006368955.fna.gz,vparahaemolyticus,new_ST,179,403,117,27,125,5,26,
GCF_006368995.fna.gz,vparahaemolyticus,new_ST,188,106,199,67,2,3,1,
GCF_006369005.fna.gz,vparahaemolyticus,new_ST,182,52,44,53,47,104,71,
GCF_006369055.fna.gz,vparahaemolyticus,490,118,253,72,76,50,184,54,no
GCF_006369075.fna.gz,vparahaemolyticus,new_alleles,26,103,31,167,~176,78,160,
GCF_006369085.fna.gz,vparahaemolyticus,1353,190,15,31,55,18,58,23,no
GCF_006369095.fna.gz,vparahaemolyticus,new_alleles,~139,116,31,19,60,134,24,
GCF_006369105.fna.gz,vparahaemolyticus,new_ST,123,380,25,27,4,180,24,
GCF_006369115.fna.gz,vparahaemolyticus,1039,14,30,49,78,27,11,13,
GCF_006369175.fna.gz,vparahaemolyticus,new_alleles,92,261,25,~82,50,73,26,
GCF_006369185.fna.gz,vparahaemolyticus,66,42,25,3,40,35,38,31,no
GCF_006369195.fna.gz,vparahaemolyticus,new_alleles,270,544,~227,330,~236,238,26,
GCF_006369205.fna.gz,vparahaemolyticus,new_ST,381,104,335,224,99,206,2,
GCF_006369235.fna.gz,vparahaemolyticus,66,42,25,3,40,35,38,31,no
GCF_006369265.fna.gz,vparahaemolyticus,new_ST,291,129,25,222,18,3,51,
GCF_006369285.fna.gz,vparahaemolyticus,398,165,22,70,177,39,11,115,no
GCF_006369315.fna.gz,vparahaemolyticus,new_alleles,140,326,11,~252,18,9,23,
GCF_006369325.fna.gz,vparahaemolyticus,new_alleles,140,326,11,~252,18,9,23,
GCF_006369335.fna.gz,vparahaemolyticus,new_alleles,178,272,~118,206,28,8,24,
GCF_006369355.fna.gz,vparahaemolyticus,new_alleles,82,~411,325,459,142,~184,57,
GCF_006369365.fna.gz,vparahaemolyticus,new_alleles,~358,127,194,89,~250,46,143,
GCF_006369375.fna.gz,vparahaemolyticus,new_ST,51,525,77,91,26,120,26,
GCF_006369425.fna.gz,vparahaemolyticus,-,118|118,253,-,76,50,184,54,
GCF_006369435.fna.gz,vparahaemolyticus,new_ST,291,129,25,222,18,3,51,
GCF_006369455.fna.gz,vparahaemolyticus,1251,5,303,173,373,152,318,23,no
GCF_006369475.fna.gz,vparahaemolyticus,2102,42,171,19,146,18,136,12,no
GCF_006369515.fna.gz,vparahaemolyticus,new_ST,175,22,168,201,130,17,51,
GCF_006369525.fna.gz,vparahaemolyticus,new_alleles,140,326,11,~252,18,9,23,
GCF_006369535.fna.gz,vparahaemolyticus,66,42,25,3,40,35,38,31,no
GCF_006369545.fna.gz,vparahaemolyticus,new_alleles,~35,130,118,~491,~193,128,~24,
GCF_006369565.fna.gz,vparahaemolyticus,490,118,253,72,76,50,184,54,no
GCF_006369615.fna.gz,vparahaemolyticus,new_alleles,80,192,30,~265,100,~78,110,
GCF_006369625.fna.gz,vparahaemolyticus,new_alleles,~70,82,310,378,23,307,57,
GCF_006369645.fna.gz,vparahaemolyticus,new_alleles,97,508,~399,~423,~193,297,~254,
GCF_006369655.fna.gz,vparahaemolyticus,new_ST,384,4,97,452,28,263,37,
GCF_006369665.fna.gz,vparahaemolyticus,new_alleles,118,253,72,76,50,~184,54,
GCF_006370575.fna.gz,vparahaemolyticus,1249,44,58,257,371,4,3,238,no
GCF_006370595.fna.gz,vparahaemolyticus,1347,49,323,25,29,1,39,17,no
GCF_006370625.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006370635.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006370655.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006370685.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006370715.fna.gz,vparahaemolyticus,1061,183,396,172,27,23,182,57,
GCF_006370725.fna.gz,vparahaemolyticus,1061,183,396,172,27,23,182,57,
GCF_006370745.fna.gz,vparahaemolyticus,1061,183,396,172,27,23,182,57,
GCF_006370755.fna.gz,vparahaemolyticus,2347,291,129,25,39,18,3,51,no
GCF_006370775.fna.gz,vparahaemolyticus,1113,34,4,216,151,201,327,33,no
GCF_006370785.fna.gz,vparahaemolyticus,new_ST,100,104,31,159,31,62,48,
GCF_006370805.fna.gz,vparahaemolyticus,1061,183,396,172,27,23,182,57,
GCF_006370835.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006370855.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006370895.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006370915.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006370925.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006370945.fna.gz,vparahaemolyticus,1061,183,396,172,27,23,182,57,
GCF_006370955.fna.gz,vparahaemolyticus,new_ST,102|102,193,151,151,26,365,17,
GCF_006370975.fna.gz,vparahaemolyticus,1061,183,396,172,27,23,182,57,
GCF_006371005.fna.gz,vparahaemolyticus,1309,158,23,153,74,66,154,33,no
GCF_006371015.fna.gz,vparahaemolyticus,new_alleles,60,104,210,126,28,~78,159,
GCF_006371055.fna.gz,vparahaemolyticus,new_ST,42,198,91,353,26,303,33,
GCF_006371065.fna.gz,vparahaemolyticus,new_ST,284,36,61,69,23,62,23,
GCF_006371095.fna.gz,vparahaemolyticus,new_alleles,173,243,73,~72,28,82,2,
GCF_006371105.fna.gz,vparahaemolyticus,new_alleles,111,106,17,314,99,~5,26,
GCF_006371115.fna.gz,vparahaemolyticus,new_alleles,71,~82,73,47,23,77,57,
GCF_006371125.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006371175.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006371195.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006371215.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006371225.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_006371235.fna.gz,vparahaemolyticus,1061,183,396,172,27,23,182,57,
GCF_006371265.fna.gz,vparahaemolyticus,848,251,235,63,311,174,278,17,no
GCF_006371275.fna.gz,vparahaemolyticus,new_alleles,173,243,73,~72,28,82,2,
GCF_006371305.fna.gz,vparahaemolyticus,new_ST,35,138,101,167,80,222,57,
GCF_006371325.fna.gz,vparahaemolyticus,1061,183,396,172,27,23,182,57,
GCF_006371345.fna.gz,vparahaemolyticus,new_alleles,~7,448,98,167,142,10,13,
GCF_006371355.fna.gz,vparahaemolyticus,new_ST,5,84,115,74,63,26,84,
GCF_006371395.fna.gz,vparahaemolyticus,new_ST,62,82,72,5,50,5,234,
GCF_006371405.fna.gz,vparahaemolyticus,1061,183,396,172,27,23,182,57,
GCF_006371435.fna.gz,vparahaemolyticus,1838,19,86,109,433,46,68,57,no
GCF_006371445.fna.gz,vparahaemolyticus,1805,47,91,166,46,79,45,26,no
GCF_006371455.fna.gz,vparahaemolyticus,new_ST,341,51,31,82,26,170,46,
GCF_006371465.fna.gz,vparahaemolyticus,693,3,230,61,268,2,46,2,no
GCF_006371485.fna.gz,vparahaemolyticus,1825,10,1,62,95,50,85,2,no
GCF_006371495.fna.gz,vparahaemolyticus,847,148,355,74,19,127,101,202,no
GCF_006371545.fna.gz,vparahaemolyticus,362,36,194,44,168,102,45,37,no
GCF_006371565.fna.gz,vparahaemolyticus,new_ST,79,499,222,27,4,69,17,
GCF_006371575.fna.gz,vparahaemolyticus,1353,190,15,31,55,18,58,23,no
GCF_006371585.fna.gz,vparahaemolyticus,710,100,321,80,217,131,185,12,no
GCF_006371625.fna.gz,vparahaemolyticus,476,96,228,31,3,120,131,33,no
GCF_006371635.fna.gz,vparahaemolyticus,1831,366,498,102,90,26,319,81,no
